code,parent,type,reconcilable,name,sequence
10,,equity,false,Kapital dhe rezerva,10
101,10,equity,false,Kapitali themeltar (aksionar),20
104,10,equity,false,Prime kapitali,30
105,10,equity,false,Rezerva nga rivlerësimi,40
106,10,equity,false,Rezerva,50
1061,106,equity,false,Rezerva ligjore,60
1063,106,equity,false,Rezerva statutore,70
1068,106,equity,false,Rezerva të tjera,80
11,,equity_retained,false,Fitime (Humbje) të pashpërndara,90
117,11,equity_retained,false,Fitime (Humbje) të pashpërndara,100
12,,equity,false,Rezultati i ushtrimit,110
121,12,equity,false,Fitimi (Humbja) e vitit financiar,120
13,,liability_non_current,false,Grante dhe të ardhura të shtyra,130
131,13,liability_non_current,false,Grante për investime,140
15,,liability_non_current,false,Provizione afatgjata,150
151,15,liability_non_current,false,Provizione për garanci,160
158,15,liability_non_current,false,Provizione të tjera afatgjata,170
16,,liability_non_current,false,Hua afatgjata dhe detyrime të ngjashme,180
162,16,liability_non_current,false,Kredi bankare afatgjata,190
166,16,liability_non_current,false,Detyrime nga qiraja financiare,200
167,16,liability_non_current,false,Hua të tjera afatgjata,210
20,,asset_fixed,false,Aktive afatgjata jomateriale,220
201,20,asset_fixed,false,Shpenzime themelimi,230
203,20,asset_fixed,false,Shpenzime zhvillimi,240
205,20,asset_fixed,false,"Koncesione, patenta, licenca, marka tregtare",250
207,20,asset_fixed,false,Emri i mirë (goodwill),260
208,20,asset_fixed,false,Aktive të tjera afatgjata jomateriale,270
21,,asset_fixed,false,Toka dhe ndërtesa,280
211,21,asset_fixed,false,Toka,290
212,21,asset_fixed,false,Ndërtesa,300
213,21,asset_fixed,false,"Makineri, pajisje dhe mjete transporti",310
2131,213,asset_fixed,false,Makineri dhe pajisje,320
2133,213,asset_fixed,false,Mjete transporti,330
214,21,asset_fixed,false,Mobilie dhe pajisje zyre,340
23,,asset_fixed,false,Aktive afatgjata në ndërtim e sipër,350
231,23,asset_fixed,false,Aktive afatgjata materiale në proces,360
232,23,asset_fixed,false,Parapagime për aktive afatgjata,370
26,,asset_non_current,false,Investime financiare afatgjata,380
261,26,asset_non_current,false,Aksione dhe pjesëmarrje në njësi të kontrolluara,390
267,26,asset_non_current,false,Llogari të arkëtueshme afatgjata,400
28,,asset_fixed,false,Amortizimi i akumuluar,410
280,28,asset_fixed,false,Amortizimi i aktiveve afatgjata jomateriale,420
281,28,asset_fixed,false,Amortizimi i aktiveve afatgjata materiale,430
2811,281,asset_fixed,false,Amortizimi i ndërtesave,440
2813,281,asset_fixed,false,Amortizimi i makinerive dhe pajisjeve,450
2814,281,asset_fixed,false,Amortizimi i mobilieve dhe pajisjeve zyre,460
29,,asset_fixed,false,Zhvlerësimi i aktiveve afatgjata,470
291,29,asset_fixed,false,Zhvlerësimi i aktiveve afatgjata materiale,480
30,,asset_current,false,Lëndë të para dhe materiale,490
301,30,asset_current,false,Lëndë të para,500
302,30,asset_current,false,Materiale të tjera,510
303,30,asset_current,false,Materiale ambalazhimi,520
33,,asset_current,false,Prodhim në proces,530
331,33,asset_current,false,Produkte në proces,540
332,33,asset_current,false,Shërbime në proces,550
35,,asset_current,false,Produkte të gatshme,560
351,35,asset_current,false,Produkte të gatshme,570
37,,asset_current,false,Mallra,580
371,37,asset_current,false,Mallra për rishitje,590
38,,asset_current,false,Mallra dhe materiale rrugës,600
381,38,asset_current,false,Mallra rrugës,610
39,,asset_current,false,Zhvlerësimi i inventarit,620
391,39,asset_current,false,Zhvlerësimi i lëndëve të para,630
397,39,asset_current,false,Zhvlerësimi i mallrave,640
