code,parent,type,reconcilable,name,sequence
1100,,asset_fixed,false,Entgeltlich erworbene Konzessionen und gewerbliche Schutzrechte,10
1101,,asset_fixed,false,Entgeltlich erworbene Software,20
1110,,asset_fixed,false,Geschäfts(Firmen)wert,30
1120,,asset_fixed,false,Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,40
1200,,asset_fixed,false,Grundstücke und Bauten,50
1210,,asset_fixed,false,Technische Anlagen und Maschinen,60
1220,,asset_fixed,false,Andere Anlagen sowie Betriebs- und Geschäftsausstattung,70
1221,,asset_fixed,false,Fahrzeuge,80
1222,,asset_fixed,false,Büroeinrichtung,90
1223,,asset_fixed,false,EDV-Ausstattung,100
1224,,asset_fixed,false,Geringwertige Vermögensgegenstände,110
1230,,asset_fixed,false,Geleistete Anzahlungen und Anlagen in Bau,120
1300,,asset_non_current,false,Anteile an verbundenen Unternehmen,130
1310,,asset_non_current,false,Ausleihungen an verbundene Unternehmen,140
1320,,asset_non_current,false,Beteiligungen,150
1330,,asset_non_current,false,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht",160
1340,,asset_non_current,false,Wertpapiere des Anlagevermögens,170
1350,,asset_non_current,false,Sonstige Ausleihungen,180
2100,,asset_current,false,"Roh-, Hilfs- und Betriebsstoffe",190
2110,,asset_current,false,Unfertige Erzeugnisse,200
2120,,asset_current,false,Fertige Erzeugnisse und Waren,210
2130,,asset_current,false,Geleistete Anzahlungen auf Vorräte,220
2200,,asset_receivable,true,Forderungen aus Lieferungen und Leistungen,230
2210,,asset_receivable,true,Forderungen gegen verbundene Unternehmen,240
2220,,asset_receivable,true,"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht",250
2230,,asset_current,true,Sonstige Forderungen und Vermögensgegenstände,260
2231,,asset_current,false,Abziehbare Vorsteuer 20 %,270
2232,,asset_current,false,Abziehbare Vorsteuer 13 %,280
2233,,asset_current,false,Abziehbare Vorsteuer 10 %,290
2234,,asset_current,false,Abziehbare Vorsteuer aus dem innergemeinschaftlichen Erwerb,300
2235,,asset_current,false,Abziehbare Vorsteuer betreffend die Steuerschuld gemäß § 19 Abs. 1,310
2236,,asset_current,false,Abziehbare Vorsteuer betreffend die Steuerschuld gemäß § 19 Abs. 1a,320
2237,,asset_current,true,Forderungen gegen das Finanzamt aus der Umsatzsteuer,330
2238,,asset_current,true,Forderungen gegen Gesellschafter,340
2239,,asset_current,true,Durchlaufende Posten und Verrechnungskonto,350
2300,,asset_current,false,Anteile an verbundenen Unternehmen (Umlaufvermögen),360
2310,,asset_current,false,Sonstige Wertpapiere,370
2400,,asset_cash,false,Kassa,380
2410,,asset_cash,false,Guthaben bei Kreditinstituten,390
2411,,asset_cash,false,Guthaben bei Kreditinstituten — zweites Konto,400
2420,,asset_cash,false,Schecks,410
3100,,asset_prepayments,false,Aktive Rechnungsabgrenzungsposten,420
3200,,asset_non_current,false,Aktive latente Steuern,430
4100,,equity,false,Eingefordertes Nennkapital,440
