code,parent,type,reconcilable,name,sequence
01,,asset_fixed,false,Nematerijalna sredstva,10
010,01,asset_fixed,false,Kapitalizirana ulaganja u razvoj,20
011,01,asset_fixed,false,"Koncesije, patenti, licence i druga prava",30
012,01,asset_fixed,false,Goodwill,40
014,01,asset_fixed,false,Ostala nematerijalna sredstva,50
015,01,asset_fixed,false,Nematerijalna sredstva u pripremi,60
02,,asset_fixed,false,"Nekretnine, postrojenja i oprema",70
020,02,asset_fixed,false,Zemljište,80
021,02,asset_fixed,false,Građevinski objekti,90
022,02,asset_fixed,false,Postrojenja i oprema (mašine),100
023,02,asset_fixed,false,"Alati, pogonski i kancelarijski namještaj",110
024,02,asset_fixed,false,Transportna sredstva,120
025,02,asset_fixed,false,"Nekretnine, postrojenja i oprema u pripremi",130
03,,asset_non_current,false,Investicijske nekretnine,140
030,03,asset_non_current,false,Ulaganja u vlastito zemljište,150
032,03,asset_non_current,false,Ulaganja u vlastite građevine,160
04,,asset_fixed,false,Biološka sredstva,170
040,04,asset_fixed,false,Šume,180
042,04,asset_fixed,false,Osnovno stado,190
05,,asset_fixed,false,Ostala (specifična) stalna materijalna sredstva,200
050,05,asset_fixed,false,Ostala stalna materijalna sredstva u upotrebi,210
06,,asset_non_current,false,Dugoročni finansijski plasmani,220
060,06,asset_non_current,false,Učešća u kapitalu povezanih pravnih lica,230
061,06,asset_non_current,false,Učešća u kapitalu drugih pravnih lica,240
062,06,asset_non_current,false,Dugoročni krediti dati povezanim pravnim licima,250
064,06,asset_non_current,false,Dugoročni krediti dati u zemlji,260
065,06,asset_non_current,false,Finansijska sredstva raspoloživa za prodaju,270
07,,asset_non_current,false,Druga dugoročna potraživanja,280
070,07,asset_non_current,false,Potraživanja od povezanih pravnih lica,290
071,07,asset_non_current,false,Potraživanja po osnovu prodaje na kredit,300
09,,asset_non_current,false,Odložena porezna sredstva i dugoročna razgraničenja,310
090,09,asset_non_current,false,Odložena porezna sredstva,320
091,09,asset_non_current,false,Unaprijed plaćeni troškovi (za period duži od 12 mjeseci),330
10,,asset_current,false,"Sirovine, materijal, rezervni dijelovi i sitan inventar",340
100,10,asset_current,false,Obračun troška nabavke,350
101,10,asset_current,false,Sirovine i materijal,360
102,10,asset_current,false,Rezervni dijelovi,370
103,10,asset_current,false,Auto gume i ambalaža,380
104,10,asset_current,false,Alat i sitan inventar,390
11,,asset_current,false,"Proizvodnja u toku, poluproizvodi i nedovršene usluge",400
110,11,asset_current,false,Proizvodnja u toku — nedovršeni proizvodi,410
