code,parent,type,reconcilable,name,sequence
10,,equity,false,Fonds social,10
100,10,equity,false,Patrimoine de départ,20
100000,100,equity,false,Patrimoine de départ,30
101,10,equity,false,Moyens permanents,40
101000,101,equity,false,Moyens permanents,50
12,,equity,false,Plus-values de réévaluation,80
120,12,equity,false,Plus-values de réévaluation sur immobilisations corporelles,90
13,,equity,false,Fonds affectés,100
130,13,equity,false,Fonds affectés aux investissements,110
130000,130,equity,false,Fonds affectés aux investissements,120
131,13,equity,false,Fonds affectés aux activités,130
131000,131,equity,false,Fonds affectés aux activités,140
14,,equity_retained,false,Résultat reporté,170
140,14,equity_retained,false,Résultat positif reporté,180
140000,140,equity_retained,false,Résultat positif reporté,190
141,14,equity_retained,false,Résultat négatif reporté,200
141000,141,equity_retained,false,Résultat négatif reporté,210
15,,liability_current,false,Subsides en capital,220
150,15,liability_current,false,Subsides en capital,230
16,,liability_non_current,false,Provisions pour risques et charges et impôts différés,240
160,16,liability_non_current,false,Provisions pour pensions et obligations similaires,250
161,16,liability_non_current,false,Provisions pour charges fiscales,260
162,16,liability_non_current,false,Provisions pour grosses réparations et gros entretiens,270
163,16,liability_non_current,false,Provisions pour autres risques et charges,280
163000,163,liability_non_current,false,Provisions pour autres risques et charges,290
17,,liability_non_current,false,Dettes à plus d'un an,300
170,17,liability_non_current,false,Emprunts subordonnés,310
172,17,liability_non_current,false,Emprunts obligataires non subordonnés,320
173,17,liability_non_current,false,Établissements de crédit,330
173000,173,liability_non_current,false,Emprunts bancaires à plus d'un an,340
173100,173,liability_non_current,false,Dettes de location-financement,350
174,17,liability_non_current,false,Autres emprunts,360
174000,174,liability_non_current,false,Autres emprunts,370
175,17,liability_non_current,false,Dettes commerciales à plus d'un an,380
178,17,liability_non_current,false,Cautionnements reçus en numéraire,390
179,17,liability_non_current,false,Dettes diverses à plus d'un an,400
179000,179,liability_non_current,false,Compte courant des associés à plus d'un an,410
20,,asset_fixed,false,Frais d'établissement,420
200,20,asset_fixed,false,Frais de constitution et d'augmentation de capital,430
200000,200,asset_fixed,false,Frais de constitution,440
200900,200,asset_fixed,false,Amortissements sur frais d'établissement,450
21,,asset_fixed,false,Immobilisations incorporelles,460
210,21,asset_fixed,false,Frais de recherche et de développement,470
210000,210,asset_fixed,false,Frais de recherche et de développement,480
210900,210,asset_fixed,false,Amortissements sur frais de recherche et de développement,490
211,21,asset_fixed,false,"Concessions, brevets, licences, savoir-faire et marques",500
211000,211,asset_fixed,false,"Concessions, brevets, licences et logiciels",510
211900,211,asset_fixed,false,"Amortissements sur concessions, brevets et logiciels",520
212,21,asset_fixed,false,Goodwill,530
22,,asset_fixed,false,Terrains et constructions,540
220,22,asset_fixed,false,Terrains,550
220000,220,asset_fixed,false,Terrains,560
221,22,asset_fixed,false,Constructions,570
221000,221,asset_fixed,false,Constructions,580
221900,221,asset_fixed,false,Amortissements sur constructions,590
223,22,asset_fixed,false,Autres droits réels sur immeubles,600
23,,asset_fixed,false,"Installations, machines et outillage",610
230,23,asset_fixed,false,Installations,620
230000,230,asset_fixed,false,Installations,630
230900,230,asset_fixed,false,Amortissements sur installations,640
231,23,asset_fixed,false,Machines,650
231000,231,asset_fixed,false,Machines,660
231900,231,asset_fixed,false,Amortissements sur machines,670
233,23,asset_fixed,false,Outillage,680
233000,233,asset_fixed,false,Outillage,690
233900,233,asset_fixed,false,Amortissements sur outillage,700
24,,asset_fixed,false,Mobilier et matériel roulant,710
240,24,asset_fixed,false,Mobilier,720
240000,240,asset_fixed,false,Mobilier,730
240900,240,asset_fixed,false,Amortissements sur mobilier,740
241,24,asset_fixed,false,Matériel de bureau et matériel informatique,750
241000,241,asset_fixed,false,Matériel de bureau et matériel informatique,760
241900,241,asset_fixed,false,Amortissements sur matériel de bureau et informatique,770
242,24,asset_fixed,false,Matériel roulant,780
242000,242,asset_fixed,false,Matériel roulant,790
242900,242,asset_fixed,false,Amortissements sur matériel roulant,800
25,,asset_fixed,false,Immobilisations détenues en location-financement,810
252,25,asset_fixed,false,Mobilier et matériel roulant en location-financement,820
252000,252,asset_fixed,false,Mobilier et matériel roulant en location-financement,830
252900,252,asset_fixed,false,Amortissements sur immobilisations en location-financement,840
26,,asset_fixed,false,Autres immobilisations corporelles,850
260,26,asset_fixed,false,Frais d'aménagement de locaux pris en location,860
260000,260,asset_fixed,false,Frais d'aménagement de locaux pris en location,870
260900,260,asset_fixed,false,Amortissements sur frais d'aménagement de locaux,880
261,26,asset_fixed,false,Autres immobilisations corporelles,890
27,,asset_fixed,false,Immobilisations corporelles en cours et acomptes versés,900
270,27,asset_fixed,false,Immobilisations en cours,910
270000,270,asset_fixed,false,Immobilisations en cours,920
28,,asset_non_current,false,Immobilisations financières,930
280,28,asset_non_current,false,Participations dans des entreprises liées,940
280000,280,asset_non_current,false,Participations dans des entreprises liées,950
284,28,asset_non_current,false,Actions et parts dans d'autres entreprises,960
288,28,asset_non_current,false,Cautionnements versés en numéraire,970
288000,288,asset_non_current,false,Cautionnements versés en numéraire,980
29,,asset_non_current,false,Créances à plus d'un an,990
290,29,asset_non_current,false,Créances commerciales à plus d'un an,1000
295,29,asset_non_current,false,Autres créances à plus d'un an,1010
295000,295,asset_non_current,false,Autres créances à plus d'un an,1020
30,,asset_current,false,Approvisionnements — matières premières,1030
300,30,asset_current,false,Matières premières,1040
300000,300,asset_current,false,Matières premières,1050
31,,asset_current,false,Approvisionnements — fournitures,1060
310,31,asset_current,false,Fournitures,1070
32,,asset_current,false,En-cours de fabrication,1080
33,,asset_current,false,Produits finis,1090
330,33,asset_current,false,Produits finis,1100
34,,asset_current,false,Marchandises,1110
340,34,asset_current,false,Marchandises,1120
340000,340,asset_current,false,Marchandises,1130
340900,340,asset_current,false,Réductions de valeur sur marchandises,1140
35,,asset_current,false,Immeubles destinés à la vente,1150
36,,asset_current,false,Acomptes versés sur achats pour stocks,1160
37,,asset_current,false,Commandes en cours d'exécution,1170
370,37,asset_current,false,Commandes en cours d'exécution,1180
370000,370,asset_current,false,Commandes en cours d'exécution,1190
40,,asset_receivable,true,Créances commerciales,1200
400,40,asset_receivable,true,Clients,1210
400000,400,asset_receivable,true,Clients,1220
401,40,asset_current,false,Effets à recevoir,1230
404,40,asset_current,false,Produits à recevoir,1240
404000,404,asset_current,false,Factures à établir,1250
406,40,asset_current,false,Acomptes versés,1260
406000,406,asset_current,false,Acomptes versés sur commandes,1270
407,40,asset_current,false,Créances douteuses,1280
407000,407,asset_current,false,Créances douteuses,1290
409,40,asset_current,false,Réductions de valeur actées sur créances commerciales,1300
409000,409,asset_current,false,Réductions de valeur actées sur créances commerciales,1310
41,,asset_current,false,Autres créances,1320
411,41,asset_current,false,TVA à récupérer,1330
411000,411,asset_current,false,TVA à récupérer,1340
411100,411,asset_current,false,TVA déductible sur achats,1350
411900,411,asset_current,true,TVA à récupérer — solde des déclarations périodiques,1355
412,41,asset_current,false,Impôts et versements fiscaux à récupérer,1360
412000,412,asset_current,false,Impôts et versements fiscaux à récupérer,1370
414,41,asset_current,false,Produits à recevoir,1380
414000,414,asset_current,false,Produits à recevoir,1390
416,41,asset_current,false,Créances diverses,1400
416000,416,asset_current,false,Créances diverses,1410
416100,416,asset_current,false,Compte courant des administrateurs et gérants,1420
418,41,asset_current,false,Cautionnements versés en numéraire,1430
418000,418,asset_current,false,Cautionnements versés en numéraire,1440
42,,liability_current,false,Dettes à plus d'un an échéant dans l'année,1450
423,42,liability_current,false,Établissements de crédit,1460
423000,423,liability_current,false,Emprunts bancaires échéant dans l'année,1470
423100,423,liability_current,false,Dettes de location-financement échéant dans l'année,1480
424,42,liability_current,false,Autres emprunts,1490
43,,liability_current,false,Dettes financières,1500
430,43,liability_current,false,Établissements de crédit — dettes en compte courant,1510
430000,430,liability_current,false,Établissements de crédit — dettes en compte courant,1520
439,43,liability_current,false,Autres emprunts à un an au plus,1530
44,,liability_payable,true,Dettes commerciales,1540
440,44,liability_payable,true,Fournisseurs,1550
440000,440,liability_payable,true,Fournisseurs,1560
441,44,liability_current,false,Effets à payer,1570
444,44,liability_current,false,Factures à recevoir,1580
444000,444,liability_current,false,Factures à recevoir,1590
45,,liability_current,false,"Dettes fiscales, salariales et sociales",1600
450,45,liability_current,false,Dettes fiscales estimées,1610
450000,450,liability_current,false,Dettes fiscales estimées,1620
