code,parent,type,reconcilable,name,sequence
1000,,asset_fixed,false,I. Нематериални активи,10
1010,1000,asset_fixed,false,Продукти от развойна дейност,20
1020,1000,asset_fixed,false,"Концесии, патенти, лицензии, търговски марки и програмни продукти",30
1030,1000,asset_fixed,false,Търговска репутация,40
1040,1000,asset_fixed,false,Аванси за нематериални активи,50
1100,,asset_fixed,false,II. Дълготрайни материални активи,60
1110,1100,asset_fixed,false,Земи и сгради,70
1120,1100,asset_fixed,false,"Машини, производствено оборудване и апаратура",80
1130,1100,asset_fixed,false,Съоръжения и други,90
1140,1100,asset_fixed,false,Аванси за дълготрайни материални активи,100
1200,,asset_non_current,false,III. Дългосрочни финансови активи,110
1210,1200,asset_non_current,false,Акции и дялове в предприятия от група,120
1220,1200,asset_non_current,false,Предоставени заеми на предприятия от група,130
1230,1200,asset_non_current,false,Акции и дялове в асоциирани и смесени предприятия,140
1240,1200,asset_non_current,false,"Предоставени заеми, свързани с асоциирани и смесени предприятия",150
1250,1200,asset_non_current,false,Дългосрочни инвестиции,160
1260,1200,asset_non_current,false,Други дългосрочни заеми,170
1270,1200,asset_non_current,false,Изкупени собствени акции (дългосрочни),180
1300,,asset_non_current,false,IV. Отсрочени данъци (актив),190
2000,,asset_current,false,I. Материални запаси,200
2010,2000,asset_current,false,Суровини и материали,210
2020,2000,asset_current,false,Незавършено производство,220
2030,2000,asset_current,false,Продукция и стоки,230
2040,2000,asset_prepayments,false,Аванси за материални запаси,240
2100,,asset_current,false,II. Вземания,250
2210,2100,asset_receivable,true,Вземания от клиенти и доставчици,260
2220,2100,asset_current,false,Вземания от предприятия от група,270
2225,2100,asset_current,false,"Вземания, свързани с асоциирани и смесени предприятия",280
2230,2100,asset_current,false,Други вземания,290
2241,2100,asset_current,false,ДДС за приспадане (входящ данък за периода),300
2242,2100,asset_current,true,Разчети с бюджета за ДДС — надвзет данък за възстановяване,310
2290,2100,asset_current,false,Разчети по сметки за изясняване,320
2300,,asset_current,false,III. Инвестиции,330
2310,2300,asset_current,false,Краткосрочни инвестиции,340
2320,2300,asset_current,false,Изкупени собствени акции (краткосрочни),350
2400,,asset_cash,false,IV. Парични средства,360
2410,2400,asset_cash,false,Каса,370
2420,2400,asset_cash,false,Разплащателна сметка,380
2500,,asset_prepayments,false,Раздел Г. Разходи за бъдещи периоди,390
3100,,asset_current,false,"Раздел А. Записан, невнесен капитал",400
4100,,equity,false,I. Записан капитал,410
4200,,equity,false,II. Премии от емисии,420
4300,,equity,false,III. Резерв от последващи оценки,430
4400,,equity,false,IV. Резерви,440
4410,4400,equity,false,Законови резерви,450
4420,4400,equity,false,"Резерв, свързан с изкупени собствени акции",460
4430,4400,equity,false,Резерв съгласно учредителен акт,470
4440,4400,equity,false,Други резерви,480
4500,,equity_retained,false,V. Натрупана печалба от минали години,490
4610,,equity,false,VI. Текуща печалба,500
4620,,equity,false,VI. Текуща загуба,510
5100,,liability_non_current,false,Провизии за пенсии и други подобни задължения,520
5200,,liability_non_current,false,"Провизии за данъци, вкл. отсрочени данъци",530
5300,,liability_non_current,false,Други провизии и сходни задължения,540
6100,,liability_non_current,false,Облигационни заеми,550
6200,,liability_non_current,false,Задължения към финансови предприятия,560
6300,,liability_current,false,Получени аванси,570
6400,,liability_payable,true,Задължения към доставчици,580
6500,,liability_current,false,Задължения по полици,590
6600,,liability_current,false,Задължения към предприятия от група,600
6650,,liability_current,false,"Задължения, свързани с асоциирани и смесени предприятия",610
6700,,liability_current,false,Данъчни и осигурителни задължения — други,620
6810,6700,liability_current,false,Задължения към персонала,630
6820,6700,liability_current,false,Осигурителни задължения,640
6831,6700,liability_current,false,ДДС начислен (изходящ данък за периода),650
6832,6700,liability_current,true,Разчети с бюджета за ДДС — дължим данък,660
6900,,liability_current,false,Раздел Г. Финансирания и приходи за бъдещи периоди,670
8100,,expense,false,Намаление на запасите от продукция и незавършено производство,680
8200,,expense,false,"Разходи за суровини, материали и услуги",690
8210,8200,expense,false,Разходи за материали,700
8220,8200,expense,false,Разходи за външни услуги,710
8221,8220,expense,false,Наеми и лизинг,720
8222,8220,expense,false,Ремонт и поддръжка,730
8223,8220,expense,false,Транспортни услуги,740
8224,8220,expense,false,Телекомуникации и интернет,750
8225,8220,expense,false,"Правни, консултантски и счетоводни услуги",760
8226,8220,expense,false,Реклама и представителни разходи,770
8227,8220,expense,false,Командировки,780
8300,,expense,false,Разходи за персонала,790
8310,8300,expense,false,Разходи за заплати,800
8320,8300,expense,false,Разходи за осигуровки,810
8400,,expense_depreciation,false,Разходи за амортизация и обезценка,820
8500,,expense,false,Други разходи,830
8510,8500,expense,false,Други разходи — общо,840
8590,8500,expense,false,Разходи от закръгляване,850
8600,,expense,false,Разходи от обезценка на финансови активи,860
8700,,expense,false,Разходи за лихви и други финансови разходи,870
8710,8700,expense,false,Разходи за лихви,880
8720,8700,expense,false,Отрицателни разлики от валутни операции,890
9100,,income,false,Нетни приходи от продажби,900
9110,9100,income,false,Приходи от продажба на стоки и услуги,910
9200,,income,false,Увеличение на запасите от продукция и незавършено производство,920
9300,,income_other,false,Приходи от придобиване на активи по стопански начин,930
9400,,income_other,false,Други приходи,940
9410,9400,income_other,false,Приходи от отписани задължения,950
9420,9400,income_other,false,Приходи от неустойки и обезщетения,960
9500,,income_other,false,"Приходи от участия в дъщерни, асоциирани и смесени предприятия",970
9600,,income_other,false,"Приходи от други инвестиции и заеми, признати като нетекущи активи",980
9700,,income_other,false,Други лихви и финансови приходи,990
9710,9700,income_other,false,Приходи от лихви,1000
9720,9700,income_other,false,Положителни разлики от валутни операции,1010
