code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,الصندوق,10
1010,,asset_cash,false,البنك - حساب جاري بالدينار البحريني,20
1015,,asset_cash,false,البنك - حساب جاري بعملة أجنبية,25
1020,,asset_cash,false,البنك - ودائع لأجل لا تتجاوز ثلاثة أشهر,30
1030,,asset_cash,false,شيكات تحت التحصيل,40
1035,,asset_cash,false,أموال في الطريق - تسويات بطاقات ووسائل الدفع الإلكترونية,45
1040,,asset_cash,false,عهد نقدية مستديمة,50
1100,,asset_receivable,true,العملاء,60
1105,,asset_current,false,العملاء - مخصص الديون المشكوك في تحصيلها,65
1120,,asset_current,false,مدينون آخرون,70
1125,,asset_current,false,أرصدة مدينة لأطراف ذات علاقة,75
1130,,asset_current,false,عربون ودائع مدفوعة,80
1135,,asset_current,false,سلف وقروض للعاملين,85
1150,,asset_current,false,ضريبة القيمة المضافة على المشتريات - مدخلات,90
1155,,asset_current,true,رصيد مستحق من الجهاز الوطني للإيرادات - ضريبة القيمة المضافة,95
1160,,asset_current,false,ضريبة القيمة المضافة المؤجلة عند الاستيراد,100
1200,,asset_current,false,مخزون بضاعة معدة للبيع,110
1210,,asset_current,false,مخزون خامات ومستلزمات إنتاج,115
1220,,asset_current,false,مخزون إنتاج تحت التشغيل,120
1230,,asset_current,false,مخزون إنتاج تام,125
1300,,asset_current,false,ودائع واستثمارات قصيرة الأجل,135
1310,,asset_current,false,استثمارات في أوراق مالية متداولة,140
1400,,asset_prepayments,false,مصروفات مدفوعة مقدمًا,150
1410,,asset_prepayments,false,إيرادات مستحقة غير محصلة,155
1415,,asset_prepayments,false,تأمين مدفوع مقدمًا,160
1420,,asset_prepayments,false,إيجار مدفوع مقدمًا,165
1600,,asset_fixed,false,أراضٍ ومبانٍ - التكلفة,180
1601,,asset_fixed,false,أراضٍ ومبانٍ - مجمع الإهلاك,185
1610,,asset_fixed,false,آلات ومعدات - التكلفة,190
1611,,asset_fixed,false,آلات ومعدات - مجمع الإهلاك,195
1620,,asset_fixed,false,أثاث وتجهيزات مكتبية - التكلفة,200
1621,,asset_fixed,false,أثاث وتجهيزات مكتبية - مجمع الإهلاك,205
1630,,asset_fixed,false,أجهزة حاسب آلي وبرمجيات - التكلفة,210
1631,,asset_fixed,false,أجهزة حاسب آلي وبرمجيات - مجمع الإهلاك,215
1640,,asset_fixed,false,وسائل نقل - التكلفة,220
1641,,asset_fixed,false,وسائل نقل - مجمع الإهلاك,225
1650,,asset_fixed,false,أعمال رأسمالية تحت التنفيذ,230
1700,,asset_non_current,false,استثمارات عقارية,240
