code,parent,type,reconcilable,name,sequence
100,,asset_current,false,Activo,10
110,100,asset_current,false,Activo corriente,20
111,110,asset_cash,false,Caja y bancos moneda nacional,30
1111,111,asset_cash,false,Caja moneda nacional,40
1112,111,asset_cash,false,Bancos moneda nacional,50
1113,111,asset_cash,false,Caja moneda extranjera,60
1114,111,asset_cash,false,Bancos moneda extranjera,70
112,110,asset_current,false,Inversiones corrientes,80
113,110,asset_receivable,true,Cuentas por cobrar comerciales,90
1131,113,asset_receivable,true,Deudores por ventas - mercado interno,100
1132,113,asset_receivable,true,Deudores por ventas - exportación,110
1133,113,asset_receivable,true,Documentos por cobrar,120
1134,113,asset_current,false,Previsión para incobrables,130
114,110,asset_current,false,Otros créditos,140
1141,114,asset_current,false,Anticipo a proveedores,150
1142,114,asset_prepayments,false,Gastos pagados por anticipado,160
1143,114,asset_current,false,Anticipo del Impuesto sobre las Utilidades de las Empresas (IUE),170
1144,114,asset_current,false,Préstamos a empresas relacionadas,180
1145,114,asset_current,false,Créditos con socios,190
1146,114,asset_current,false,Depósitos en garantía otorgados,200
115,110,asset_current,false,Créditos fiscales,210
1151,115,asset_current,false,IVA Crédito Fiscal,220
1152,115,asset_current,true,IVA Saldo a Favor del Contribuyente,230
116,110,asset_current,false,Existencias,240
1161,116,asset_current,false,Materias primas,250
1162,116,asset_current,false,Productos en proceso,260
1163,116,asset_current,false,Productos terminados,270
1164,116,asset_current,false,Mercaderías,280
1165,116,asset_current,false,Envases y embalajes,290
117,110,asset_current,false,Partidas pendientes de imputación,300
120,100,asset_non_current,false,Activo no corriente,310
121,120,asset_non_current,false,Créditos no corrientes,320
122,120,asset_fixed,false,Activo fijo,330
1221,122,asset_fixed,false,Activo fijo - Valor de origen,340
12211,1221,asset_fixed,false,Terrenos,350
12212,1221,asset_fixed,false,Edificios y construcciones,360
12213,1221,asset_fixed,false,Maquinaria y equipo,370
12214,1221,asset_fixed,false,Muebles y enseres,380
12215,1221,asset_fixed,false,Vehículos,390
12216,1221,asset_fixed,false,Equipos de computación,400
12217,1221,asset_fixed,false,Instalaciones,410
1222,122,asset_fixed,false,Activo fijo - Depreciación acumulada,420
12221,1222,asset_fixed,false,Depreciación acumulada - Edificios y construcciones,430
12222,1222,asset_fixed,false,Depreciación acumulada - Maquinaria y equipo,440
