code,parent,type,reconcilable,name,sequence
1001,,asset_cash,false,库存现金,10
1002,,asset_cash,false,银行存款,20
1012,,asset_cash,false,其他货币资金,30
1101,,asset_current,false,交易性金融资产,40
1121,,asset_current,false,应收票据,50
1122,,asset_receivable,true,应收账款,60
1123,,asset_prepayments,false,预付账款,70
1131,,asset_current,false,应收股利,80
1132,,asset_current,false,应收利息,90
1221,,asset_current,false,其他应收款,100
1231,,asset_current,false,坏账准备,110
1401,,asset_current,false,材料采购,120
1402,,asset_current,false,在途物资,130
1403,,asset_current,false,原材料,140
1404,,asset_current,false,材料成本差异,150
1405,,asset_current,false,库存商品,160
1406,,asset_current,false,发出商品,170
1407,,asset_current,false,商品进销差价,180
1408,,asset_current,false,委托加工物资,190
1411,,asset_current,false,周转材料,200
1421,,asset_current,false,消耗性生物资产,210
1471,,asset_current,false,存货跌价准备,220
1511,,asset_non_current,false,长期股权投资,230
1512,,asset_non_current,false,长期股权投资减值准备,240
1521,,asset_non_current,false,投资性房地产,250
1531,,asset_non_current,false,长期应收款,260
1532,,asset_non_current,false,未实现融资收益,270
1601,,asset_fixed,false,固定资产,280
1602,,asset_fixed,false,累计折旧,290
1603,,asset_fixed,false,固定资产减值准备,300
1604,,asset_fixed,false,在建工程,310
1605,,asset_fixed,false,工程物资,320
1606,,asset_fixed,false,固定资产清理,330
1621,,asset_fixed,false,生产性生物资产,340
1622,,asset_fixed,false,生产性生物资产累计折旧,350
1701,,asset_non_current,false,无形资产,360
1702,,asset_non_current,false,累计摊销,370
1703,,asset_non_current,false,无形资产减值准备,380
1711,,asset_non_current,false,商誉,390
1801,,asset_non_current,false,长期待摊费用,400
1811,,asset_non_current,false,递延所得税资产,410
1901,,asset_current,false,待处理财产损溢,420
2001,,liability_current,false,短期借款,430
2101,,liability_current,false,交易性金融负债,440
2201,,liability_current,false,应付票据,450
2202,,liability_payable,true,应付账款,460
2203,,liability_current,false,预收账款,470
2211,,liability_current,false,应付职工薪酬,480
221101,2211,liability_current,false,工资,490
221102,2211,liability_current,false,职工福利,500
221103,2211,liability_current,false,社会保险费,510
221104,2211,liability_current,false,住房公积金,520
221105,2211,liability_current,false,工会经费,530
221106,2211,liability_current,false,职工教育经费,540
221107,2211,liability_current,false,非货币性福利,550
221108,2211,liability_current,false,辞退福利,560
221109,2211,liability_current,false,股份支付,570
2221,,liability_current,false,应交税费,580
222101,2221,liability_current,false,应交增值税,590
22210101,2221,liability_current,false,应交增值税（进项税额）,600
22210102,2221,liability_current,false,应交增值税（销项税额抵减）,610
22210103,2221,liability_current,false,应交增值税（已交税金）,620
22210104,2221,liability_current,false,应交增值税（转出未交增值税）,630
22210105,2221,liability_current,false,应交增值税（减免税款）,640
22210106,2221,liability_current,false,应交增值税（出口抵减内销产品应纳税额）,650
22210107,2221,liability_current,false,应交增值税（销项税额）,660
22210108,2221,liability_current,false,应交增值税（出口退税）,670
22210109,2221,liability_current,false,应交增值税（进项税额转出）,680
