code,parent,type,reconcilable,name,sequence
100,,asset_current,false,Activo,10
110,100,asset_current,false,Activo corriente,20
111,110,asset_cash,false,Efectivo y equivalentes de efectivo,30
1111,111,asset_cash,false,Caja general,40
1112,111,asset_cash,false,Bancos - cuenta corriente colones,50
1113,111,asset_cash,false,Bancos - cuenta corriente moneda extranjera,60
112,110,asset_current,false,Inversiones corrientes,70
113,110,asset_receivable,true,Cuentas por cobrar comerciales,80
1131,113,asset_receivable,true,Clientes nacionales,90
1132,113,asset_receivable,true,Clientes del exterior,100
1133,113,asset_current,false,Documentos por cobrar,110
1134,113,asset_current,false,Estimación para incobrables,120
114,110,asset_current,false,Otras cuentas por cobrar,130
1141,114,asset_current,false,Anticipos a proveedores,140
1142,114,asset_prepayments,false,Gastos pagados por anticipado,150
1143,114,asset_current,false,Anticipo de impuesto sobre la renta,160
1144,114,asset_current,false,Préstamos al personal,170
1145,114,asset_current,false,Depósitos en garantía,180
115,110,asset_current,false,Créditos fiscales de IVA,190
1151,115,asset_current,false,IVA crédito fiscal - tarifa general 13%,200
1152,115,asset_current,false,IVA crédito fiscal - tarifa reducida 4%,210
1153,115,asset_current,false,IVA crédito fiscal - tarifa reducida 2%,220
1154,115,asset_current,false,IVA crédito fiscal - tarifa reducida 1%,230
1155,115,asset_current,true,IVA saldo a favor,240
116,110,asset_current,false,Inventarios,250
1161,116,asset_current,false,Mercancías para la venta,260
1162,116,asset_current,false,Materias primas,270
1163,116,asset_current,false,Productos en proceso,280
1164,116,asset_current,false,Productos terminados,290
117,110,asset_current,false,Partidas pendientes de imputación,300
120,100,asset_non_current,false,Activo no corriente,310
121,120,asset_non_current,false,Créditos no corrientes,320
122,120,asset_fixed,false,"Propiedad, planta y equipo",330
1221,122,asset_fixed,false,"Propiedad, planta y equipo - Valor de origen",340
12211,1221,asset_fixed,false,Terrenos,350
12212,1221,asset_fixed,false,Edificios,360
12213,1221,asset_fixed,false,Maquinaria y equipo,370
12214,1221,asset_fixed,false,Mobiliario y equipo de oficina,380
12215,1221,asset_fixed,false,Vehículos,390
12216,1221,asset_fixed,false,Equipo de cómputo,400
1222,122,asset_fixed,false,"Propiedad, planta y equipo - Depreciación acumulada",410
12221,1222,asset_fixed,false,Depreciación acumulada - Edificios,420
12222,1222,asset_fixed,false,Depreciación acumulada - Maquinaria y equipo,430
