code,parent,type,reconcilable,name,sequence
1110,,asset_fixed,false,Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte,10
1120,,asset_fixed,false,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",20
1121,,asset_fixed,false,Entgeltlich erworbene Software,30
1130,,asset_fixed,false,Geschäfts- oder Firmenwert,40
1140,,asset_fixed,false,Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,50
1210,,asset_fixed,false,Grundstücke und grundstücksgleiche Rechte ohne Bauten,60
1211,,asset_fixed,false,Bauten auf eigenen Grundstücken,70
1212,,asset_fixed,false,Bauten auf fremden Grundstücken,80
1220,,asset_fixed,false,Technische Anlagen und Maschinen,90
1230,,asset_fixed,false,"Andere Anlagen, Betriebs- und Geschäftsausstattung",100
1231,,asset_fixed,false,Fahrzeuge,110
1232,,asset_fixed,false,Büroeinrichtung,120
1233,,asset_fixed,false,EDV-Ausstattung,130
1234,,asset_fixed,false,Geringwertige Vermögensgegenstände,140
1240,,asset_fixed,false,Geleistete Anzahlungen auf Sachanlagen,150
1241,,asset_fixed,false,Anlagen im Bau,160
1310,,asset_non_current,false,Anteile an verbundenen Unternehmen (Anlagevermögen),170
1320,,asset_non_current,false,Ausleihungen an verbundene Unternehmen,180
1330,,asset_non_current,false,Beteiligungen,190
1340,,asset_non_current,false,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht",200
1350,,asset_non_current,false,Wertpapiere des Anlagevermögens,210
1360,,asset_non_current,false,Sonstige Ausleihungen,220
1361,,asset_non_current,false,Langfristige Mietkautionen,230
2110,,asset_current,false,Rohstoffe,240
2111,,asset_current,false,Hilfsstoffe,250
2112,,asset_current,false,Betriebsstoffe,260
2120,,asset_current,false,Unfertige Erzeugnisse,270
2121,,asset_current,false,Unfertige Leistungen,280
2130,,asset_current,false,Fertige Erzeugnisse,290
2131,,asset_current,false,Waren,300
2140,,asset_current,false,Geleistete Anzahlungen auf Vorräte,310
2210,,asset_receivable,true,Forderungen aus Lieferungen und Leistungen,320
2218,,asset_receivable,true,Zweifelhafte Forderungen,330
2219,,asset_current,false,Einzelwertberichtigungen zu Forderungen,340
2220,,asset_receivable,true,Forderungen gegen verbundene Unternehmen,350
2230,,asset_receivable,true,"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht",360
