code,parent,type,reconcilable,name,sequence
11,,asset_cash,false,Disponible,10
1101,11,asset_cash,false,Caja,20
110101,1101,asset_cash,false,Caja General,30
1102,11,asset_cash,false,Bancos,40
110201,1102,asset_cash,false,Banco Cuenta Corriente DOP,50
12,,asset_current,false,Cuentas por Cobrar,60
1201,12,asset_receivable,true,Clientes,70
1202,12,asset_current,false,Cuentas por Cobrar a Relacionadas,80
1203,12,asset_current,false,Otras Cuentas por Cobrar,90
120301,1203,asset_current,false,Anticipo de Impuesto Sobre la Renta,100
120302,1203,asset_current,true,ITBIS Saldo a Favor,110
1204,12,asset_current,false,Provisión para Cuentas Incobrables,120
13,,asset_current,false,Inventarios,130
1301,13,asset_current,false,Inventario de Mercancías,140
1302,13,asset_current,false,Inventario de Materia Prima,150
1303,13,asset_current,false,Inventario de Productos en Proceso,160
1304,13,asset_current,false,Mercancías en Tránsito,170
14,,asset_prepayments,false,Gastos Pagados por Anticipado,180
1401,14,asset_prepayments,false,Seguros Pagados por Anticipado,190
1402,14,asset_prepayments,false,Alquileres Pagados por Anticipado,200
15,,asset_fixed,false,Activo Fijo,210
1501,15,asset_fixed,false,Terrenos,220
1502,15,asset_fixed,false,Edificaciones,230
1503,15,asset_fixed,false,Automóviles y Equipos de Transporte (Categoría 2),240
1504,15,asset_fixed,false,Mobiliario y Equipo de Oficina (Categoría 2),250
1505,15,asset_fixed,false,Equipos de Computación (Categoría 2),260
1506,15,asset_fixed,false,Otros Activos Fijos (Categoría 3),270
1507,15,asset_fixed,false,Depreciación Acumulada de Activos Fijos,280
16,,asset_non_current,false,Inversiones,290
1601,16,asset_non_current,false,Depósitos a Plazo,300
1602,16,asset_non_current,false,Acciones en Otras Compañías,310
17,,asset_non_current,false,Otros Activos,320
1701,17,asset_non_current,false,Activos Intangibles,330
1702,17,asset_non_current,false,Impuesto Sobre la Renta Diferido,340
21,,liability_current,false,Pasivo Corriente,350
2101,21,liability_current,false,Préstamos por Pagar a Corto Plazo,360
2102,21,liability_payable,true,Proveedores,370
2103,21,liability_current,false,Cuentas por Pagar Diversas,380
2104,21,liability_current,false,Impuestos por Pagar,390
210401,2104,liability_current,false,ITBIS Cobrado Tarifa 18%,400
210402,2104,liability_current,false,ITBIS Cobrado Tarifa 16%,410
210403,2104,liability_current,false,ITBIS Pagado en Compras Locales de Bienes,420
210404,2104,liability_current,false,ITBIS Pagado en Servicios,430
