code,parent,type,reconcilable,name,sequence
1,,asset_current,false,ACTIVO,10
1.1,1,asset_current,false,ACTIVO CORRIENTE,20
1.1.01,1.1,asset_cash,false,Efectivo y equivalentes de efectivo,30
1.1.01.01,1.1.01,asset_cash,false,Caja general,40
1.1.01.02,1.1.01,asset_cash,false,Caja chica,50
1.1.01.03,1.1.01,asset_cash,false,Bancos,60
1.1.02,1.1,asset_current,false,Activos financieros,70
1.1.02.01,1.1.02,asset_current,false,Inversiones a corto plazo,80
1.1.02.02,1.1.02,asset_current,false,Documentos por cobrar a corto plazo,90
1.1.03,1.1,asset_current,false,Cuentas y documentos por cobrar comerciales,100
1.1.03.01,1.1.03,asset_receivable,true,Clientes locales,110
1.1.03.02,1.1.03,asset_receivable,true,Clientes del exterior,120
1.1.03.03,1.1.03,asset_current,false,(-) Provision cuentas incobrables,130
1.1.04,1.1,asset_current,false,Otras cuentas por cobrar,140
1.1.04.01,1.1.04,asset_current,false,Anticipos a proveedores,150
1.1.04.02,1.1.04,asset_current,false,Cuentas por cobrar empleados,160
1.1.04.03,1.1.04,asset_current,false,Depositos en garantia,170
1.1.05,1.1,asset_current,false,Inventarios,180
1.1.05.01,1.1.05,asset_current,false,Inventario de mercaderias,190
1.1.05.02,1.1.05,asset_current,false,Inventario de materia prima,200
1.1.06,1.1,asset_prepayments,false,Servicios y otros pagos anticipados,210
1.1.06.01,1.1.06,asset_prepayments,false,Seguros pagados por anticipado,220
1.1.06.02,1.1.06,asset_prepayments,false,Arriendos pagados por anticipado,230
1.1.07,1.1,asset_current,false,Activos por impuestos corrientes,240
1.1.07.01,1.1.07,asset_current,true,Credito tributario de IVA por compensar,250
1.1.07.02,1.1.07,asset_current,false,Retenciones en la fuente de impuesto a la renta que le han sido efectuadas,260
1.1.07.03,1.1.07,asset_current,false,Anticipo de impuesto a la renta,270
1.2,1,asset_non_current,false,ACTIVO NO CORRIENTE,280
1.2.01,1.2,asset_fixed,false,Propiedades planta y equipo,290
1.2.01.01,1.2.01,asset_fixed,false,Terrenos,300
1.2.01.02,1.2.01,asset_fixed,false,Edificios,310
1.2.01.03,1.2.01,asset_fixed,false,Muebles y enseres,320
1.2.01.04,1.2.01,asset_fixed,false,Equipo de computacion,330
1.2.01.05,1.2.01,asset_fixed,false,Vehiculos,340
1.2.01.06,1.2.01,asset_fixed,false,Equipo de oficina,350
1.2.01.07,1.2.01,asset_fixed,false,(-) Depreciacion acumulada edificios,360
1.2.01.08,1.2.01,asset_fixed,false,(-) Depreciacion acumulada muebles y enseres,370
1.2.01.09,1.2.01,asset_fixed,false,(-) Depreciacion acumulada equipo de computacion,380
1.2.01.10,1.2.01,asset_fixed,false,(-) Depreciacion acumulada vehiculos,390
1.2.01.11,1.2.01,asset_fixed,false,(-) Depreciacion acumulada equipo de oficina,400
1.2.02,1.2,asset_non_current,false,Activos intangibles,410
1.2.02.01,1.2.02,asset_non_current,false,Marcas y patentes,420
1.2.02.02,1.2.02,asset_non_current,false,(-) Amortizacion acumulada activos intangibles,430
2,,liability_current,false,PASIVO,440
2.1,2,liability_current,false,PASIVO CORRIENTE,450
2.1.01,2.1,liability_current,false,Cuentas y documentos por pagar,460
2.1.01.01,2.1.01,liability_payable,true,Proveedores locales,470
2.1.01.02,2.1.01,liability_payable,true,Proveedores del exterior,480
2.1.01.03,2.1.01,liability_payable,true,Documentos por pagar proveedores,490
