code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Kassa,10
1010,,asset_cash,false,Arvelduskonto pangas,20
1020,,asset_cash,false,Arvelduskonto pangas välisvaluutas,30
1080,,asset_cash,false,Raha teel,40
1100,,asset_current,false,Lühiajalised finantsinvesteeringud,50
1200,,asset_receivable,true,Nõuded ostjate vastu,60
1208,,asset_current,false,Ebatõenäoliselt laekuvad nõuded,70
1210,,asset_current,false,Maksude ettemaksed ja tagasinõuded,80
1211,,asset_current,true,Käibemaksu tagasinõue — esitatud deklaratsiooni saldo,85
1220,,asset_current,false,Nõuded seotud osapoolte vastu,90
1230,,asset_current,false,Lühiajalised laenunõuded,100
1240,,asset_current,false,Muud lühiajalised nõuded,110
1250,,asset_prepayments,false,Ettemaksed tarnijatele,120
1260,,asset_prepayments,false,Tulevaste perioodide kulud,130
1300,,asset_current,false,Tooraine ja materjal,140
1310,,asset_current,false,Lõpetamata toodang,150
1320,,asset_current,false,Valmistoodang,160
1330,,asset_current,false,Müügiks ostetud kaubad,170
1340,,asset_prepayments,false,Ettemaksed varude eest,180
1500,,asset_non_current,false,Tütarettevõtjate aktsiad ja osad,190
1510,,asset_non_current,false,Sidusettevõtjate aktsiad ja osad,200
1600,,asset_non_current,false,Pikaajalised finantsinvesteeringud,210
1650,,asset_non_current,false,Pikaajalised nõuded ja ettemaksed,220
1700,,asset_fixed,false,Kinnisvarainvesteeringud,230
1750,,asset_fixed,false,Maa,240
1760,,asset_fixed,false,Ehitised,250
1765,,asset_fixed,false,Ehitiste akumuleeritud kulum,260
1770,,asset_fixed,false,Masinad ja seadmed,270
1775,,asset_fixed,false,Masinate ja seadmete akumuleeritud kulum,280
1780,,asset_fixed,false,Muu materiaalne põhivara,290
1785,,asset_fixed,false,Muu materiaalse põhivara akumuleeritud kulum,300
1790,,asset_fixed,false,Lõpetamata projektid ja ettemaksed põhivara eest,310
1900,,asset_fixed,false,Arenguväljaminekud,320
1905,,asset_fixed,false,Arenguväljaminekute akumuleeritud kulum,330
1910,,asset_fixed,false,Tarkvara ja litsentsid,340
1915,,asset_fixed,false,Tarkvara ja litsentside akumuleeritud kulum,350
1950,,asset_fixed,false,Firmaväärtus,360
1955,,asset_fixed,false,Firmaväärtuse akumuleeritud kulum,370
2000,,liability_current,false,Lühiajalised laenukohustised,380
2010,,liability_current,false,Pikaajaliste laenukohustiste lühiajaline osa,390
2020,,liability_current,false,Kapitalirendikohustise lühiajaline osa,400
2100,,liability_payable,true,Võlad tarnijatele,410
2200,,liability_current,false,Palgavõlg,420
2210,,liability_current,false,Puhkusetasu kohustis,430
2310,,liability_current,false,Müügi käibemaks,440
2311,,asset_current,false,Sisendkäibemaks,450
2320,,liability_current,false,Sotsiaalmaksu kohustis,460
2330,,liability_current,false,Kinnipeetud tulumaksu kohustis,470
2340,,liability_current,false,Töötuskindlustusmakse kohustis,480
2350,,liability_current,false,Kogumispensioni makse kohustis,490
2360,,liability_current,false,Tulumaksukohustis,500
2370,,liability_current,true,Käibemaksukohustis — esitatud deklaratsiooni saldo,505
2400,,liability_current,false,Muud lühiajalised võlad,510
2410,,liability_current,false,Võlad seotud osapooltele,520
2490,,liability_current,false,Selgitamata maksed,530
2500,,liability_current,false,Ostjate ettemaksed,540
2510,,liability_current,false,Tulevaste perioodide tulud,550
2600,,liability_current,false,Lühiajalised eraldised,560
2700,,liability_current,false,Lühiajaline sihtfinantseerimine,570
2750,,liability_non_current,false,Pikaajalised laenukohustised,580
2760,,liability_non_current,false,Muud pikaajalised võlad,590
2770,,liability_non_current,false,Pikaajalised eraldised,600
