code,parent,type,reconcilable,name,sequence
10,,equity,false,Capital,10
100,10,equity,false,Capital social,20
103,10,equity,false,Socios por desembolsos no exigidos,30
1030,103,equity,false,"Socios por desembolsos no exigidos, capital social",40
11,,equity,false,Reservas y otros instrumentos de patrimonio,50
110,11,equity,false,Prima de emisión o asunción,60
112,11,equity,false,Reserva legal,70
113,11,equity,false,Reservas voluntarias,80
118,11,equity,false,Aportaciones de socios o propietarios,90
12,,equity_retained,false,Resultados pendientes de aplicación,100
120,12,equity_retained,false,Remanente,110
121,12,equity_retained,false,Resultados negativos de ejercicios anteriores,120
129,12,equity,false,Resultado del ejercicio,130
13,,equity,false,"Subvenciones, donaciones y ajustes por cambios de valor",140
130,13,equity,false,Subvenciones oficiales de capital,150
131,13,equity,false,Donaciones y legados de capital,160
132,13,equity,false,"Otras subvenciones, donaciones y legados",170
14,,liability_non_current,false,Provisiones,180
141,14,liability_non_current,false,Provisión para impuestos,190
142,14,liability_non_current,false,Provisión para otras responsabilidades,200
143,14,liability_non_current,false,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",210
17,,liability_non_current,false,"Deudas a largo plazo por préstamos recibidos, empréstitos y otros conceptos",220
170,17,liability_non_current,false,Deudas a largo plazo con entidades de crédito,230
171,17,liability_non_current,false,Deudas a largo plazo,240
173,17,liability_non_current,false,Proveedores de inmovilizado a largo plazo,250
174,17,liability_non_current,false,Acreedores por arrendamiento financiero a largo plazo,260
175,17,liability_non_current,false,Efectos a pagar a largo plazo,270
18,,liability_non_current,false,"Pasivos por fianzas, garantías y otros conceptos a largo plazo",280
180,18,liability_non_current,false,Fianzas recibidas a largo plazo,290
185,18,liability_non_current,false,Depósitos recibidos a largo plazo,300
20,,asset_fixed,false,Inmovilizaciones intangibles,310
200,20,asset_fixed,false,Investigación,320
201,20,asset_fixed,false,Desarrollo,330
203,20,asset_fixed,false,Propiedad industrial,340
204,20,asset_fixed,false,Fondo de comercio,350
206,20,asset_fixed,false,Aplicaciones informáticas,360
209,20,asset_fixed,false,Anticipos para inmovilizaciones intangibles,370
21,,asset_fixed,false,Inmovilizaciones materiales,380
210,21,asset_fixed,false,Terrenos y bienes naturales,390
211,21,asset_fixed,false,Construcciones,400
212,21,asset_fixed,false,Instalaciones técnicas,410
213,21,asset_fixed,false,Maquinaria,420
214,21,asset_fixed,false,Utillaje,430
215,21,asset_fixed,false,Otras instalaciones,440
216,21,asset_fixed,false,Mobiliario,450
217,21,asset_fixed,false,Equipos para procesos de información,460
218,21,asset_fixed,false,Elementos de transporte,470
219,21,asset_fixed,false,Otro inmovilizado material,480
22,,asset_fixed,false,Inversiones inmobiliarias,490
220,22,asset_fixed,false,Inversiones en terrenos y bienes naturales,500
221,22,asset_fixed,false,Inversiones en construcciones,510
23,,asset_fixed,false,Inmovilizaciones materiales en curso,520
231,23,asset_fixed,false,Construcciones en curso,530
