code,parent,type,reconcilable,name,sequence
10,,equity,false,Capital et réserves,10
101,10,equity,false,Capital,20
101000,101,equity,false,Capital,30
104,10,equity,false,Primes liées au capital social,40
104100,104,equity,false,Primes d'émission,50
105,10,equity,false,Écarts de réévaluation,60
106,10,equity,false,Réserves,70
106100,106,equity,false,Réserve légale,80
106300,106,equity,false,Réserves statutaires ou contractuelles,90
108,10,equity,false,Compte de l'exploitant,100
11,,equity_retained,false,Report à nouveau,110
110,11,equity_retained,false,Report à nouveau (solde créditeur),120
110000,110,equity_retained,false,Report à nouveau créditeur,130
119,11,equity_retained,false,Report à nouveau (solde débiteur),140
119000,119,equity_retained,false,Report à nouveau débiteur,150
12,,equity,false,Résultat de l'exercice,160
120,12,equity,false,Résultat de l'exercice (bénéfice),170
120000,120,equity,false,Résultat de l'exercice — bénéfice,180
129,12,equity,false,Résultat de l'exercice (perte),190
129000,129,equity,false,Résultat de l'exercice — perte,200
13,,equity,false,Subventions d'investissement,210
131,13,equity,false,Subventions d'équipement,220
131000,131,equity,false,Subventions d'équipement reçues,230
139,13,equity,false,Subventions d'investissement inscrites au compte de résultat,240
14,,equity,false,Provisions réglementées,250
145,14,equity,false,Amortissements dérogatoires,260
148,14,equity,false,Autres provisions réglementées,270
15,,liability_non_current,false,Provisions,280
151,15,liability_non_current,false,Provisions pour risques,290
151100,151,liability_non_current,false,Provisions pour litiges,300
153,15,liability_non_current,false,Provisions pour pensions et obligations similaires,310
155,15,liability_non_current,false,Provisions pour impôts,320
158,15,liability_non_current,false,Autres provisions pour charges,330
158000,158,liability_non_current,false,Autres provisions pour charges,340
16,,liability_non_current,false,Emprunts et dettes assimilées,350
161,16,liability_non_current,false,Emprunts obligataires convertibles,360
164,16,liability_non_current,false,Emprunts auprès des établissements de crédit,370
164000,164,liability_non_current,false,Emprunts auprès des établissements de crédit,380
165,16,liability_non_current,false,Dépôts et cautionnements reçus,390
166,16,liability_non_current,false,Participation des salariés aux résultats,400
167,16,liability_non_current,false,Emprunts et dettes assortis de conditions particulières,410
168,16,liability_non_current,false,Autres emprunts et dettes assimilées,420
168800,168,liability_non_current,false,Intérêts courus sur emprunts et dettes,430
17,,liability_non_current,false,Dettes rattachées à des participations,440
171,17,liability_non_current,false,Dettes rattachées à des participations (groupe),450
18,,liability_non_current,false,Comptes de liaison des établissements et sociétés en participation,460
181,18,liability_non_current,false,Comptes de liaison des établissements,470
20,,asset_fixed,false,Immobilisations incorporelles,480
201,20,asset_fixed,false,Frais d'établissement,490
203,20,asset_fixed,false,Frais de recherche et de développement,500
