code,parent,type,reconcilable,name,sequence
0100,,asset_fixed,false,გუდვილი,10
0101,,asset_fixed,false,გუდვილი — დაგროვილი ამორტიზაცია,20
0110,,asset_fixed,false,პროგრამული უზრუნველყოფა და სხვა არამატერიალური აქტივები,30
0111,,asset_fixed,false,პროგრამული უზრუნველყოფა — დაგროვილი ამორტიზაცია,40
0120,,asset_fixed,false,კვლევისა და განვითარების კაპიტალიზებული ხარჯები,50
0121,,asset_fixed,false,კვლევისა და განვითარების ხარჯები — დაგროვილი ამორტიზაცია,60
0200,,asset_fixed,false,მიწის ნაკვეთები,70
0210,,asset_fixed,false,შენობა-ნაგებობები,80
0211,,asset_fixed,false,შენობა-ნაგებობები — დაგროვილი ცვეთა,90
0220,,asset_fixed,false,მანქანა-დანადგარები,100
0221,,asset_fixed,false,მანქანა-დანადგარები — დაგროვილი ცვეთა,110
0230,,asset_fixed,false,სატრანსპორტო საშუალებები,120
0231,,asset_fixed,false,სატრანსპორტო საშუალებები — დაგროვილი ცვეთა,130
0240,,asset_fixed,false,ავეჯი და საოფისე ინვენტარი,140
0241,,asset_fixed,false,ავეჯი და საოფისე ინვენტარი — დაგროვილი ცვეთა,150
0250,,asset_fixed,false,კომპიუტერული ტექნიკა,160
0251,,asset_fixed,false,კომპიუტერული ტექნიკა — დაგროვილი ცვეთა,170
0260,,asset_fixed,false,დაუმთავრებელი მშენებლობა და მიმდინარე კაპიტალური დაბანდებები,180
0270,,asset_fixed,false,საიჯარო ქონების გაუმჯობესება,190
0271,,asset_fixed,false,საიჯარო ქონების გაუმჯობესება — დაგროვილი ცვეთა,200
0280,,asset_fixed,false,გამოსაყენებლად უფლების აქტივი (იჯარა),210
0281,,asset_fixed,false,გამოსაყენებლად უფლების აქტივი — დაგროვილი ცვეთა,220
0300,,asset_non_current,false,გრძელვადიანი ფინანსური ინვესტიციები,230
0310,,asset_non_current,false,შვილობილი და ასოცირებული საწარმოების წილები,240
0320,,asset_non_current,false,სხვა საწარმოებისთვის გაცემული გრძელვადიანი სესხები,250
0330,,asset_non_current,false,გადავადებული საგადასახადო აქტივი,260
0340,,asset_non_current,false,გრძელვადიანი დებიტორული დავალიანება,270
0350,,asset_non_current,false,საინვესტიციო ქონება,280
1000,,asset_current,false,ნედლეული და მასალები,290
1010,,asset_current,false,დაუმთავრებელი წარმოება,300
1020,,asset_current,false,მზა პროდუქცია,310
1030,,asset_current,false,სასაქონლო მარაგები,320
1040,,asset_current,false,გზაში (გადაუზიდავი) საქონელი,330
1050,,asset_current,false,მცირეფასიანი და სწრაფცვეთადი საგნები,340
1100,,asset_receivable,true,მყიდველთა და შემკვეთთა დებიტორული დავალიანება,350
1110,,asset_receivable,true,საეჭვო ვალების რეზერვი,360
1120,,asset_receivable,true,სხვა დებიტორული დავალიანება,370
1130,,asset_receivable,true,დაკავშირებულ მხარეებთან დებიტორული დავალიანება,380
1200,,asset_prepayments,false,მომწოდებლებზე გაცემული ავანსები,390
1210,,asset_prepayments,false,მომავალი პერიოდის წინასწარგადახდილი ხარჯები,400
1220,,asset_prepayments,false,დაზღვევის წინასწარგადახდილი პრემია,410
1300,,asset_cash,false,სალაროში ნაღდი ფული,420
1310,,asset_cash,false,საბანკო ანგარიშები ლარში,430
1320,,asset_cash,false,საბანკო ანგარიშები უცხოურ ვალუტაში,440
1330,,asset_cash,false,ინკასაციაში (გზაში) ფულადი სახსრები,450
1450,,asset_current,false,ჩასათვლელი დღგ შესყიდვებზე,460
1451,,asset_current,true,ბიუჯეტთან ანგარიშსწორება — შესამცირებელი (მისაღები) დღგ,470
1460,,asset_current,false,ბიუჯეტთან ანგარიშსწორება — სხვა გადასახადები,480
1470,,asset_current,false,თანამშრომლებზე გაცემული ანგარიშვალდებული თანხები,490
1480,,asset_current,false,მოკლევადიანი ფინანსური ინვესტიციები,500
1490,,asset_current,false,სხვა მიმდინარე აქტივები,510
2000,,liability_payable,true,მომწოდებელთა და კრედიტორთა დავალიანება,520
2010,,liability_payable,true,დაკავშირებულ მხარეებთან კრედიტორული დავალიანება,530
2020,,liability_payable,true,მყიდველებისგან მიღებული ავანსები,540
2100,,liability_current,false,დარიცხული დღგ რეალიზაციაზე,550
2110,,liability_current,true,ბიუჯეტთან ანგარიშსწორება — გადასახდელი დღგ,560
2120,,liability_current,false,მოგების გადასახადის ვალდებულება,570
2130,,liability_current,false,ხელფასის ვალდებულება პერსონალის წინაშე,580
2140,,liability_current,false,საშემოსავლო გადასახადისა და სავალდებულო გადასახდელების ვალდებულება,590
2150,,liability_current,false,მოკლევადიანი დარიცხული ხარჯები,600
2160,,liability_current,false,მოკლევადიანი სესხები და კრედიტები,610
2170,,liability_current,false,მოკლევადიანი საიჯარო ვალდებულება,620
