code,parent,type,reconcilable,name,sequence
1000,,asset_fixed,false,Γήπεδα - Οικόπεδα,10
1010,,asset_fixed,false,Ορυχεία - Λατομεία - Δασικές εκτάσεις,20
1100,,asset_fixed,false,Κτίρια και τεχνικά έργα,30
1110,,asset_fixed,false,Εγκαταστάσεις κτιρίων σε ακίνητα τρίτων,40
1200,,asset_fixed,false,Μηχανήματα,50
1210,,asset_fixed,false,Τεχνικές εγκαταστάσεις,60
1220,,asset_fixed,false,Φορητά μηχανήματα και εργαλεία,70
1300,,asset_fixed,false,Μεταφορικά μέσα ξηράς,80
1310,,asset_fixed,false,Μεταφορικά μέσα θαλάσσης και αέρος,90
1400,,asset_fixed,false,Έπιπλα,100
1410,,asset_fixed,false,Σκεύη,110
1420,,asset_fixed,false,Μηχανές γραφείων,120
1430,,asset_fixed,false,Ηλεκτρονικοί υπολογιστές και λογισμικό,130
1500,,asset_fixed,false,Ακινητοποιήσεις υπό εκτέλεση,140
1510,,asset_fixed,false,Προκαταβολές για κτήσεις πάγιων στοιχείων,150
1600,,asset_fixed,false,Έξοδα ίδρυσης και πρώτης εγκατάστασης,160
1610,,asset_fixed,false,Έξοδα ερευνών και ανάπτυξης,170
1620,,asset_fixed,false,Παραχωρήσεις και δικαιώματα βιομηχανικής ιδιοκτησίας,180
1630,,asset_fixed,false,Δικαιώματα χρήσης άυλων παγίων και λογισμικού,190
1700,,asset_non_current,false,Συμμετοχές σε συνδεδεμένες επιχειρήσεις,200
1710,,asset_non_current,false,Συμμετοχές σε συγγενείς επιχειρήσεις,210
1800,,asset_non_current,false,Συμμετοχές σε λοιπές επιχειρήσεις,220
1810,,asset_non_current,false,Λοιποί τίτλοι πάγιας επένδυσης,230
1820,,asset_non_current,false,Μακροπρόθεσμες απαιτήσεις κατά συνδεδεμένων επιχειρήσεων,240
1900,,asset_fixed,false,Αποσβεσμένα άυλα πάγια στοιχεία,250
1910,,asset_fixed,false,Αποσβεσμένα ενσώματα πάγια στοιχεία,260
2000,,asset_current,false,Εμπορεύματα,270
2002,,asset_current,false,Αγορές εμπορευμάτων χρήσεως,280
2100,,asset_current,false,Προϊόντα έτοιμα,290
2110,,asset_current,false,Προϊόντα ημιτελή,300
2200,,asset_current,false,Υποπροϊόντα και υπολείμματα,310
2300,,asset_current,false,Παραγωγή σε εξέλιξη,320
2400,,asset_current,false,Πρώτες και βοηθητικές ύλες,330
2410,,asset_current,false,Υλικά συσκευασίας,340
2500,,asset_current,false,Αναλώσιμα υλικά,350
2510,,asset_current,false,Ανταλλακτικά παγίων,360
2520,,asset_current,false,Είδη συσκευασίας,370
2800,,asset_current,false,Προκαταβολές για αγορές αποθεμάτων,380
3000,,asset_receivable,true,Πελάτες εσωτερικού,390
3001,,asset_receivable,true,Πελάτες ενδοκοινοτικοί,400
3002,,asset_receivable,true,Πελάτες τρίτων χωρών,410
3003,,asset_receivable,true,Επισφαλείς πελάτες,420
3100,,asset_receivable,true,Γραμμάτια εισπρακτέα στο χαρτοφυλάκιο,430
3110,,asset_receivable,true,Γραμμάτια εισπρακτέα σε καθυστέρηση,440
3200,,asset_non_current,false,Λοιπές μακροπρόθεσμες απαιτήσεις,450
3300,,asset_current,false,Χρεώστες διάφοροι,460
3301,,asset_current,true,Ελληνικό Δημόσιο - ΦΠΑ προς επιστροφή ή συμψηφισμό,470
3310,,asset_current,false,Προκαταβολές σε προμηθευτές,480
3320,,asset_current,false,Βραχυπρόθεσμες απαιτήσεις κατά συνδεδεμένων επιχειρήσεων,490
3400,,asset_current,false,Μετοχές,500
3410,,asset_current,false,Ομολογίες,510
3600,,asset_prepayments,false,Έξοδα επόμενων χρήσεων,520
3610,,asset_prepayments,false,Έξοδα υπό τακτοποίηση,530
3620,,asset_prepayments,false,Έσοδα χρήσεως εισπρακτέα,540
3800,,asset_cash,false,Ταμείο,550
3803,,asset_cash,false,Καταθέσεις όψεως σε ευρώ,560
3804,,asset_cash,false,Καταθέσεις όψεως σε ξένο νόμισμα,570
3805,,asset_cash,false,Καταθέσεις προθεσμίας,580
4000,,equity,false,Κεφάλαιο εταίρων ή μετόχων,590
4100,,equity,false,Τακτικό αποθεματικό,600
4110,,equity,false,Αποθεματικά καταστατικού,610
4120,,equity,false,Έκτακτα αποθεματικά,620
4130,,equity,false,Αφορολόγητα αποθεματικά ειδικών διατάξεων νόμων,630
4200,,equity_retained,false,Κέρδη (ζημίες) εις νέο,640
4400,,liability_non_current,false,Επιχορηγήσεις παγίων επενδύσεων,650
4500,,liability_non_current,false,Προβλέψεις για αποζημίωση προσωπικού λόγω εξόδου από την υπηρεσία,660
4510,,liability_non_current,false,Λοιπές προβλέψεις,670
4700,,liability_non_current,false,Μακροπρόθεσμες υποχρεώσεις σε τράπεζες,680
4710,,liability_non_current,false,Ομολογιακά δάνεια,690
4750,,liability_non_current,false,Λοιπές μακροπρόθεσμες υποχρεώσεις,700
5000,,liability_payable,true,Προμηθευτές εσωτερικού,710
5001,,liability_payable,true,Προμηθευτές ενδοκοινοτικοί,720
5002,,liability_payable,true,Προμηθευτές τρίτων χωρών,730
5010,,liability_payable,true,Επιταγές πληρωτέες μεταχρονολογημένες,740
5100,,liability_payable,true,Γραμμάτια πληρωτέα,750
5200,,liability_current,false,Τράπεζες - Λογαριασμοί βραχυπρόθεσμων υποχρεώσεων,760
5210,,liability_current,false,Μακροπρόθεσμες υποχρεώσεις πληρωτέες στην επόμενη χρήση,770
5300,,liability_current,false,Πιστωτές διάφοροι,780
5310,,liability_current,false,Προκαταβολές πελατών,790
5400,,liability_current,false,ΦΠΑ εκροών (φόρος επί πωλήσεων και παροχής υπηρεσιών),800
5401,,asset_current,false,ΦΠΑ εισροών εκπιπτόμενος (φόρος επί αγορών και δαπανών),810
5402,,liability_current,true,ΦΠΑ εκκαθάρισης - αποδοτέο στο Ελληνικό Δημόσιο,820
5403,,liability_current,false,Ελληνικό Δημόσιο - Προκαταβλητέος και παρακρατούμενος φόρος εισοδήματος,830
5404,,liability_current,false,Φόρος μισθωτών υπηρεσιών παρακρατούμενος,840
5500,,liability_current,false,Ασφαλιστικοί οργανισμοί (ΕΦΚΑ),850
5510,,liability_current,false,Λοιποί ασφαλιστικοί οργανισμοί,860
5600,,liability_current,false,Έξοδα χρήσεως δουλευμένα,870
5620,,liability_current,false,Έσοδα επόμενων χρήσεων,880
5800,,liability_current,false,Λογαριασμοί συνδέσεως και λοιπές εκκρεμείς μεταφορές (ενδιάμεσος λογαριασμός),890
6000,,expense,false,Αμοιβές έμμισθου προσωπικού,900
6010,,expense,false,Αμοιβές ημερομίσθιου προσωπικού,910
6020,,expense,false,Εργοδοτικές εισφορές,920
6100,,expense,false,Αμοιβές ελεύθερων επαγγελματιών,930
6110,,expense,false,Αμοιβές τρίτων εμπορικών επιχειρήσεων,940
6200,,expense,false,Ηλεκτρικό ρεύμα παραγωγικής διαδικασίας,950
6210,,expense,false,Ενοίκια,960
6220,,expense,false,Ασφάλιστρα,970
6230,,expense,false,Επισκευές και συντηρήσεις,980
6240,,expense,false,Τηλεπικοινωνίες,990
6300,,expense,false,Φόροι - τέλη (πλην φόρου εισοδήματος),1000
6310,,expense,false,Δημοτικοί φόροι - τέλη,1010
6400,,expense,false,Έξοδα μεταφορών,1020
6410,,expense,false,Έξοδα προβολής και διαφήμισης,1030
6420,,expense,false,Έξοδα ταξιδιών,1040
6430,,expense,false,Διάφορα έξοδα,1050
6500,,expense,false,Τόκοι και έξοδα τραπεζών,1060
6600,,expense_depreciation,false,Αποσβέσεις ενσώματων παγίων στοιχείων,1070
6610,,expense_depreciation,false,Αποσβέσεις άυλων παγίων στοιχείων,1080
6800,,expense,false,Προβλέψεις εκμεταλλεύσεως,1090
7000,,income,false,Πωλήσεις εμπορευμάτων εσωτερικού,1100
7001,,income,false,Πωλήσεις εμπορευμάτων ενδοκοινοτικές,1110
7002,,income,false,Πωλήσεις εμπορευμάτων εξαγωγές (εκτός Ε.Ε.),1120
7100,,income,false,Πωλήσεις προϊόντων έτοιμων,1130
7110,,income,false,Πωλήσεις προϊόντων ημιτελών,1140
7300,,income,false,Πωλήσεις υπηρεσιών εσωτερικού,1150
7301,,income,false,Πωλήσεις υπηρεσιών σε λήπτες άλλου κράτους μέλους,1160
7302,,income,false,Πωλήσεις υπηρεσιών εκτός Ε.Ε.,1170
7400,,income_other,false,Επιχορηγήσεις πωλήσεων,1180
7410,,income_other,false,Διάφορα έσοδα πωλήσεων,1190
7600,,income_other,false,Έσοδα συμμετοχών,1200
7610,,income_other,false,Έσοδα χρεογράφων,1210
7620,,income_other,false,Πιστωτικοί τόκοι,1220
7800,,income_other,false,Έκτακτα και ανόργανα έσοδα,1230
7810,,income_other,false,Έσοδα προηγούμενων χρήσεων,1240
8000,,equity,false,Λογαριασμός γενικής εκμεταλλεύσεως,1250
8100,,equity,false,Έκτακτα και ανόργανα αποτελέσματα,1260
8200,,equity,false,Αποτελέσματα προηγούμενων χρήσεων,1270
8600,,equity,false,Αποτελέσματα (κέρδη ή ζημίες) χρήσεως προς διάθεση,1280
