code,parent,type,reconcilable,name,sequence
100,,asset_current,false,Activo,10
110,100,asset_current,false,Activo corriente,20
111,110,asset_cash,false,Efectivo y equivalentes de efectivo,30
1111,111,asset_cash,false,Caja general,40
1112,111,asset_cash,false,Caja chica,50
1113,111,asset_cash,false,Bancos - cuentas monetarias,60
1114,111,asset_cash,false,Bancos - cuentas de ahorro,70
1115,111,asset_current,false,Inversiones temporales,80
112,110,asset_current,false,Cuentas por cobrar comerciales,90
1121,112,asset_receivable,true,Clientes locales,100
1122,112,asset_receivable,true,Clientes del exterior,110
1123,112,asset_receivable,true,Documentos por cobrar,120
113,110,asset_current,false,Otras cuentas por cobrar,130
1131,113,asset_current,false,Anticipos a proveedores,140
1132,113,asset_current,false,Préstamos y anticipos a empleados,150
1133,113,asset_current,false,Cuentas por cobrar a socios y accionistas,160
1134,113,asset_current,false,Deudores varios,170
114,110,asset_current,false,Impuestos por cobrar,180
1141,114,asset_current,false,IVA - Crédito Fiscal,190
1142,114,asset_current,true,IVA - Crédito Fiscal por Cobrar,200
1143,114,asset_current,false,Impuesto Sobre la Renta - Pagos a cuenta,210
1144,114,asset_current,false,Isr Retenido por Terceros,220
115,110,asset_prepayments,false,Gastos pagados por anticipado,230
116,110,asset_current,false,Inventarios,240
1161,116,asset_current,false,Mercaderías,250
1162,116,asset_current,false,Materias primas,260
1163,116,asset_current,false,Productos en proceso de producción,270
1164,116,asset_current,false,Productos terminados,280
1165,116,asset_current,false,Repuestos y materiales diversos,290
119,110,asset_current,false,Partidas pendientes de imputación,300
120,100,asset_non_current,false,Activo no corriente,310
121,120,asset_fixed,false,"Propiedad, planta y equipo",320
1211,121,asset_fixed,false,Terrenos,330
1212,121,asset_fixed,false,Edificios y construcciones,340
1213,121,asset_fixed,false,Maquinaria y equipo,350
1214,121,asset_fixed,false,Mobiliario y equipo de oficina,360
1215,121,asset_fixed,false,Vehículos,370
1216,121,asset_fixed,false,Equipo de cómputo,380
1217,121,asset_fixed,false,Mejoras a propiedades arrendadas,390
1218,121,asset_fixed,false,Depreciación acumulada - Edificios y construcciones,400
1219,121,asset_fixed,false,Depreciación acumulada - Maquinaria y equipo,410
12110,121,asset_fixed,false,Depreciación acumulada - Mobiliario y equipo de oficina,420
12111,121,asset_fixed,false,Depreciación acumulada - Vehículos,430
