code,parent,type,reconcilable,name,sequence
1100,,asset_fixed,false,Vagyoni értékű jogok,10
1110,,asset_fixed,false,Szellemi termékek (szoftver),20
1120,,asset_fixed,false,Kísérleti fejlesztés aktivált értéke,30
1130,,asset_fixed,false,Üzleti vagy cégérték,40
1140,,asset_fixed,false,Immateriális javakra adott előlegek,50
1200,,asset_fixed,false,Ingatlanok és a kapcsolódó vagyoni értékű jogok,60
1210,,asset_fixed,false,"Műszaki berendezések, gépek, járművek",70
1220,,asset_fixed,false,"Egyéb berendezések, felszerelések",80
1230,,asset_fixed,false,"Beruházások, felújítások",90
1240,,asset_fixed,false,Beruházásokra adott előlegek,100
1300,,asset_non_current,false,Tartós részesedés kapcsolt vállalkozásban,110
1310,,asset_non_current,false,Tartósan adott kölcsön kapcsolt vállalkozásnak,120
1320,,asset_non_current,false,Egyéb hosszú lejáratú befektetett pénzügyi eszköz,130
2100,,asset_current,false,Anyagok,140
2110,,asset_current,false,Befejezetlen termelés és félkész termékek,150
2120,,asset_current,false,Késztermékek,160
2130,,asset_current,false,Áruk,170
2140,,asset_current,false,Készletekre adott előlegek,180
2200,,asset_receivable,true,Vevőkövetelések,190
2210,,asset_current,false,Kapcsolt vállalkozással szembeni követelés,200
2215,,asset_current,false,Munkavállalókkal szembeni követelés,220
2216,,asset_current,false,Tagokkal (tulajdonosokkal) szembeni követelés,230
2220,,asset_current,false,Egyéb követelés,240
2221,,asset_current,false,Levonható előzetesen felszámított áfa 27%,250
2222,,asset_current,false,Levonható előzetesen felszámított áfa 18%,260
2223,,asset_current,false,Levonható előzetesen felszámított áfa 5%,270
2224,,asset_current,false,"Levonható előzetesen felszámított áfa — önadózás (közösségi beszerzés, fordított adózás, külföldi szolgáltatás)",280
2230,,asset_current,true,Költségvetéssel szembeni követelés — általános forgalmi adó,290
2235,,asset_current,false,Költségvetéssel szembeni egyéb követelés,300
2240,,asset_current,true,Elszámolási (átvezetési) számla,310
2300,,asset_current,false,Egyéb részesedés,320
2310,,asset_current,false,"Saját részvények, üzletrészek",330
2320,,asset_current,false,Egyéb értékpapír,340
2400,,asset_cash,false,Pénztár,350
2410,,asset_cash,false,Bankbetétek — elszámolási számla,360
2420,,asset_cash,false,Bankbetétek — elkülönített számla,370
3100,,asset_prepayments,false,Aktív időbeli elhatárolás — bevételek,380
3110,,asset_prepayments,false,"Aktív időbeli elhatárolás — költségek, ráfordítások",390
3120,,asset_prepayments,false,Halasztott ráfordítások,400
4100,,equity,false,Jegyzett tőke,410
4200,,equity,false,"Jegyzett, de még be nem fizetett tőke",420
4300,,equity,false,Tőketartalék,430
4400,,equity_retained,false,Eredménytartalék,440
4500,,equity,false,Lekötött tartalék,450
4600,,equity,false,Értékelési tartalék,460
4710,,equity,false,Adózott eredmény — nyereség,470
4720,,equity,false,Adózott eredmény — veszteség,480
5100,,liability_non_current,false,Céltartalék várható kötelezettségekre,490
5110,,liability_non_current,false,Céltartalék jövőbeni költségekre,500
5120,,liability_non_current,false,Egyéb céltartalék,510
6100,,liability_non_current,false,Hátrasorolt kötelezettség kapcsolt vállalkozással szemben,520
6110,,liability_non_current,false,Hátrasorolt kötelezettség egyéb részesedési viszonyban lévő vállalkozással szemben,530
6200,,liability_non_current,false,Hosszú lejáratú hitel,540
