code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Kas dan bank,10
1010,1000,asset_cash,false,Kas kecil,11
1011,1000,asset_cash,false,Kas besar,12
1020,1000,asset_cash,false,Bank,13
1021,1020,asset_cash,false,Bank Rupiah,14
1022,1020,asset_cash,false,Bank valuta asing,15
1100,,asset_receivable,true,Piutang usaha - pihak ketiga,20
1105,,asset_receivable,true,Piutang usaha - pihak berelasi,21
1110,,asset_current,false,Piutang karyawan,22
1120,,asset_current,false,Piutang lain-lain,23
1130,,asset_current,false,Penyisihan kerugian piutang,24
1150,,asset_current,true,Pajak Pertambahan Nilai Masukan,30
1151,1150,asset_current,false,PPN Masukan - perolehan dalam negeri,31
1152,1150,asset_current,false,PPN Masukan - impor dan pemanfaatan dari luar Daerah Pabean,32
1160,,asset_current,false,Pajak Penghasilan dibayar dimuka,33
1161,1160,asset_current,false,PPh Pasal 22 dibayar dimuka,34
1162,1160,asset_current,false,PPh Pasal 23 dibayar dimuka,35
1163,1160,asset_current,false,PPh Pasal 25 dibayar dimuka,36
1200,,asset_current,false,Persediaan barang dagangan,40
1210,,asset_current,false,Persediaan bahan baku,41
1220,,asset_current,false,Persediaan barang dalam proses,42
1230,,asset_current,false,Persediaan barang jadi,43
1240,,asset_current,false,Persediaan perlengkapan,44
1250,,asset_current,false,Uang muka pembelian,50
1260,,asset_prepayments,false,Biaya dibayar dimuka,51
1261,1260,asset_prepayments,false,Sewa dibayar dimuka,52
1262,1260,asset_prepayments,false,Asuransi dibayar dimuka,53
1270,,asset_current,false,Aset lancar lainnya,54
1300,,asset_fixed,false,Tanah,70
1310,,asset_fixed,false,Bangunan,71
1311,,asset_fixed,false,Akumulasi penyusutan bangunan,72
1320,,asset_fixed,false,Mesin dan peralatan,73
1321,,asset_fixed,false,Akumulasi penyusutan mesin dan peralatan,74
1330,,asset_fixed,false,Kendaraan,75
1331,,asset_fixed,false,Akumulasi penyusutan kendaraan,76
1340,,asset_fixed,false,Peralatan kantor,77
1341,,asset_fixed,false,Akumulasi penyusutan peralatan kantor,78
1350,,asset_fixed,false,Perabot dan perlengkapan,79
1351,,asset_fixed,false,Akumulasi penyusutan perabot dan perlengkapan,80
1400,,asset_non_current,false,Aset tak berwujud,90
1410,,asset_non_current,false,Piutang jangka panjang,91
1420,,asset_non_current,false,Investasi jangka panjang,92
1430,,asset_non_current,false,Uang jaminan,93
