code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,קופה,10
1010,,asset_cash,false,בנק — חשבון שקלי,20
1015,,asset_cash,false,בנק — חשבון מט״ח,30
1020,,asset_cash,false,פיקדונות לזמן קצר,40
1100,,asset_receivable,true,לקוחות,50
1105,,asset_current,false,לקוחות — צ'קים לגביה,55
1110,,asset_current,false,לקוחות — הפרשה לחובות מסופקים,60
1120,,asset_current,true,חייבים אחרים,70
1130,,asset_prepayments,false,הוצאות מראש,80
1140,,asset_current,false,מקדמות לספקים,90
1145,,asset_current,false,ניכוי מס במקור לקבל,95
1150,,asset_current,false,מע״מ תשומות,100
1155,,asset_current,true,מע״מ לקבל מרשות המסים — נטו לאחר הגשת דוח,110
1160,,asset_current,false,מקדמות מס הכנסה,120
1165,,asset_current,false,מקדמות לעובדים,125
1170,,asset_current,false,פיקדונות ביטחון ששולמו,128
1200,,asset_current,false,מלאי — סחורה למכירה,130
1210,,asset_current,false,מלאי — חומרי גלם,140
1220,,asset_current,false,מלאי — עבודה בתהליך,150
1230,,asset_current,false,מלאי — תוצרת גמורה,160
1240,,asset_current,false,מלאי בדרך,165
1300,,asset_current,false,השקעות לזמן קצר,170
1310,,asset_current,false,ניירות ערך סחירים,175
1600,,asset_fixed,false,קרקעות ומבנים — עלות,180
1601,,asset_fixed,false,קרקעות ומבנים — פחת נצבר,190
1610,,asset_fixed,false,השבחות במושכר — עלות,200
1611,,asset_fixed,false,השבחות במושכר — פחת נצבר,210
1620,,asset_fixed,false,מכונות וציוד — עלות,220
1621,,asset_fixed,false,מכונות וציוד — פחת נצבר,230
1630,,asset_fixed,false,ריהוט וציוד משרדי — עלות,240
1631,,asset_fixed,false,ריהוט וציוד משרדי — פחת נצבר,250
1640,,asset_fixed,false,כלי רכב — עלות,260
1641,,asset_fixed,false,כלי רכב — פחת נצבר,270
1650,,asset_fixed,false,מחשבים וציוד היקפי — עלות,275
1651,,asset_fixed,false,מחשבים וציוד היקפי — פחת נצבר,278
1660,,asset_fixed,false,נדל״ן להשקעה — עלות,280
1661,,asset_fixed,false,נדל״ן להשקעה — פחת נצבר,282
1700,,asset_non_current,false,השקעות בחברות מוחזקות,290
1710,,asset_non_current,false,פיקדונות והלוואות לזמן ארוך,300
1720,,asset_non_current,false,פיקדון ביטחון לחכירה,305
1750,,asset_non_current,false,נכסים בלתי מוחשיים — עלות,310
1751,,asset_non_current,false,נכסים בלתי מוחשיים — הפחתה נצברת,320
1760,,asset_non_current,false,מוניטין,325
2000,,liability_payable,true,ספקים,330
2005,,liability_current,false,ספקים — צ'קים לתשלום,335
2010,,liability_current,false,זכאים שונים והוצאות לשלם,340
2020,,liability_current,false,הכנסות מראש,350
2030,,liability_current,false,מקדמות מלקוחות,360
2040,,liability_current,false,מס הכנסה לשלם — חברה,365
2045,,liability_current,false,דיבידנד לתשלום,368
2050,,liability_current,false,שכר עבודה לשלם,370
