code,parent,type,reconcilable,name,sequence
0010,,asset_fixed,false,Costi di impianto e di ampliamento,10
0015,,asset_fixed,false,Costi di sviluppo,20
0020,,asset_fixed,false,Diritti di brevetto industriale,30
0025,,asset_fixed,false,Diritti di utilizzazione di opere dell'ingegno,40
0030,,asset_fixed,false,"Concessioni, licenze, marchi e diritti simili",50
0035,,asset_fixed,false,Licenze d'uso di software,60
0040,,asset_fixed,false,Avviamento,70
0045,,asset_fixed,false,Migliorie su beni di terzi,80
0050,,asset_fixed,false,Immobilizzazioni immateriali in corso e acconti,90
0090,,asset_fixed,false,Fondo ammortamento immobilizzazioni immateriali,100
0100,,asset_fixed,false,Terreni,110
0105,,asset_fixed,false,Fabbricati industriali,120
0110,,asset_fixed,false,Fabbricati civili,130
0115,,asset_fixed,false,Impianti generici,140
0120,,asset_fixed,false,Impianti specifici,150
0125,,asset_fixed,false,Macchinario,160
0130,,asset_fixed,false,Attrezzatura industriale e commerciale,170
0135,,asset_fixed,false,Mobili e arredi,180
0140,,asset_fixed,false,Macchine d'ufficio elettroniche,190
0145,,asset_fixed,false,Automezzi,200
0150,,asset_fixed,false,Autovetture,210
0155,,asset_fixed,false,Immobilizzazioni materiali in corso e acconti,220
0190,,asset_fixed,false,Fondo ammortamento immobilizzazioni materiali,230
0200,,asset_non_current,false,Partecipazioni in imprese controllate,240
0205,,asset_non_current,false,Partecipazioni in imprese collegate,250
0210,,asset_non_current,false,Partecipazioni in altre imprese,260
0220,,asset_non_current,false,Crediti finanziari verso imprese controllate,270
0225,,asset_non_current,false,Crediti finanziari verso imprese collegate,280
0230,,asset_non_current,false,Altri crediti finanziari immobilizzati,290
1000,,asset_current,false,Materie prime,300
1005,,asset_current,false,Semilavorati,310
1010,,asset_current,false,Prodotti in corso di lavorazione,320
1015,,asset_current,false,Prodotti finiti,330
1020,,asset_current,false,Merci,340
1025,,asset_current,false,Acconti a fornitori per rimanenze,350
1100,,asset_receivable,true,Crediti verso clienti Italia,360
1101,,asset_receivable,true,Crediti verso clienti UE,370
1102,,asset_receivable,true,Crediti verso clienti extra-UE,380
