code,parent,type,reconcilable,name,sequence
1110,,asset_cash,false,現金,10
1120,,asset_cash,false,当座預金,20
1130,,asset_cash,false,普通預金,30
1140,,asset_cash,false,定期預金（一年以内に期限の到来するもの）,40
1150,,asset_cash,false,外貨預金,50
1210,,asset_receivable,true,受取手形,60
1220,,asset_receivable,true,売掛金,70
1225,,asset_receivable,true,電子記録債権,80
1229,,asset_current,false,貸倒引当金（流動）,90
1310,,asset_current,false,商品及び製品,100
1330,,asset_current,false,仕掛品,110
1340,,asset_current,false,原材料及び貯蔵品,120
1410,,asset_prepayments,false,前渡金,130
1420,,asset_prepayments,false,前払費用,140
1430,,asset_current,false,未収入金,150
1440,,asset_current,false,短期貸付金,160
1450,,asset_current,false,立替金,170
1460,,asset_current,false,仮払金,180
1470,,asset_current,false,仮払消費税等,190
1475,,asset_current,true,未収消費税等,200
1480,,asset_current,false,未収法人税等,210
1490,,asset_current,false,有価証券,220
1510,,asset_fixed,false,建物,230
1511,,asset_fixed,false,建物減価償却累計額,240
1520,,asset_fixed,false,構築物,250
1521,,asset_fixed,false,構築物減価償却累計額,260
1530,,asset_fixed,false,機械及び装置,270
1531,,asset_fixed,false,機械及び装置減価償却累計額,280
1540,,asset_fixed,false,車両運搬具,290
1541,,asset_fixed,false,車両運搬具減価償却累計額,300
1550,,asset_fixed,false,工具、器具及び備品,310
1551,,asset_fixed,false,工具、器具及び備品減価償却累計額,320
1560,,asset_fixed,false,土地,330
1570,,asset_fixed,false,建設仮勘定,340
1610,,asset_non_current,false,ソフトウエア,350
1620,,asset_non_current,false,のれん,360
1630,,asset_non_current,false,特許権、商標権その他の無形固定資産,370
1710,,asset_non_current,false,投資有価証券,380
1720,,asset_non_current,false,関係会社株式,390
1730,,asset_non_current,false,長期貸付金,400
1740,,asset_non_current,false,差入保証金,410
1750,,asset_non_current,false,長期前払費用,420
1760,,asset_non_current,false,繰延税金資産,430
1770,,asset_non_current,false,破産更生債権等,440
1779,,asset_non_current,false,貸倒引当金（投資その他の資産）,450
1810,,asset_non_current,false,創立費,460
1820,,asset_non_current,false,開業費,470
2110,,liability_payable,true,支払手形,480
2120,,liability_payable,true,買掛金,490
2125,,liability_payable,true,電子記録債務,500
2130,,liability_current,false,短期借入金,510
2140,,liability_current,false,未払金,520
2145,,liability_current,false,未払費用,530
2150,,liability_current,false,未払法人税等,540
2160,,liability_current,true,未払消費税等,550
2170,,liability_current,false,仮受消費税等,560
2175,,liability_current,false,未払輸入消費税等,570
2180,,liability_current,false,前受金,580
2185,,liability_current,false,預り金,590
2187,,liability_current,false,前受収益,600
2190,,liability_current,false,賞与引当金,610
2195,,liability_current,false,仮受金,620
2210,,liability_non_current,false,社債,630
2220,,liability_non_current,false,長期借入金,640
2230,,liability_non_current,false,退職給付引当金,650
2240,,liability_non_current,false,繰延税金負債,660
2250,,liability_non_current,false,資産除去債務,670
2260,,liability_non_current,false,長期未払金,680
3110,,equity,false,資本金,690
3120,,equity,false,新株式申込証拠金,700
3210,,equity,false,資本準備金,710
3220,,equity,false,その他資本剰余金,720
3310,,equity,false,利益準備金,730
3320,,equity,false,別途積立金,740
3330,,equity_retained,false,繰越利益剰余金,750
3410,,equity,false,自己株式,760
3510,,equity,false,その他有価証券評価差額金,770
3610,,equity,false,新株予約権,780
4110,,income,false,売上高,790
4130,,income,false,役務収益,800
4210,,income_other,false,受取利息,810
4220,,income_other,false,受取配当金,820
4230,,income_other,false,為替差益,830
4240,,income_other,false,雑収入,840
4310,,income_other,false,固定資産売却益,850
4320,,income_other,false,前期損益修正益,860
5110,,expense_direct_cost,false,期首商品棚卸高,870
5120,,expense_direct_cost,false,仕入高,880
5130,,expense_direct_cost,false,期末商品棚卸高,890
5140,,expense_direct_cost,false,外注加工費,900
6110,,expense,false,役員報酬,910
6120,,expense,false,給料手当,920
6130,,expense,false,賞与,930
6140,,expense,false,法定福利費,940
6150,,expense,false,福利厚生費,950
6210,,expense,false,旅費交通費,960
6220,,expense,false,通信費,970
6230,,expense,false,広告宣伝費,980
6240,,expense,false,接待交際費,990
6250,,expense,false,会議費,1000
6260,,expense,false,荷造運賃,1010
6270,,expense,false,水道光熱費,1020
6280,,expense,false,消耗品費,1030
6290,,expense,false,事務用品費,1040
6310,,expense,false,地代家賃,1050
6320,,expense,false,賃借料,1060
6330,,expense,false,保険料,1070
6340,,expense,false,修繕費,1080
6350,,expense,false,租税公課,1090
6360,,expense,false,支払手数料,1100
6370,,expense,false,支払報酬料,1110
6380,,expense,false,研究開発費,1120
6390,,expense_depreciation,false,減価償却費,1130
6395,,expense,false,貸倒引当金繰入額,1140
6399,,expense,false,雑費,1150
7110,,expense,false,支払利息,1160
7120,,expense,false,為替差損,1170
7130,,expense,false,雑損失,1180
7140,,expense,false,端数差額,1190
7210,,expense,false,固定資産売却損,1200
7220,,expense,false,減損損失,1210
7230,,expense,false,災害による損失,1220
7240,,expense,false,前期損益修正損,1230
8110,,expense,false,法人税、住民税及び事業税,1240
8120,,expense,false,法人税等調整額,1250
