code,parent,type,reconcilable,name,sequence
1100,,asset_cash,false,현금,10
1110,,asset_cash,false,보통예금,20
1120,,asset_cash,false,정기예금(1년 이내),30
1130,,asset_cash,false,외화예금,40
1200,,asset_receivable,true,받을어음,50
1210,,asset_receivable,true,외상매출금,60
1215,,asset_current,false,미수금,70
1219,,asset_current,false,대손충당금(매출채권),80
1225,,asset_receivable,true,부도어음과수표,85
1230,,asset_prepayments,false,선급금,90
1240,,asset_prepayments,false,선급비용,100
1250,,asset_current,false,부가세대급금,110
1255,,asset_current,true,미수금(부가세환급세액),120
1260,,asset_current,false,미수수익,130
1270,,asset_current,false,유가증권,140
1310,,asset_current,false,상품,150
1320,,asset_current,false,제품,160
1330,,asset_current,false,재공품,170
1340,,asset_current,false,원재료,180
1345,,asset_current,false,미착상품,185
1350,,asset_current,false,저장품,190
1500,,asset_fixed,false,토지,200
1510,,asset_fixed,false,건물,210
1511,,asset_fixed,false,건물감가상각누계액,220
1520,,asset_fixed,false,구축물,230
1521,,asset_fixed,false,구축물감가상각누계액,240
1530,,asset_fixed,false,기계장치,250
1531,,asset_fixed,false,기계장치감가상각누계액,260
1540,,asset_fixed,false,차량운반구,270
1541,,asset_fixed,false,차량운반구감가상각누계액,280
1550,,asset_fixed,false,비품,290
1551,,asset_fixed,false,비품감가상각누계액,300
1560,,asset_fixed,false,건설중인자산,310
1610,,asset_non_current,false,영업권,320
1620,,asset_non_current,false,산업재산권,330
1630,,asset_non_current,false,개발비,340
1640,,asset_non_current,false,소프트웨어,350
1650,,asset_non_current,false,회원권,355
1710,,asset_non_current,false,임차보증금,360
1720,,asset_non_current,false,장기대여금,370
1730,,asset_non_current,false,이연법인세자산,380
1740,,asset_non_current,false,투자부동산,390
2100,,liability_payable,true,지급어음,400
2110,,liability_payable,true,외상매입금,410
2120,,liability_current,false,미지급금,420
2130,,liability_current,false,미지급비용,430
2135,,liability_current,false,미지급관세등,440
2140,,liability_current,false,예수금,450
2145,,liability_current,false,미지급배당금,455
2150,,liability_current,false,부가세예수금,460
2155,,liability_current,true,미지급세금,470
2160,,liability_current,false,미지급법인세,480
2170,,liability_current,false,선수금,490
2180,,liability_current,false,선수수익,500
2190,,liability_current,false,단기차입금,510
2195,,liability_current,false,가수금,520
2200,,liability_non_current,false,사채,530
2210,,liability_non_current,false,장기차입금,540
2220,,liability_non_current,false,퇴직급여충당부채,550
2225,,liability_non_current,false,장기미지급금,555
2230,,liability_non_current,false,이연법인세부채,560
3100,,equity,false,자본금,570
3200,,equity,false,주식발행초과금,580
3300,,equity,false,이익준비금,590
3310,,equity,false,임의적립금,600
3330,,equity_retained,false,이월이익잉여금,610
3400,,equity,false,자기주식,620
4100,,income,false,상품매출,630
4110,,income,false,제품매출,640
4120,,income,false,용역매출,650
4200,,income_other,false,이자수익,660
4210,,income_other,false,배당금수익,670
4220,,income_other,false,외환차익,680
4230,,income_other,false,유형자산처분이익,690
4240,,income_other,false,잡이익,700
5100,,expense_direct_cost,false,상품매출원가,710
5110,,expense_direct_cost,false,기초상품재고액,720
5120,,expense_direct_cost,false,당기상품매입액,730
5130,,expense_direct_cost,false,기말상품재고액,740
6100,,expense,false,급여,750
6110,,expense,false,퇴직급여,760
6120,,expense,false,복리후생비,770
6130,,expense,false,여비교통비,780
6140,,expense,false,통신비,790
6150,,expense,false,수도광열비,800
6160,,expense,false,세금과공과,810
6170,,expense_depreciation,false,감가상각비,820
6180,,expense,false,지급임차료,830
6190,,expense,false,보험료,840
6200,,expense,false,차량유지비,850
6210,,expense,false,기업업무추진비,860
6220,,expense,false,광고선전비,870
6230,,expense,false,소모품비,880
6240,,expense,false,지급수수료,890
6250,,expense,false,대손상각비,900
6255,,expense,false,잡급,905
6260,,expense,false,잡비,910
7100,,expense,false,이자비용,920
7110,,expense,false,외환차손,930
7120,,expense,false,기부금,940
7130,,expense,false,유형자산처분손실,950
7140,,expense,false,잡손실,960
7145,,expense,false,단수차이,970
8100,,expense,false,법인세비용,980
