code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Ақша қаражаты,10
1010,1000,asset_cash,false,Кассадағы ақша қаражаты,20
1030,1000,asset_cash,false,Ағымдағы банктік шоттардағы ақша қаражаты,30
1040,1000,asset_cash,false,Корреспонденттік шоттардағы ақша қаражаты,40
1060,1000,asset_cash,false,Пайдалануы шектеулі ақша қаражаты,50
1100,,asset_current,false,Қысқа мерзімді қаржы активтері,60
1110,1100,asset_current,false,Амортизацияланған құн бойынша қысқа мерзімді қаржы активтері,70
1130,1100,asset_current,false,Әділ құны арқылы пайда немесе зиянға танылатын қысқа мерзімді қаржы активтері,80
1150,1100,asset_current,false,Алынуға тиіс қысқа мерзімді сыйақылар,90
1200,,asset_current,false,Қысқа мерзімді дебиторлық берешек,100
1210,1200,asset_receivable,true,Сатып алушылар мен тапсырыс берушілердің қысқа мерзімді дебиторлық берешегі,110
1230,1200,asset_current,false,Қауымдасқан және бірлескен ұйымдардың қысқа мерзімді дебиторлық берешегі,120
1250,1200,asset_current,false,Жұмыскерлердің қысқа мерзімді дебиторлық берешегі,130
1260,1200,asset_current,false,Жалдау бойынша қысқа мерзімді дебиторлық берешек,140
1270,1200,asset_current,false,Басқа қысқа мерзімді дебиторлық берешек,150
1280,1200,asset_current,false,Қысқа мерзімді дебиторлық берешектің құнсыздануынан болатын бағалау резерві,160
1300,,asset_current,false,Қорлар,170
1310,1300,asset_current,false,Шикізат пен материалдар,180
1320,1300,asset_current,false,Дайын өнім,190
1330,1300,asset_current,false,Тауарлар,200
1340,1300,asset_current,false,Аяқталмаған өндіріс,210
1350,1300,asset_current,false,Басқа қорлар,220
1400,,asset_current,false,Ағымдағы салықтық активтер,230
1410,1400,asset_current,false,Корпоративтік табыс салығы бойынша ағымдағы салықтық актив,240
1420,1400,asset_current,false,Қосылған құн салығы бойынша ағымдағы салықтық актив,250
1421,1420,asset_current,false,Есептелген (өтелетін) қосылған құн салығы,260
1422,1420,asset_current,true,Бюджетпен қосылған құн салығы бойынша есеп айырысу (өтелуге тиіс),270
