code,parent,type,reconcilable,name,sequence
1010,,asset_fixed,false,Plėtros darbai,10
1015,,asset_fixed,false,Plėtros darbų amortizacija,20
1020,,asset_fixed,false,Prekių ženklai ir licencijos,30
1025,,asset_fixed,false,Prekių ženklų ir licencijų amortizacija,40
1030,,asset_fixed,false,Programinė įranga,50
1035,,asset_fixed,false,Programinės įrangos amortizacija,60
1040,,asset_fixed,false,Prestižas,70
1045,,asset_fixed,false,Prestižo amortizacija,80
1100,,asset_fixed,false,Žemė,90
1110,,asset_fixed,false,Pastatai ir statiniai,100
1115,,asset_fixed,false,Pastatų ir statinių nusidėvėjimas,110
1120,,asset_fixed,false,Mašinos ir įrenginiai,120
1125,,asset_fixed,false,Mašinų ir įrenginių nusidėvėjimas,130
1130,,asset_fixed,false,Transporto priemonės,140
1135,,asset_fixed,false,Transporto priemonių nusidėvėjimas,150
1140,,asset_fixed,false,"Kita įranga, prietaisai ir įrankiai",160
1145,,asset_fixed,false,Kitos įrangos nusidėvėjimas,170
1190,,asset_fixed,false,Nebaigta statyba ir išankstiniai apmokėjimai už ilgalaikį turtą,180
1200,,asset_non_current,false,Investicinis turtas,190
1300,,asset_non_current,false,Investicijos į dukterines ir asocijuotas įmones,200
1310,,asset_non_current,false,Kitos ilgalaikės finansinės investicijos,210
1350,,asset_non_current,false,Po vienų metų gautinos sumos,220
1360,,asset_non_current,false,Atidėtojo pelno mokesčio turtas,230
2000,,asset_current,false,Žaliavos ir komplektavimo gaminiai,240
2010,,asset_current,false,Nebaigta gamyba,250
2020,,asset_current,false,Pagaminta produkcija,260
2030,,asset_current,false,"Pirktos prekės, skirtos perparduoti",270
2040,,asset_prepayments,false,Išankstiniai apmokėjimai už atsargas,280
2100,,asset_receivable,true,Pirkėjų skolos,290
2110,,asset_current,false,Abejotinos skolos,300
2120,,asset_current,false,Kitos gautinos sumos,310
2130,,asset_current,false,Susijusių šalių skolos,320
2140,,asset_prepayments,false,Būsimų laikotarpių sąnaudos,330
2200,,asset_current,true,PVM permoka — patikslinta deklaracijos suma,340
