code,parent,type,reconcilable,name,sequence
10,,equity,false,Capital souscrit ou dotation des succursales et compte de l’exploitant,10
101,10,equity,false,Capital souscrit,20
102,10,asset_non_current,false,Capital souscrit non appelé,30
103,10,asset_current,false,Capital souscrit appelé et non versé,40
104,10,equity,false,"Capital des entreprises individuelles, des sociétés de personnes et assimilées",50
105,10,equity,false,Dotation des succursales,60
106,10,equity,false,Comptes de l’exploitant ou des co-exploitants (i),70
11,,equity,false,Primes d’émission et primes assimilées,80
111,11,equity,false,Primes d’émission,90
112,11,equity,false,Primes de fusion,100
113,11,equity,false,Primes d’apport,110
114,11,equity,false,Primes de conversion d’obligations en actions,120
115,11,equity,false,Apport en capitaux propres non rémunéré par des titres,130
12,,equity,false,Réserves de réévaluation,140
122,12,equity,false,Réserves de mise en équivalence,150
123,12,equity,false,Plus-values sur écarts de conversion immunisées,160
128,12,equity,false,Autres réserves de réévaluation,170
13,,equity,false,Réserves,180
131,13,equity,false,Réserve légale,190
132,13,equity,false,Réserve pour actions propres ou parts propres,200
133,13,equity,false,Réserves statutaires,210
138,13,equity,false,"Autres réserves, y compris la réserve de juste valeur",220
1381,138,equity,false,Autres réserves disponibles,230
1382,138,equity,false,Autres réserves non disponibles,240
13821,1382,equity,false,Réserve pour l’impôt sur la fortune (IF),250
13822,1382,equity,false,Réserves en application de la juste valeur,260
13823,1382,equity,false,Plus-values immunisées,270
138231,13823,equity,false,Plus-values immunisées à réinvestir,280
138232,13823,equity,false,Plus-values immunisées réinvesties,290
13828,1382,equity,false,Réserves non disponibles non visées ci-dessus,300
14,,equity_retained,false,Résultats,310
141,14,equity_retained,false,Résultats reportés,320
1411,141,equity_retained,false,Résultats reportés en instance d’affectation,330
1412,141,equity_retained,false,Résultats reportés (affectés),340
142,14,equity,false,Résultat de l’exercice,350
15,,equity,false,Acomptes sur dividendes,360
16,,equity,false,Subventions d’investissement en capital,370
161,16,equity,false,Subventions sur immobilisations incorporelles,380
1611,161,equity,false,Frais de développement,390
1612,161,equity,false,"Concessions, brevets, licences, marques, ainsi que droits et valeurs similaires s’ils ont été",400
16121,1612,equity,false,acquis à titre onéreux,410
16122,1612,equity,false,créés par l’entreprise elle-même,420
1613,161,equity,false,"Fonds de commerce, dans la mesure où il a été acquis à titre onéreux",430
162,16,equity,false,Subventions sur immobilisations corporelles,440
1621,162,equity,false,"Subventions sur terrains, aménagements et constructions",450
1622,162,equity,false,Subventions sur installations techniques et machines,460
1623,162,equity,false,"Subventions sur autres installations, outillage et mobilier (y compris matériel roulant)",470
168,16,equity,false,Autres subventions d’investissement en capital,480
18,,liability_non_current,false,Provisions,490
181,18,liability_non_current,false,Provisions pour pensions et obligations similaires,500
182,18,liability_non_current,false,Provisions pour impôts,510
