code,parent,type,reconcilable,name,sequence
1,,equity,false,FINANCEMENT PERMANENT,10
11,1,equity,false,CAPITAUX PROPRES,20
111,11,equity,false,Capital social,30
1111,111,equity,false,Capital social,40
112,11,equity,false,"Primes d'émission, de fusion et d'apport",50
114,11,equity_retained,false,Réserve légale,60
115,11,equity_retained,false,Autres réserves,70
116,11,equity_retained,false,Report à nouveau,80
1161,116,equity_retained,false,Report à nouveau,90
118,11,equity,false,Résultats nets en instance d'affectation,100
119,11,equity,false,Résultat net de l'exercice,110
1191,119,equity,false,Résultat net de l'exercice,120
13,1,liability_non_current,false,CAPITAUX PROPRES ASSIMILÉS,130
131,13,liability_non_current,false,Subventions d'investissement,140
135,13,liability_non_current,false,Provisions réglementées,150
14,1,liability_non_current,false,DETTES DE FINANCEMENT,160
141,14,liability_non_current,false,Emprunts obligataires,170
148,14,liability_non_current,false,Autres dettes de financement,180
15,1,liability_non_current,false,PROVISIONS DURABLES POUR RISQUES ET CHARGES,190
151,15,liability_non_current,false,Provisions pour risques,200
155,15,liability_non_current,false,Provisions pour charges,210
17,1,liability_non_current,false,ÉCARTS DE CONVERSION - PASSIF (éléments durables),220
1710,17,liability_non_current,false,Augmentation des créances immobilisées,230
1720,17,liability_non_current,false,Diminution des dettes de financement,240
2,,asset_fixed,false,ACTIF IMMOBILISÉ,250
21,2,asset_fixed,false,IMMOBILISATIONS EN NON-VALEURS,260
211,21,asset_fixed,false,Frais préliminaires,270
212,21,asset_fixed,false,Charges à répartir sur plusieurs exercices,280
213,21,asset_fixed,false,Primes de remboursement des obligations,290
22,2,asset_fixed,false,IMMOBILISATIONS INCORPORELLES,300
221,22,asset_fixed,false,Immobilisations en recherche et développement,310
222,22,asset_fixed,false,"Brevets, marques, droits et valeurs similaires",320
223,22,asset_fixed,false,Fonds commercial,330
228,22,asset_fixed,false,Autres immobilisations incorporelles,340
23,2,asset_fixed,false,IMMOBILISATIONS CORPORELLES,350
231,23,asset_fixed,false,Terrains,360
232,23,asset_fixed,false,Constructions,370
233,23,asset_fixed,false,"Installations techniques, matériel et outillage",380
234,23,asset_fixed,false,Matériel de transport,390
235,23,asset_fixed,false,"Mobilier, matériel de bureau et aménagements divers",400
238,23,asset_fixed,false,Autres immobilisations corporelles,410
239,23,asset_fixed,false,Immobilisations corporelles en cours,420
24,2,asset_non_current,false,IMMOBILISATIONS FINANCIÈRES,430
2411,24,asset_non_current,false,Prêts immobilisés,440
2415,24,asset_non_current,false,Titres de participation,450
2488,24,asset_non_current,false,Autres créances financières,460
27,2,asset_fixed,false,ÉCARTS DE CONVERSION - ACTIF (éléments durables),470
2710,27,asset_fixed,false,Diminution des créances immobilisées,480
2720,27,asset_fixed,false,Augmentation des dettes de financement,490
28,2,asset_fixed,false,AMORTISSEMENTS DES IMMOBILISATIONS,500
2821,28,asset_fixed,false,Amortissements des immobilisations en non-valeurs,510
2822,28,asset_fixed,false,Amortissements des immobilisations incorporelles,520
2823,28,asset_fixed,false,Amortissements des immobilisations corporelles,530
28233,2823,asset_fixed,false,"Amortissements des installations techniques, matériel et outillage",540
28234,2823,asset_fixed,false,Amortissements du matériel de transport,550
28235,2823,asset_fixed,false,Amortissements du mobilier et du matériel de bureau,560
29,2,asset_non_current,false,PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS,570
292,29,asset_non_current,false,Provisions pour dépréciation des immobilisations incorporelles,580
293,29,asset_non_current,false,Provisions pour dépréciation des immobilisations corporelles,590
294,29,asset_non_current,false,Provisions pour dépréciation des immobilisations financières,600
3,,asset_current,false,ACTIF CIRCULANT (HORS TRÉSORERIE),610
31,3,asset_current,false,STOCKS,620
311,31,asset_current,false,Marchandises,630
312,31,asset_current,false,Matières et fournitures consommables,640
313,31,asset_current,false,Produits en cours,650
315,31,asset_current,false,Produits finis,660
34,3,asset_current,false,CRÉANCES DE L'ACTIF CIRCULANT,670
341,34,asset_current,false,"Fournisseurs débiteurs, avances et acomptes",680
342,34,asset_receivable,true,Clients et comptes rattachés,690
3421,342,asset_receivable,true,Clients,700
3425,342,asset_receivable,true,Clients douteux ou litigieux,710
3427,342,asset_receivable,true,Clients - retenues de garantie,720
345,34,asset_current,false,ÉTAT - DÉBITEUR,730
3455,345,asset_current,false,État - TVA récupérable,740
34551,3455,asset_current,false,État - TVA récupérable sur immobilisations,750
34552,3455,asset_current,false,État - TVA récupérable sur charges,760
3456,345,asset_current,true,État - crédit de TVA,770
3458,345,asset_current,false,Autres comptes débiteurs de l'État,780
346,34,asset_current,false,Comptes d'associés débiteurs,790
348,34,asset_current,false,Autres débiteurs,800
349,34,asset_prepayments,false,Comptes de régularisation - actif,810
35,3,asset_current,false,TITRES ET VALEURS DE PLACEMENT,820
350,35,asset_current,false,Titres et valeurs de placement,830
37,3,asset_current,false,ÉCARTS DE CONVERSION - ACTIF (éléments circulants),840
3701,37,asset_current,false,Diminution des créances circulantes,850
3702,37,asset_current,false,Augmentation des dettes circulantes,860
39,3,asset_current,false,PROVISIONS POUR DÉPRÉCIATION DES COMPTES DE L'ACTIF CIRCULANT,870
391,39,asset_current,false,Provisions pour dépréciation des stocks,880
394,39,asset_current,false,Provisions pour dépréciation des créances de l'actif circulant,890
4,,liability_current,false,PASSIF CIRCULANT (HORS TRÉSORERIE),900
44,4,liability_current,false,DETTES DU PASSIF CIRCULANT,910
441,44,liability_payable,true,Fournisseurs et comptes rattachés,920
4411,441,liability_payable,true,Fournisseurs,930
4415,441,liability_payable,true,Fournisseurs - effets à payer,940
4417,441,liability_payable,true,Fournisseurs - retenues de garantie,950
442,44,liability_current,false,"Clients créditeurs, avances et acomptes",960
443,44,liability_current,false,Personnel - créditeur,970
4432,443,liability_current,false,Rémunérations dues au personnel,980
