code,parent,type,reconcilable,name,sequence
11,,asset_fixed,false,Imobilizări necorporale,10
111,11,asset_fixed,false,Imobilizări necorporale în curs de execuție,20
112,11,asset_fixed,false,Imobilizări necorporale în exploatare,30
1121,112,asset_fixed,false,"Concesiuni, licențe și mărci",40
1122,112,asset_fixed,false,Drepturi de autor și titluri de protecție,50
1123,112,asset_fixed,false,Programe informatice,60
1124,112,asset_fixed,false,Alte imobilizări necorporale,70
113,11,asset_fixed,false,Amortizarea imobilizărilor necorporale,80
114,11,asset_fixed,false,Deprecierea imobilizărilor necorporale,90
115,11,asset_fixed,false,Fond comercial pozitiv,100
116,11,asset_fixed,false,Fond comercial negativ,110
117,11,asset_fixed,false,Deprecierea fondului comercial pozitiv,120
12,,asset_fixed,false,"Imobilizări corporale, terenuri, mijloace fixe și resurse minerale",130
121,12,asset_fixed,false,Imobilizări corporale în curs de execuție,140
122,12,asset_fixed,false,Terenuri,150
123,12,asset_fixed,false,Mijloace fixe,160
1231,123,asset_fixed,false,Clădiri,170
1232,123,asset_fixed,false,Construcții speciale,180
1233,123,asset_fixed,false,"Mașini, utilaje și instalații tehnice",190
1234,123,asset_fixed,false,Mijloace de transport,200
1235,123,asset_fixed,false,Inventar și mobilier,210
124,12,asset_fixed,false,Amortizarea mijloacelor fixe,220
125,12,asset_fixed,false,Resurse minerale,230
126,12,asset_fixed,false,Amortizarea și deprecierea resurselor minerale,240
127,12,asset_fixed,false,Deprecierea imobilizărilor corporale în curs de execuție,250
128,12,asset_fixed,false,Deprecierea terenurilor,260
129,12,asset_fixed,false,Deprecierea mijloacelor fixe,270
13,,asset_fixed,false,Active biologice imobilizate,280
131,13,asset_fixed,false,Active biologice imobilizate în curs de execuție,290
132,13,asset_fixed,false,Active biologice imobilizate în exploatare,300
133,13,asset_fixed,false,Amortizarea și deprecierea activelor biologice imobilizate,310
14,,asset_non_current,false,Investiții financiare pe termen lung,320
141,14,asset_non_current,false,Investiții financiare pe termen lung în părți neafiliate,330
1411,141,asset_non_current,false,Valori mobiliare,340
1412,141,asset_non_current,false,Cote de participație,350
1413,141,asset_non_current,false,Depozite,360
1414,141,asset_non_current,false,Împrumuturi acordate,370
142,14,asset_non_current,false,Investiții financiare pe termen lung în părți afiliate,380
143,14,asset_non_current,false,Deprecierea investițiilor financiare pe termen lung,390
15,,asset_non_current,false,Investiții imobiliare,400
151,15,asset_non_current,false,Investiții imobiliare,410
152,15,asset_non_current,false,Amortizarea și deprecierea investițiilor imobiliare,420
16,,asset_non_current,false,Creanțe și avansuri acordate pe termen lung,430
161,16,asset_non_current,false,Creanțe pe termen lung,440
162,16,asset_non_current,false,Creanțe ale părților afiliate pe termen lung,450
163,16,asset_non_current,false,Avansuri acordate pe termen lung,460
17,,asset_non_current,false,Alte active imobilizate,470
171,17,asset_non_current,false,Cheltuieli anticipate pe termen lung,480
172,17,asset_non_current,false,Alte active imobilizate,490
21,,asset_current,false,Stocuri,500
211,21,asset_current,false,Materiale,510
2111,211,asset_current,false,Materii prime și materiale de bază,520
2112,211,asset_current,false,Materiale auxiliare,530
2113,211,asset_current,false,Piese de schimb,540
2114,211,asset_current,false,Combustibil,550
2115,211,asset_current,false,Ambalaje,560
212,21,asset_current,false,Active biologice circulante,570
213,21,asset_current,false,Obiecte de mică valoare și scurtă durată,580
214,21,asset_current,false,Uzura obiectelor de mică valoare și scurtă durată,590
215,21,asset_current,false,Producția în curs de execuție,600
216,21,asset_current,false,Produse,610
2161,216,asset_current,false,Produse finite,620
217,21,asset_current,false,Mărfuri,630
2171,217,asset_current,false,Bunuri procurate în vederea revânzării,640
218,21,asset_current,false,Ajustări pentru deprecierea stocurilor,650
22,,asset_current,false,Creanțe comerciale și calculate,660
221,22,asset_receivable,true,Creanțe comerciale,670
2211,221,asset_receivable,true,Creanțe comerciale din țară,680
2212,221,asset_receivable,true,Creanțe comerciale din străinătate,690
222,22,asset_current,false,Corecții privind creanțele compromise,700
223,22,asset_current,false,Creanțe ale părților afiliate,710
224,22,asset_current,false,Avansuri acordate curente,720
225,22,asset_current,false,Creanțe ale bugetului,730
2251,225,asset_current,false,Creanțe privind impozitul pe venit,740
2252,225,asset_current,true,Creanțe privind taxa pe valoarea adăugată,750
2253,225,asset_current,false,Creanțe privind accizele,760
2254,225,asset_current,false,Creanțe privind alte impozite și taxe,770
226,22,asset_current,false,Creanțe ale personalului,780
23,,asset_current,false,Alte creanțe curente,790
231,23,asset_current,false,Creanțe privind veniturile din utilizarea de către terți a activelor entității,800
232,23,asset_current,false,Creanțe preliminate,810
233,23,asset_current,false,Creanțe curente privind asigurările,820
234,23,asset_current,false,Alte creanțe curente,830
24,,asset_cash,false,Numerar,840
241,24,asset_cash,false,Casa,850
242,24,asset_cash,false,Conturi curente în monedă națională,860
243,24,asset_cash,false,Conturi curente în valută străină,870
244,24,asset_cash,false,Alte conturi bancare,880
245,24,asset_cash,false,Transferuri de numerar în expediție,890
246,24,asset_cash,false,Documente bănești,900
25,,asset_current,false,Investiții financiare curente,910
251,25,asset_current,false,Investiții financiare curente în părți neafiliate,920
252,25,asset_current,false,Investiții financiare curente în părți afiliate,930
253,25,asset_current,false,Provizioane pentru pierderi din împrumuturi neachitate la termen,940
254,25,asset_current,false,Ajustări pentru deprecierea investițiilor financiare curente,950
26,,asset_current,false,Alte active circulante,960
261,26,asset_prepayments,false,Cheltuieli anticipate curente,970
262,26,asset_current,false,Alte active circulante,980
31,,equity,false,"Capital social, neînregistrat și prime de capital",990
311,31,equity,false,Capital social,1000
313,31,equity,false,Capital nevărsat,1010
314,31,equity,false,Capital neînregistrat,1020
315,31,equity,false,Capital retras,1030
316,31,equity,false,Patrimoniul primit de la stat cu drept de proprietate,1040
317,31,equity,false,Prime de capital,1050
32,,equity,false,Rezerve,1060
321,32,equity,false,Capital de rezervă,1070
322,32,equity,false,Rezerve statutare,1080
323,32,equity,false,Alte rezerve,1090
33,,equity_retained,false,Profit nerepartizat (pierdere neacoperită),1100
331,33,equity_retained,false,Corecții ale rezultatelor anilor precedenți,1110
332,33,equity_retained,false,Profit nerepartizat (pierdere neacoperită) al anilor precedenți,1120
333,33,equity_retained,false,Profit net (pierdere netă) al perioadei de gestiune,1130
334,33,equity_retained,false,Profit utilizat al perioadei de gestiune,1140
335,33,equity_retained,false,Rezultat din tranziția la noile reglementări contabile,1150
