code,parent,type,reconcilable,name,sequence
00,,asset_non_current,false,Neuplaćeni upisani kapital,10
000,00,asset_non_current,false,Neuplaćene upisane akcije,20
001,00,asset_non_current,false,Neuplaćeni upisani udjeli,30
01,,asset_fixed,false,Nematerijalna ulaganja,40
010,01,asset_fixed,false,Ulaganja u razvoj,50
011,01,asset_fixed,false,Koncesije patenti licence i slična prava,60
012,01,asset_fixed,false,Goodwill,70
014,01,asset_fixed,false,Ostala nematerijalna ulaganja,80
015,01,asset_fixed,false,Nematerijalna ulaganja u pripremi,90
016,01,asset_fixed,false,Avansi za nematerijalna ulaganja,100
02,,asset_fixed,false,Nekretnine postrojenja oprema i biološka sredstva,110
020,02,asset_fixed,false,Zemljišta,120
021,02,asset_fixed,false,Šume i višegodišnji zasadi,130
022,02,asset_fixed,false,Građevinski objekti,140
023,02,asset_fixed,false,Postrojenja i oprema,150
024,02,asset_fixed,false,Investicione nekretnine,160
025,02,asset_fixed,false,Osnovno stado,170
026,02,asset_fixed,false,Ostale nekretnine postrojenja i oprema,180
027,02,asset_fixed,false,Nekretnine postrojenja oprema i biološka sredstva u pripremi,190
028,02,asset_fixed,false,Avansi za nekretnine postrojenja opremu i biološka sredstva,200
029,02,asset_fixed,false,Ulaganja na tuđim nekretninama postrojenjima i opremi,210
03,,asset_non_current,false,Dugoročni finansijski plasmani,220
030,03,asset_non_current,false,Učešća u kapitalu zavisnih pravnih lica,230
031,03,asset_non_current,false,Učešća u kapitalu pridruženih pravnih lica,240
032,03,asset_non_current,false,Učešća u kapitalu ostalih pravnih lica,250
033,03,asset_non_current,false,Dugoročni krediti povezanim pravnim licima,260
034,03,asset_non_current,false,Dugoročni krediti u zemlji,270
035,03,asset_non_current,false,Dugoročni krediti u inostranstvu,280
036,03,asset_non_current,false,Hartije od vrijednosti koje se drže do dospijeća,290
038,03,asset_non_current,false,Ostali dugoročni finansijski plasmani,300
04,,asset_non_current,false,Stalna sredstva namijenjena prodaji,310
10,,asset_current,false,Zalihe materijala,320
101,10,asset_current,false,Materijal,330
102,10,asset_current,false,Rezervni djelovi,340
103,10,asset_current,false,Alat i inventar,350
11,,asset_current,false,Nedovršena proizvodnja,360
110,11,asset_current,false,Nedovršena proizvodnja,370
111,11,asset_current,false,Nedovršene usluge,380
12,,asset_current,false,Gotovi proizvodi,390
120,12,asset_current,false,Gotovi proizvodi,400
13,,asset_current,false,Roba,410
131,13,asset_current,false,Roba u magacinu,420
132,13,asset_current,false,Roba u prometu na veliko,430
134,13,asset_current,false,Roba u prometu na malo,440
137,13,asset_current,false,Roba na putu,450
15,,asset_prepayments,false,Dati avansi,460
150,15,asset_prepayments,false,Dati avansi za zalihe i usluge,470
20,,asset_current,false,Potraživanja po osnovu prodaje,480
202,20,asset_receivable,true,Kupci u zemlji,490
203,20,asset_receivable,true,Kupci u inostranstvu,500
21,,asset_current,false,Potraživanja iz specifičnih poslova,510
210,21,asset_current,false,Potraživanja od izvoznika,520
22,,asset_current,false,Druga potraživanja,530
220,22,asset_current,false,Potraživanja za kamatu i dividende,540
221,22,asset_current,false,Potraživanja od zaposlenih,550
222,22,asset_current,false,Potraživanja od državnih organa i organizacija,560
23,,asset_current,false,Kratkoročni finansijski plasmani,570
232,23,asset_current,false,Kratkoročni krediti u zemlji,580
24,,asset_cash,false,Gotovina i gotovinski ekvivalenti,590
241,24,asset_cash,false,Tekući računi,600
243,24,asset_cash,false,Blagajna,610
244,24,asset_cash,false,Devizni račun,620
27,,asset_current,false,Porez na dodatu vrijednost,630
270,27,asset_current,false,PDV u primljenim fakturama po opštoj stopi od 21%,640
271,27,asset_current,false,PDV u primljenim fakturama po sniženim stopama,650
2715,271,asset_current,false,PDV u primljenim fakturama po sniženoj stopi od 15%,660
2717,271,asset_current,false,PDV u primljenim fakturama po sniženoj stopi od 7%,670
274,27,asset_current,false,PDV plaćen pri uvozu proizvoda po opštoj stopi,680
275,27,asset_current,false,PDV plaćen pri uvozu proizvoda po sniženim stopama,690
276,27,asset_current,false,PDV obračunat na usluge inostranih lica,700
279,27,asset_current,true,Potraživanja za više plaćeni porez na dodatu vrijednost,710
28,,asset_prepayments,false,Aktivna vremenska razgraničenja,720
280,28,asset_prepayments,false,Unaprijed plaćeni troškovi,730
281,28,asset_prepayments,false,Potraživanja za nefakturisani prihod,740
288,28,asset_non_current,false,Odložena poreska sredstva,750
30,,equity,false,Osnovni kapital,760
300,30,equity,false,Akcijski kapital,770
301,30,equity,false,Udjeli društava sa ograničenom odgovornošću,780
303,30,equity,false,Državni kapital,790
31,,equity,false,Neuplaćeni upisani kapital,800
310,31,equity,false,Neuplaćene upisane akcije,810
311,31,equity,false,Neuplaćeni upisani udjeli,820
32,,equity,false,Rezerve,830
320,32,equity,false,Emisiona premija,840
321,32,equity,false,Zakonske rezerve,850
322,32,equity,false,Statutarne i druge rezerve,860
33,,equity,false,Revalorizacione rezerve i nerealizovani dobici i gubici,870
330,33,equity,false,Revalorizacione rezerve,880
333,33,equity,false,Nerealizovani dobici po osnovu hartija od vrijednosti raspoloživih za prodaju,890
334,33,equity,false,Nerealizovani gubici po osnovu hartija od vrijednosti raspoloživih za prodaju,900
34,,equity_retained,false,Neraspoređeni dobitak,910
340,34,equity_retained,false,Neraspoređeni dobitak ranijih godina,920
341,34,equity_retained,false,Neraspoređeni dobitak tekuće godine,930
35,,equity_retained,false,Gubitak,940
350,35,equity_retained,false,Gubitak ranijih godina,950
351,35,equity_retained,false,Gubitak tekuće godine,960
40,,liability_non_current,false,Dugoročna rezervisanja,970
