code,parent,type,reconcilable,name,sequence
00,,asset_fixed,false,Нематеријални средства,10
001,00,asset_fixed,false,Гудвил,20
002,00,asset_fixed,false,"Концесии, патенти, лиценци, трговски и услужни марки",30
003,00,asset_fixed,false,Софтвер и останати права,40
01,,asset_fixed,false,Материјални средства,50
010,01,asset_fixed,false,Земјишта,60
011,01,asset_fixed,false,Градежни објекти,70
012,01,asset_fixed,false,Постројки и опрема,80
013,01,asset_fixed,false,"Алат, погонски и канцелариски инвентар, мебел и транспортни средства",90
016,01,asset_fixed,false,Материјални средства во подготовка,100
02,,asset_non_current,false,Вложувања во недвижности,110
03,,asset_non_current,false,Долгорочни финансиски средства,120
030,03,asset_non_current,false,Вложувања во подружници,130
033,03,asset_non_current,false,Дадени заеми и кредити во земјата и во странство,140
04,,asset_non_current,false,Долгорочни побарувања,150
05,,asset_non_current,false,Одложени даночни средства,160
10,,asset_cash,false,Парични средства и парични еквиваленти,170
100,10,asset_cash,false,Парични средства на трансакциски сметки во денари,180
102,10,asset_cash,false,Парични средства во благајна,190
103,10,asset_cash,false,Девизни сметки,200
11,,asset_current,false,Побарувања од поврзани друштва,210
12,,asset_receivable,true,Побарувања од купувачи,220
120,12,asset_receivable,true,Побарувања од купувачи во земјата,230
121,12,asset_receivable,true,Побарувања од купувачи во странство,240
122,12,asset_current,false,"Побарувања за дадени аванси, депозити и каунции",250
13,,asset_current,false,Побарувања од државни органи и институции,260
130,13,asset_current,false,Данок на додадена вредност,270
1300,130,asset_current,false,ДДВ — за одбивка (влезен данок),280
1301,130,asset_current,true,ДДВ — побарување по даночна пријава,290
134,13,asset_current,false,Побарувања за повеќе платен персонален данок на доход,300
14,,asset_current,false,Побарувања од вработените,310
140,14,asset_current,false,"Побарувања од вработените за повеќе исплатена плата и надоместоци",320
15,,asset_current,false,Останати побарувања,330
158,15,asset_current,false,Останати побарувања,340
16,,asset_current,false,Краткорочни финансиски средства,350
19,,asset_prepayments,false,Платени трошоци за идни периоди и пресметани приходи,360
190,19,asset_prepayments,false,Однапред платени трошоци,370
21,,liability_current,false,Краткорочни обврски спрема поврзани друштва,380
22,,liability_payable,true,Краткорочни обврски спрема добавувачи,390
220,22,liability_payable,true,Обврски спрема добавувачи во земјата,400
221,22,liability_payable,true,Обврски спрема добавувачи од странство,410
222,22,liability_current,false,"Обврски за примени аванси, депозити и каунции",420
23,,liability_current,false,"Краткорочни обврски за даноци, придонеси и други давачки",430
230,23,liability_current,false,Обврски за данокот на додадена вредност,440
2300,230,liability_current,false,ДДВ — пресметан (излезен данок),450
2301,230,liability_current,true,ДДВ — обврска по даночна пријава,460
