code,parent,type,reconcilable,name,sequence
100,,asset_cash,false,Activo,10
100.01,100,asset_cash,false,Activo a corto plazo,20
100.02,100,asset_fixed,false,Activo a largo plazo,30
101,100.01,asset_cash,false,Caja,40
101.01,101,asset_cash,false,Caja y efectivo,50
102,100.01,asset_cash,false,Bancos,60
102.01,102,asset_cash,false,Bancos nacionales,70
102.02,102,asset_cash,false,Bancos extranjeros,80
103,100.01,asset_current,false,Inversiones,90
103.01,103,asset_current,false,Inversiones temporales,100
103.03,103,asset_current,false,Otras inversiones,110
105,100.01,asset_receivable,true,Clientes,120
105.01,105,asset_receivable,true,Clientes nacionales,130
105.02,105,asset_receivable,true,Clientes extranjeros,140
105.03,105,asset_receivable,true,Clientes nacionales parte relacionada,150
106,100.01,asset_current,false,Cuentas y documentos por cobrar a corto plazo,160
106.01,106,asset_current,false,Cuentas y documentos por cobrar a corto plazo nacional,170
106.09,106,asset_current,false,Otras cuentas y documentos por cobrar a corto plazo,180
107,100.01,asset_current,false,Deudores diversos,190
107.01,107,asset_current,true,Funcionarios y empleados,200
107.02,107,asset_current,true,Socios y accionistas,210
107.05,107,asset_current,true,Otros deudores diversos,220
108,100.01,asset_current,false,Estimación de cuentas incobrables,230
108.01,108,asset_current,false,Estimación de cuentas incobrables nacional,240
109,100.01,asset_prepayments,false,Pagos anticipados,250
109.01,109,asset_prepayments,false,Seguros y fianzas pagados por anticipado nacional,260
109.05,109,asset_prepayments,false,Rentas pagados por anticipado nacional,270
109.23,109,asset_prepayments,false,Otros pagos anticipados,280
113,100.01,asset_current,false,Impuestos a favor,290
113.01,113,asset_current,true,IVA a favor,300
113.02,113,asset_current,true,ISR a favor,310
113.08,113,asset_current,true,Otros impuestos a favor,320
114,100.01,asset_current,false,Pagos provisionales,330
114.01,114,asset_current,false,Pagos provisionales de ISR,340
115,100.01,asset_current,false,Inventario,350
115.01,115,asset_current,false,Inventario,360
115.02,115,asset_current,false,Materia prima y materiales,370
115.04,115,asset_current,false,Productos terminados,380
115.05,115,asset_current,false,Mercancías en tránsito,390
118,100.01,asset_current,false,Impuestos acreditables pagados,400
118.01,118,asset_current,false,IVA acreditable pagado,410
118.02,118,asset_current,false,IVA acreditable de importación pagado,420
119,100.01,asset_current,false,Impuestos acreditables por pagar,430
119.01,119,asset_current,false,IVA pendiente de pago,440
119.02,119,asset_current,false,IVA de importación pendiente de pago,450
