code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Current account — MYR,20
1020,,asset_cash,false,Fixed deposits placed for three months or less,30
1030,,asset_cash,false,Foreign currency account,40
1040,,asset_cash,false,Cash in transit — card and DuitNow settlements,50
1100,,asset_receivable,true,Trade receivables,60
1110,,asset_current,false,Trade receivables — allowance for impairment,70
1120,,asset_current,true,Other receivables,80
1130,,asset_current,false,Amounts due from related companies,90
1140,,asset_current,false,Deposits paid,100
1155,,asset_current,true,Sales Tax and Service Tax refundable by RMCD — net of a filed return,110
1160,,asset_current,false,Advances to staff,120
1200,,asset_current,false,Inventories — goods for resale,130
1210,,asset_current,false,Inventories — raw materials,140
1220,,asset_current,false,Inventories — work in progress,150
1230,,asset_current,false,Inventories — finished goods,160
1300,,asset_current,false,Short-term investments,170
1350,,asset_current,false,Income tax recoverable,180
1400,,asset_prepayments,false,Prepayments,190
1410,,asset_prepayments,false,Accrued income,200
1600,,asset_fixed,false,Leasehold property — cost,210
1601,,asset_fixed,false,Leasehold property — accumulated depreciation,220
1610,,asset_fixed,false,Renovation — cost,230
1611,,asset_fixed,false,Renovation — accumulated depreciation,240
1620,,asset_fixed,false,Plant and machinery — cost,250
1621,,asset_fixed,false,Plant and machinery — accumulated depreciation,260
1630,,asset_fixed,false,Office equipment — cost,270
1631,,asset_fixed,false,Office equipment — accumulated depreciation,280
1640,,asset_fixed,false,Computers — cost,290
1641,,asset_fixed,false,Computers — accumulated depreciation,300
1650,,asset_fixed,false,Furniture and fittings — cost,310
1651,,asset_fixed,false,Furniture and fittings — accumulated depreciation,320
1660,,asset_fixed,false,Motor vehicles — cost,330
1661,,asset_fixed,false,Motor vehicles — accumulated depreciation,340
1670,,asset_fixed,false,Right-of-use assets — cost,350
1671,,asset_fixed,false,Right-of-use assets — accumulated depreciation,360
1700,,asset_non_current,false,Investment property,370
1750,,asset_fixed,false,Intangible assets — cost,380
1751,,asset_fixed,false,Intangible assets — accumulated amortisation,390
1760,,asset_fixed,false,Goodwill,400
1800,,asset_non_current,false,Investments in associates,410
1810,,asset_non_current,false,Investments in joint ventures,420
1830,,asset_non_current,false,Long-term financial assets,430
1840,,asset_non_current,false,Long-term deposits,440
1900,,asset_non_current,false,Deferred tax assets,450
2000,,liability_payable,true,Trade payables,460
2010,,liability_current,false,Accrued expenses,470
2020,,liability_current,true,Other payables,480
2030,,liability_current,false,Amounts due to related companies,490
2040,,liability_current,false,Deposits received from customers,500
2100,,liability_current,false,Sales Tax payable — output,510
2101,,liability_current,false,Service Tax payable — output,520
2102,,liability_current,false,Service Tax payable — self-assessed on imported services,530
2110,,liability_current,true,Sales Tax and Service Tax payable to RMCD — net of a filed return,550
2150,,liability_current,true,EPF contributions payable,560
2160,,liability_current,false,SOCSO and EIS contributions payable,570
2170,,liability_current,false,HRD Corp levy payable,580
2180,,liability_current,true,Salaries payable,590
2190,,liability_current,false,Directors' fees payable,600
2200,,liability_current,false,Bank overdraft,610
2210,,liability_current,false,Bank loans — current portion,620
2220,,liability_current,false,Lease liabilities — current portion,630
2230,,liability_current,false,Hire purchase — current portion,640
2240,,liability_credit_card,false,Corporate credit card,650
2250,,liability_current,false,Amounts due to directors,660
2300,,liability_current,false,Income tax payable,670
2350,,liability_current,false,Provision for unutilised leave,680
2360,,liability_current,false,Other provisions — current,690
2400,,liability_non_current,false,Bank loans — non-current portion,700
2410,,liability_non_current,false,Lease liabilities — non-current portion,710
2420,,liability_non_current,false,Hire purchase — non-current portion,720
2430,,liability_non_current,false,Loans from shareholders and directors — non-current,730
2500,,liability_non_current,false,Deferred tax liabilities,740
2550,,liability_non_current,false,Provision for reinstatement costs,750
2990,,liability_current,false,Suspense account,760
3000,,equity,false,Share capital,770
3010,,equity,false,Treasury shares,780
3100,,equity,false,Other reserves,790
3110,,equity,false,Foreign currency translation reserve,800
3200,,equity_retained,false,Retained earnings,810
3210,,equity_retained,false,Dividends paid,820
4000,,income,false,Sales of goods,830
4010,,income,false,Services rendered,840
4020,,income,false,Export sales of goods,850
4030,,income,false,International services,860
4500,,income_other,false,Interest income,870
4510,,income_other,false,Dividend income,880
4520,,income_other,false,Rental income,890
4530,,income_other,false,Government grants,900
4700,,income_other,false,Foreign exchange gains,910
4750,,income_other,false,Gain on disposal of property plant and equipment,920
4790,,income_other,false,Other income,930
5000,,expense_direct_cost,false,Purchases of goods for resale,940
5010,,expense_direct_cost,false,Freight inwards and import duties,950
5020,,expense_direct_cost,false,Subcontract costs,960
5100,,expense_direct_cost,false,Changes in inventories,970
6000,,expense,false,Salaries and wages,980
