code,parent,type,reconcilable,name,sequence
0000,,asset_current,false,Called up share capital not paid,10
0010,,asset_fixed,false,Goodwill,20
0011,,asset_fixed,false,Goodwill — accumulated amortisation,30
0020,,asset_fixed,false,Development costs,40
0021,,asset_fixed,false,Development costs — accumulated amortisation,50
0030,,asset_fixed,false,"Patents, trademarks and licences",60
0031,,asset_fixed,false,"Patents, trademarks and licences — accumulated amortisation",70
0040,,asset_fixed,false,Other intangible assets,80
0041,,asset_fixed,false,Other intangible assets — accumulated amortisation,90
0100,,asset_fixed,false,Freehold land and buildings,100
0101,,asset_fixed,false,Freehold land and buildings — accumulated depreciation,110
0110,,asset_fixed,false,Leasehold property and improvements,120
0111,,asset_fixed,false,Leasehold property and improvements — accumulated depreciation,130
0120,,asset_fixed,false,Plant and machinery,140
0121,,asset_fixed,false,Plant and machinery — accumulated depreciation,150
0130,,asset_fixed,false,Fixtures and fittings,160
0131,,asset_fixed,false,Fixtures and fittings — accumulated depreciation,170
0140,,asset_fixed,false,Office equipment,180
0141,,asset_fixed,false,Office equipment — accumulated depreciation,190
0150,,asset_fixed,false,Computer equipment,200
0151,,asset_fixed,false,Computer equipment — accumulated depreciation,210
0160,,asset_fixed,false,Motor vehicles,220
0161,,asset_fixed,false,Motor vehicles — accumulated depreciation,230
0170,,asset_fixed,false,Construction-in-progress,240
0200,,asset_non_current,false,Shares in group undertakings and participating interests,250
0210,,asset_non_current,false,Loans to group undertakings and participating interests,260
0220,,asset_non_current,false,Other investments other than loans,270
0230,,asset_non_current,false,Other long-term investments,280
1000,,asset_current,false,Stock — raw materials and consumables,290
1010,,asset_current,false,Stock — work in progress,300
1020,,asset_current,false,Stock — finished goods and goods for resale,310
1030,,asset_prepayments,false,Payments on account — stocks in transit,320
1100,,asset_receivable,true,Trade debtors,330
1105,,asset_current,false,Provision for doubtful debts,340
1110,,asset_current,false,Amounts owed by group and related companies,350
1120,,asset_current,false,Other debtors,360
1130,,asset_current,false,Directors' current account — debit,370
1140,,asset_current,false,VAT recoverable — input tax,380
1145,,asset_current,false,VAT paid at Customs on imports — recoverable,390
1150,,asset_current,false,Withholding tax credit notes receivable,400
1155,,asset_current,true,VAT refundable from the Service — net credit of a filed return,410
1160,,asset_current,false,Companies Income Tax recoverable,420
1165,,asset_current,false,Development Levy recoverable,430
1170,,asset_current,false,Employee advances and expense claims,440
1200,,asset_current,false,Shares in group undertakings — held as a current asset,450
1210,,asset_current,false,Other investments — held as a current asset,460
1300,,asset_cash,false,Bank current account,470
1310,,asset_cash,false,Bank deposit account,480
1320,,asset_cash,false,Bank account in a foreign currency,490
1330,,asset_cash,false,Petty cash,500
1340,,asset_cash,false,Cash in transit,510
1350,,asset_cash,false,Card and mobile-money settlement account,520
1400,,asset_prepayments,false,Prepayments,530
1410,,asset_prepayments,false,Accrued income,540
1420,,asset_prepayments,false,Payments on account to suppliers,550
2000,,liability_current,false,Bank loans — due within one year,560
2010,,liability_current,false,Bank overdraft,570
2020,,liability_credit_card,false,Credit card account,580
2100,,liability_payable,true,Trade creditors,590
2110,,liability_current,false,Amounts owed to group and related companies,600
2150,,liability_current,false,Nigeria Customs Service — import VAT payable,610
2200,,liability_current,false,VAT payable — output tax,620
2210,,liability_current,true,VAT payable to the Service — net due on a filed return,630
2220,,liability_current,false,Pay As You Earn payable,640
2230,,liability_current,false,Pension Reform Act contributions payable,650
2240,,liability_current,false,National Housing Fund contributions payable,660
2250,,liability_current,false,Nigeria Social Insurance Trust Fund contributions payable,670
2260,,liability_current,false,Industrial Training Fund levy payable,680
2270,,liability_current,false,Withholding tax payable — deducted from suppliers and contractors,690
2280,,liability_current,false,Net wages payable,700
2290,,liability_current,false,Directors' current account — credit,710
2300,,liability_current,false,Dividends payable,720
2310,,liability_current,false,Companies Income Tax payable,730
2320,,liability_current,false,Development Levy payable,740
2330,,liability_current,false,Fossil fuel surcharge payable,750
2340,,liability_current,false,Other creditors,760
2400,,liability_current,false,Obligations under finance leases and hire purchase — due within one year,770
2900,,liability_current,false,Suspense account,780
3000,,liability_non_current,false,Bank loans — due after more than one year,790
3010,,liability_non_current,false,Other loans — due after more than one year,800
3020,,liability_non_current,false,Trade creditors — due after more than one year,810
3030,,liability_non_current,false,Amounts owed to group and related companies — due after more than one year,820
3040,,liability_non_current,false,Obligations under finance leases and hire purchase — due after more than one year,830
3050,,liability_non_current,false,Other creditors — due after more than one year,840
3100,,liability_non_current,false,Provision for deferred taxation,850
3110,,liability_non_current,false,Provision for end-of-service and other employee benefits,860
3120,,liability_non_current,false,Other provisions for liabilities,870
3200,,liability_current,false,Accruals,880
3210,,liability_current,false,Deferred income,890
3300,,equity,false,Called up share capital,900
3310,,equity,false,Share premium account,910
3320,,equity,false,Revaluation reserve,920
3330,,equity,false,Capital redemption reserve,930
3340,,equity,false,Statutory reserve,940
3350,,equity,false,Other reserves,950
3400,,equity_retained,false,Retained earnings,960
3410,,equity_retained,false,Dividends paid,970
4000,,income,false,Sales — goods,980
4010,,income,false,Sales — services,990
4020,,income,false,Sales — zero-rated goods and services,1000
4030,,income,false,Sales — exempt supplies,1010
4040,,income,false,Sales — exports,1020
4100,,income,false,Sales returns and allowances,1030
4110,,income,false,Discounts allowed,1040
4200,,income_other,false,Other operating income,1050
4210,,income_other,false,Rental income,1060
4220,,income_other,false,Grants and donor-funded project income,1070
4230,,income_other,false,Profit on disposal of fixed assets,1080
4240,,income_other,false,Foreign exchange gains,1090
4300,,income_other,false,Income from shares in group undertakings,1100
4310,,income_other,false,Income from other fixed asset investments,1110
4320,,income_other,false,Other interest receivable and similar income,1120
5000,,expense_direct_cost,false,Purchases — goods for resale,1130
5010,,expense_direct_cost,false,Purchases — raw materials and consumables,1140
5020,,expense_direct_cost,false,Carriage inwards,1150
5030,,expense_direct_cost,false,Import duty and clearing charges,1160
5040,,expense_direct_cost,false,Purchase returns and allowances,1170
5050,,expense_direct_cost,false,Discounts received,1180
5100,,expense_direct_cost,false,Opening stock,1190
5110,,expense_direct_cost,false,Closing stock,1200
5200,,expense_direct_cost,false,Subcontractor costs,1210
5210,,expense_direct_cost,false,Direct labour,1220
5220,,expense_direct_cost,false,Direct expenses — plant and equipment hire,1230
5230,,expense_direct_cost,false,Direct expenses — materials,1240
6000,,expense,false,Advertising and marketing,1250
6010,,expense,false,Website and online advertising,1260
6100,,expense,false,Carriage outwards,1270
6110,,expense,false,Packaging,1280
6200,,expense,false,Distribution staff — wages and salaries,1290
6210,,expense,false,Distribution staff — employer's pension contributions,1300
6230,,expense,false,Sales commission,1310
6300,,expense,false,Delivery vehicle running costs,1320
6310,,expense,false,Travelling — distribution,1330
6400,,expense,false,Warehouse rent and rates,1340
6410,,expense,false,"Warehouse light, heat and water",1350
6420,,expense,false,Warehouse insurance,1360
6500,,expense_depreciation,false,Depreciation — distribution assets,1370
7000,,expense,false,Directors' remuneration,1380
7010,,expense,false,Wages and salaries,1390
7020,,expense,false,Employer's pension contributions,1400
7030,,expense,false,National Housing Fund contributions,1410
7040,,expense,false,Nigeria Social Insurance Trust Fund contributions,1420
7050,,expense,false,Industrial Training Fund levy,1430
7060,,expense,false,Staff training,1440
7070,,expense,false,Staff welfare,1450
7080,,expense,false,Recruitment costs,1460
7090,,expense,false,Temporary and agency staff,1470
7100,,expense,false,Rent and rates,1480
7110,,expense,false,Light and heat,1490
7120,,expense,false,Water rates,1500
7130,,expense,false,Insurance,1510
7140,,expense,false,Repairs and maintenance,1520
7150,,expense,false,Cleaning,1530
7160,,expense,false,Security,1540
7200,,expense,false,Telephone and internet,1550
7210,,expense,false,Postage and courier,1560
7220,,expense,false,Printing and stationery,1570
7230,,expense,false,Software and subscriptions,1580
7240,,expense,false,Computer and IT costs,1590
7250,,expense,false,Equipment hire,1600
7260,,expense,false,Generator fuel and diesel,1610
7270,,expense,false,Sundry expenses,1620
7300,,expense,false,Motor vehicle running costs,1630
7310,,expense,false,Motor vehicle leasing and hire,1640
7320,,expense,false,Travel and subsistence,1650
7330,,expense,false,Business entertainment,1660
7400,,expense,false,Accountancy fees,1670
7410,,expense,false,Legal and professional fees,1680
7420,,expense,false,Consultancy fees,1690
7430,,expense,false,Audit fee,1700
7440,,expense,false,Bank charges,1710
7450,,expense,false,Card and mobile-money processing charges,1720
