code,parent,type,reconcilable,name,sequence
BIva,,asset_fixed,false,Immateriële vaste activa,10
BIvaKou,BIva,asset_fixed,false,Kosten van oprichting en van uitgifte van aandelen,20
BIvaKouVvp,BIvaKou,asset_fixed,false,Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen,30
BIvaKouCae,BIvaKou,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen,40
BIvaKoo,BIva,asset_fixed,false,Kosten van ontwikkeling,50
BIvaKooVvp,BIvaKoo,asset_fixed,false,Verkrijgings- of vervaardigingsprijs kosten van ontwikkeling,60
BIvaKooCae,BIvaKoo,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen kosten van ontwikkeling,70
BIvaCev,BIva,asset_fixed,false,"Concessies, vergunningen en intellectuele eigendom",80
BIvaCevVvp,BIvaCev,asset_fixed,false,"Verkrijgings- of vervaardigingsprijs concessies, vergunningen en intellectuele eigendom",90
BIvaCevCae,BIvaCev,asset_fixed,false,"Cumulatieve afschrijvingen en waardeverminderingen concessies, vergunningen en intellectuele eigendom",100
BIvaGoo,BIva,asset_fixed,false,Goodwill,110
BIvaGooVvp,BIvaGoo,asset_fixed,false,Verkrijgings- of vervaardigingsprijs goodwill,120
BIvaGooCae,BIvaGoo,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen goodwill,130
BMva,,asset_fixed,false,Materiële vaste activa,140
BMvaTer,BMva,asset_fixed,false,Terreinen,150
BMvaTerVvp,BMvaTer,asset_fixed,false,Verkrijgings- of vervaardigingsprijs terreinen,160
BMvaBeg,BMva,asset_fixed,false,Bedrijfsgebouwen,170
BMvaBegVvp,BMvaBeg,asset_fixed,false,Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen,180
BMvaBegCae,BMvaBeg,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen,190
BMvaVer,BMva,asset_fixed,false,Verbouwingen,200
BMvaVerVvp,BMvaVer,asset_fixed,false,Verkrijgings- of vervaardigingsprijs verbouwingen,210
BMvaVerCae,BMvaVer,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen verbouwingen,220
BMvaMei,BMva,asset_fixed,false,Machines en installaties,230
BMvaMeiVvp,BMvaMei,asset_fixed,false,Verkrijgings- of vervaardigingsprijs machines en installaties,240
BMvaMeiCae,BMvaMei,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen machines en installaties,250
BMvaObe,BMva,asset_fixed,false,Andere vaste bedrijfsmiddelen,260
BMvaObeVvp,BMvaObe,asset_fixed,false,Verkrijgings- of vervaardigingsprijs andere vaste bedrijfsmiddelen,270
BMvaObeCae,BMvaObe,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen andere vaste bedrijfsmiddelen,280
BMvaBei,BMva,asset_fixed,false,Inventaris,290
BMvaBeiVvp,BMvaBei,asset_fixed,false,Verkrijgings- of vervaardigingsprijs inventaris,300
BMvaBeiCae,BMvaBei,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen inventaris,310
BMvaTev,BMva,asset_fixed,false,Automobielen en overige transportmiddelen,320
BMvaTevVvp,BMvaTev,asset_fixed,false,Verkrijgings- of vervaardigingsprijs automobielen en overige transportmiddelen,330
BMvaTevCae,BMvaTev,asset_fixed,false,Cumulatieve afschrijvingen en waardeverminderingen automobielen en overige transportmiddelen,340
BMvaVbi,BMva,asset_fixed,false,Vaste bedrijfsmiddelen in uitvoering,350
BMvaVbiVvp,BMvaVbi,asset_fixed,false,Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering,360
BFva,,asset_non_current,false,Financiële vaste activa,370
BFvaDig,BFva,asset_non_current,false,Deelnemingen in groepsmaatschappijen,380
BFvaDigNev,BFvaDig,asset_non_current,false,Verkrijgingsprijs deelnemingen in groepsmaatschappijen,390
BFvaVog,BFva,asset_non_current,false,Vorderingen op groepsmaatschappijen,400
BFvaVogVgl,BFvaVog,asset_non_current,false,Verkrijgingsprijs vorderingen op groepsmaatschappijen,410
BFvaAnd,BFva,asset_non_current,false,Overige deelnemingen,420
BFvaAndKpr,BFvaAnd,asset_non_current,false,Verkrijgingsprijs overige deelnemingen,430
BFvaOvr,BFva,asset_non_current,false,Overige vorderingen,440
BFvaOvrWaa,BFvaOvr,asset_non_current,false,Hoofdsom waarborgsommen (langlopend),450
BFvaOvrOvl,BFvaOvr,asset_non_current,false,Hoofdsom overige financiële vaste activa (langlopend),460
BFvaLbv,BFva,asset_non_current,false,Latente belastingvorderingen,470
BFvaLbvBll,BFvaLbv,asset_non_current,false,Compensabele verliezen,480
BFvaLen,BFva,asset_non_current,false,Leningen u/g (langlopend),490
BFvaLenLen,BFvaLen,asset_non_current,false,Leningen u/g (langlopend),500
BVrd,,asset_current,false,Voorraden,510
