code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Business cheque account,20
1020,,asset_cash,false,Business savings account,30
1030,,asset_cash,false,Foreign currency account,40
1040,,asset_cash,false,Merchant card clearing account,50
1050,,asset_cash,false,Term deposits of three months or less,60
1060,,asset_cash,false,Cash in transit,70
1100,,asset_receivable,true,Trade debtors,80
1105,,asset_current,false,Provision for doubtful debts,90
1110,,asset_current,false,Amounts receivable from related parties,100
1120,,asset_current,false,Other debtors,110
1130,,asset_current,false,Accrued income,120
1140,,asset_current,false,Employee advances,130
1150,,asset_current,false,GST paid on purchases — Box 11,140
1152,,asset_current,false,GST on purchases accounted for on a payments basis — awaiting payment,150
1155,,asset_current,true,GST refund due from Inland Revenue — net of a filed return,160
1160,,asset_current,false,Provisional tax paid,170
1170,,asset_current,false,RWT deducted at source — imputation credits carried forward,180
1200,,asset_current,false,Inventory — raw materials and consumables,190
1210,,asset_current,false,Inventory — work in progress,200
1220,,asset_current,false,Inventory — finished goods and goods for resale,210
1230,,asset_current,false,Goods in transit,220
1300,,asset_current,false,Term deposits of more than three months,230
1310,,asset_current,false,Listed securities held for trading,240
1320,,asset_current,false,Loans to related parties — current,250
1350,,asset_current,false,Income tax refundable,260
1400,,asset_prepayments,false,Prepayments,270
1410,,asset_prepayments,false,Deposits paid,280
1420,,asset_prepayments,false,Payments on account to suppliers,290
1600,,asset_fixed,false,Freehold land,300
1610,,asset_fixed,false,Buildings,310
1611,,asset_fixed,false,Buildings — accumulated depreciation,320
1620,,asset_fixed,false,Leasehold improvements,330
1621,,asset_fixed,false,Leasehold improvements — accumulated depreciation,340
1630,,asset_fixed,false,Plant and equipment,350
1631,,asset_fixed,false,Plant and equipment — accumulated depreciation,360
1640,,asset_fixed,false,Office furniture and equipment,370
1641,,asset_fixed,false,Office furniture and equipment — accumulated depreciation,380
1650,,asset_fixed,false,Computer equipment,390
1651,,asset_fixed,false,Computer equipment — accumulated depreciation,400
1660,,asset_fixed,false,Motor vehicles,410
1661,,asset_fixed,false,Motor vehicles — accumulated depreciation,420
1670,,asset_fixed,false,Right-of-use assets,430
1671,,asset_fixed,false,Right-of-use assets — accumulated depreciation,440
1680,,asset_fixed,false,Capital works in progress,450
1700,,asset_non_current,false,Investment property,460
1750,,asset_fixed,false,Goodwill,470
1751,,asset_fixed,false,Goodwill — accumulated impairment,480
1760,,asset_fixed,false,Software and development costs,490
1761,,asset_fixed,false,Software and development costs — accumulated amortisation,500
1770,,asset_fixed,false,"Patents, trade marks and licences",510
1771,,asset_fixed,false,"Patents, trade marks and licences — accumulated amortisation",520
1800,,asset_non_current,false,Investments in associates,530
1810,,asset_non_current,false,Investments in joint ventures,540
1820,,asset_non_current,false,Shares in unlisted entities,550
1830,,asset_non_current,false,Loans to related parties — non-current,560
1840,,asset_non_current,false,Security deposits — non-current,570
1900,,asset_non_current,false,Deferred tax assets,580
2000,,liability_payable,true,Trade creditors,590
2010,,liability_current,false,Accrued expenses,600
2020,,liability_current,false,Amounts payable to related parties,610
2030,,liability_current,false,Other creditors,620
2040,,liability_current,false,Customer deposits and contract liabilities,630
2050,,liability_current,false,Wages and salaries payable,640
2060,,liability_current,false,KiwiSaver employer contributions payable,650
2065,,liability_current,false,ACC levies payable,660
2070,,liability_current,false,PAYE deducted from employees — payable,670
2075,,liability_current,false,Employer superannuation contribution tax (ESCT) payable,680
2080,,liability_current,false,Dividends payable,690
2085,,liability_current,false,Resident withholding tax (RWT) deducted — payable,700
2090,,liability_current,false,Non-resident withholding tax (NRWT) deducted — payable,710
2100,,liability_current,false,GST collected on sales — Box 5,720
2105,,liability_current,false,GST on sales accounted for on a payments basis — awaiting payment,730
2110,,liability_current,true,GST payable to Inland Revenue — net of a filed return,740
2130,,liability_current,false,Fringe benefit tax (FBT) payable,750
2200,,liability_current,false,Bank overdraft,760
2210,,liability_credit_card,false,Business credit card,770
2220,,liability_current,false,Bank loans — current,780
2230,,liability_current,false,Lease liabilities — current,790
2240,,liability_current,false,Hire purchase liabilities — current,800
2300,,liability_current,false,Income tax payable,810
2310,,liability_current,false,Provisional tax payable,820
2350,,liability_current,false,Provision for annual leave,830
2360,,liability_current,false,Provision for long service and sick leave,840
2370,,liability_current,false,Provision for warranties and other provisions — current,850
2400,,liability_non_current,false,Bank loans — non-current,860
2410,,liability_non_current,false,Lease liabilities — non-current,870
2420,,liability_non_current,false,Hire purchase liabilities — non-current,880
2430,,liability_non_current,false,Loans from shareholders and related parties — non-current,890
2500,,liability_non_current,false,Deferred tax liabilities,900
2550,,liability_non_current,false,Provision for long service leave — non-current,910
2560,,liability_non_current,false,Provision for make good and restoration,920
2990,,liability_current,false,Suspense account,930
