code,parent,type,reconcilable,name,sequence
11,,asset_cash,false,EFECTIVO Y EQUIVALENTES DE EFECTIVO,10
1105,11,asset_cash,false,Caja,20
110501,1105,asset_cash,false,Caja general,30
110502,1105,asset_cash,false,Caja menuda,40
1110,11,asset_cash,false,Bancos,50
111001,1110,asset_cash,false,Bancos — cuentas corrientes,60
111002,1110,asset_cash,false,Bancos — cuentas de ahorro,70
12,,asset_current,false,INVERSIONES,80
1205,12,asset_current,false,Inversiones temporales,90
120501,1205,asset_current,false,Certificados de depósito a corto plazo,100
13,,asset_current,false,CUENTAS POR COBRAR,110
1305,13,asset_current,false,Clientes,120
130501,1305,asset_receivable,true,Clientes nacionales,130
130502,1305,asset_receivable,true,Clientes del exterior,140
130590,1305,asset_current,false,Estimación para cuentas incobrables,150
1310,13,asset_current,false,Cuentas por cobrar a empleados y socios,160
131001,1310,asset_current,false,Préstamos a empleados,170
131002,1310,asset_current,false,Cuentas por cobrar a accionistas,180
1315,13,asset_current,false,Anticipos y avances,190
131501,1315,asset_current,false,Anticipo a proveedores,200
1395,13,asset_current,false,Impuestos por cobrar,210
139501,1395,asset_current,false,ITBMS crédito fiscal,220
139502,1395,asset_current,true,ITBMS a favor del contribuyente,230
139503,1395,asset_current,false,Impuesto sobre la renta pagado por anticipado,240
14,,asset_current,false,INVENTARIOS,250
1405,14,asset_current,false,Inventario de mercancías,260
140501,1405,asset_current,false,Mercancías para la venta,270
1410,14,asset_current,false,Inventario de materia prima,280
141001,1410,asset_current,false,Materia prima,290
15,,asset_prepayments,false,GASTOS PAGADOS POR ANTICIPADO,300
1505,15,asset_prepayments,false,Seguros pagados por anticipado,310
1510,15,asset_prepayments,false,Arrendamientos pagados por anticipado,320
1515,15,asset_prepayments,false,Otros gastos pagados por anticipado,330
16,,asset_fixed,false,"PROPIEDAD, PLANTA Y EQUIPO",340
1605,16,asset_fixed,false,Terrenos,350
1610,16,asset_fixed,false,Edificaciones,360
1611,16,asset_fixed,false,Depreciación acumulada de edificaciones,370
1615,16,asset_fixed,false,Maquinaria y equipo,380
1616,16,asset_fixed,false,Depreciación acumulada de maquinaria y equipo,390
1620,16,asset_fixed,false,Mobiliario y equipo de oficina,400
1621,16,asset_fixed,false,Depreciación acumulada de mobiliario y equipo de oficina,410
1625,16,asset_fixed,false,Equipo de computación,420
1626,16,asset_fixed,false,Depreciación acumulada de equipo de computación,430
1630,16,asset_fixed,false,Vehículos,440
1631,16,asset_fixed,false,Depreciación acumulada de vehículos,450
17,,asset_non_current,false,ACTIVOS INTANGIBLES,460
1705,17,asset_non_current,false,Marcas y patentes,470
1710,17,asset_non_current,false,Software,480
1715,17,asset_non_current,false,Amortización acumulada de intangibles,490
18,,asset_non_current,false,OTROS ACTIVOS NO CORRIENTES,500
1805,18,asset_non_current,false,Depósitos en garantía,510
1810,18,asset_non_current,false,Gastos de organización y preoperativos,520
19,,asset_non_current,false,INVERSIONES A LARGO PLAZO,530
1905,19,asset_non_current,false,Inversiones permanentes en otras sociedades,540
21,,liability_current,false,OBLIGACIONES FINANCIERAS A CORTO PLAZO,550
2105,21,liability_current,false,Préstamos bancarios nacionales,560
2110,21,liability_current,false,Préstamos bancarios del exterior,570
22,,liability_current,false,PROVEEDORES,580
2205,22,liability_current,false,Proveedores,590
220501,2205,liability_payable,true,Proveedores nacionales,600
220502,2205,liability_payable,true,Proveedores del exterior,610
23,,liability_current,false,CUENTAS POR PAGAR,620
