code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Cash on hand,10
1010,,asset_cash,false,Cash in bank - current account,20
1020,,asset_cash,false,Cash in bank - savings account,30
1030,,asset_cash,false,Cash in bank - foreign currency (US dollar),40
1090,,asset_cash,false,Cash in transit / undeposited collections,50
1100,,asset_receivable,true,Trade receivables,60
1105,,asset_receivable,true,Notes receivable,70
1110,,asset_receivable,true,Receivables from related parties,80
1120,,asset_current,false,Unbilled receivables,90
1121,,asset_current,false,Advances to suppliers,100
1125,,asset_current,false,Accrued interest receivable,110
1130,,asset_current,false,Advances to employees,120
1140,,asset_current,false,Allowance for doubtful accounts,130
1150,,asset_current,false,Input value-added tax,140
1155,,asset_current,true,Value-added tax refundable / tax credit certificate receivable,150
1160,,asset_current,false,Creditable withholding tax (income tax),160
1170,,asset_current,false,Other receivables,170
1200,,asset_current,false,Merchandise inventory,180
1210,,asset_current,false,Raw materials and supplies inventory,190
1220,,asset_current,false,Work in process,200
1230,,asset_current,false,Goods in transit,210
1300,,asset_prepayments,false,Prepaid expenses,220
1310,,asset_prepayments,false,Deposits (rental and utility),230
1320,,asset_prepayments,false,Prepaid insurance,240
1330,,asset_prepayments,false,Creditable withholding tax carried forward,250
1600,,asset_fixed,false,Land,260
1610,,asset_fixed,false,Buildings and improvements,270
1611,1610,asset_fixed,false,Accumulated depreciation - buildings and improvements,280
1620,,asset_fixed,false,"Office furniture, fixtures and equipment",290
1621,1620,asset_fixed,false,"Accumulated depreciation - office furniture, fixtures and equipment",300
1630,,asset_fixed,false,Transportation equipment,310
1631,1630,asset_fixed,false,Accumulated depreciation - transportation equipment,320
1640,,asset_fixed,false,Computer equipment,330
1641,1640,asset_fixed,false,Accumulated depreciation - computer equipment,340
1650,,asset_fixed,false,Leasehold improvements,350
1651,1650,asset_fixed,false,Accumulated depreciation - leasehold improvements,360
1660,,asset_fixed,false,Machinery and production equipment,370
1661,1660,asset_fixed,false,Accumulated depreciation - machinery and production equipment,380
1700,,asset_non_current,false,Intangible assets,390
1710,,asset_non_current,false,Long-term deposits,400
1720,,asset_non_current,false,Computer software and licenses,410
1730,,asset_non_current,false,Goodwill,420
1740,,asset_non_current,false,Long-term investments,430
1750,,asset_non_current,false,Deferred tax asset,440
2000,,liability_payable,true,Trade payables,450
2005,,liability_payable,true,Notes payable,460
2020,,liability_current,false,Accrued salaries and wages,470
2030,,liability_current,false,Accrued 13th month pay,480
2040,,liability_current,false,Customer deposits / advances from customers,490
2050,,liability_current,false,Other payables,500
2060,,liability_current,false,Unearned revenue,510
2070,,liability_current,false,Current portion of long-term debt,520
2080,,liability_current,false,Provision for warranty,530
2100,,liability_current,false,Output value-added tax,540
2110,,liability_current,true,Value-added tax payable,550
2115,,liability_current,false,Value-added tax withheld on services from non-residents payable,560
2120,,liability_current,false,Import duties and taxes payable,570
2130,,liability_current,false,"SSS, PhilHealth and Pag-IBIG contributions payable",580
2140,,liability_current,false,Expanded withholding tax payable,590
2141,,liability_current,false,Withholding tax on compensation payable,600
2150,,liability_current,false,Percentage tax payable,610
2160,,liability_current,false,Income tax payable,620
2200,,liability_current,false,Short-term loans payable,630
2210,,liability_current,false,Other accrued expenses,640
2220,,liability_current,false,Advances from officers,650
2230,,liability_current,false,Dividends payable,660
2900,,liability_current,false,Due to related parties,670
2990,,liability_current,false,Suspense account,680
2500,,liability_non_current,false,Long-term loans payable,690
2510,,liability_non_current,false,Bonds payable,700
2520,,liability_non_current,false,Finance lease liability - non-current,710
2530,,liability_non_current,false,Retirement benefit obligation,720
2540,,liability_non_current,false,Deferred tax liability,730
3000,,equity,false,Share capital,740
3050,3000,equity,false,Subscriptions receivable,750
3100,,equity,false,Additional paid-in capital,760
3110,,equity,false,Appropriated retained earnings / legal reserve,770
3200,,equity_retained,false,Retained earnings,780
3210,,equity_retained,false,Dividends declared,790
4000,,income,false,Sales - domestic,800
4010,,income,false,Service revenue - domestic,810
4020,,income,false,Sales - export,820
4030,,income,false,Service revenue - rendered to a non-resident,830
4040,,income,false,Other service fees,840
4050,,income,false,Installation and maintenance revenue,850
4090,,income,false,Sales discounts and allowances,860
4500,,income,false,Rental income,870
4700,,income_other,false,Foreign exchange gain,880
4710,,income_other,false,Interest income,890
4720,,income_other,false,Dividend income,900
4750,,income_other,false,Gain on disposal of fixed assets,910
4900,,income_other,false,Miscellaneous income,920
5000,,expense_direct_cost,false,Cost of goods sold,930
5010,,expense_direct_cost,false,Freight-in,940
5020,,expense_direct_cost,false,Direct labor,950
5030,,expense_direct_cost,false,Manufacturing overhead,960
5040,,expense_direct_cost,false,Import duties on goods,970
5050,,expense_direct_cost,false,Inventory write-down,980
6000,,expense,false,Salaries and wages,990
6001,,expense,false,Overtime pay,1000
6005,,expense,false,13th month pay,1010
6010,,expense,false,"SSS, PhilHealth and Pag-IBIG contributions - employer share",1020
6015,,expense,false,Employee training,1030
6020,,expense,false,Retirement benefit expense,1040
6025,,expense,false,Uniforms and protective gear,1050
6030,,expense,false,Recruitment expense,1060
6040,,expense,false,Employee health insurance (HMO),1070
6050,,expense,false,Employee welfare and benefits,1080
6100,,expense,false,Rent expense,1090
6110,,expense,false,Utilities - water and electricity,1100
6120,,expense,false,Telephone and internet,1110
6130,,expense,false,Transportation and travel,1120
6140,,expense,false,Fuel and vehicle maintenance,1130
6150,,expense,false,Parking and toll fees,1140
6160,,expense,false,Postage and courier,1150
6170,,expense,false,Office supplies,1160
6180,,expense,false,Membership dues and subscriptions,1170
6190,,expense,false,Software subscriptions - domestic,1180
6200,,expense,false,Bank charges,1190
