code,parent,type,reconcilable,name,sequence
10,,equity,false,Capital și rezerve,10
101,10,equity,false,Capital,20
1012,101,equity,false,Capital subscris vărsat,30
104,10,equity,false,Prime de capital,40
1041,104,equity,false,Prime de emisiune,50
105,10,equity,false,Rezerve din reevaluare,60
106,10,equity,false,Rezerve,70
1061,106,equity,false,Rezerve legale,80
1068,106,equity,false,Alte rezerve,90
11,,equity_retained,false,Rezultatul reportat,100
117,11,equity_retained,false,Rezultatul reportat,110
1171,117,equity_retained,false,Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită,120
12,,equity,false,Rezultatul exercițiului financiar,130
121,12,equity,false,Profit sau pierdere,140
129,12,equity,false,Repartizarea profitului,150
13,,liability_non_current,false,Subvenții pentru investiții,160
131,13,liability_non_current,false,Subvenții guvernamentale pentru investiții,170
15,,liability_non_current,false,Provizioane,180
151,15,liability_non_current,false,Provizioane,190
1511,151,liability_non_current,false,Provizioane pentru litigii,200
1512,151,liability_non_current,false,Provizioane pentru garanții acordate clienților,210
1518,151,liability_non_current,false,Alte provizioane,220
16,,liability_non_current,false,Împrumuturi și datorii asimilate,230
162,16,liability_non_current,false,Credite bancare pe termen lung,240
167,16,liability_non_current,false,Alte împrumuturi și datorii asimilate,250
168,16,liability_non_current,false,Dobânzi aferente împrumuturilor și datoriilor asimilate,260
20,,asset_fixed,false,Imobilizări necorporale,270
201,20,asset_fixed,false,Cheltuieli de constituire,280
203,20,asset_fixed,false,Cheltuieli de dezvoltare,290
205,20,asset_fixed,false,"Concesiuni, brevete, licențe, mărci comerciale, drepturi și active similare",300
208,20,asset_fixed,false,Alte imobilizări necorporale,310
233,20,asset_fixed,false,Imobilizări necorporale în curs de execuție,320
21,,asset_fixed,false,Imobilizări corporale,330
211,21,asset_fixed,false,Terenuri și amenajări de terenuri,340
2111,211,asset_fixed,false,Terenuri,350
212,21,asset_fixed,false,Construcții,360
213,21,asset_fixed,false,Instalații tehnice și mijloace de transport,370
2131,213,asset_fixed,false,Echipamente tehnologice,380
2133,213,asset_fixed,false,Mijloace de transport,390
214,21,asset_fixed,false,"Mobilier, aparatură birotică și alte active corporale",400
231,21,asset_fixed,false,Imobilizări corporale în curs de execuție,410
234,21,asset_fixed,false,Avansuri acordate pentru imobilizări corporale,420
26,,asset_non_current,false,Imobilizări financiare,430
261,26,asset_non_current,false,Acțiuni deținute la entitățile afiliate,440
263,26,asset_non_current,false,Interese de participare,450
267,26,asset_non_current,false,Creanțe imobilizate,460
28,,asset_fixed,false,Amortizări privind imobilizările,470
280,28,asset_fixed,false,Amortizări privind imobilizările necorporale,480
2805,280,asset_fixed,false,"Amortizarea concesiunilor, brevetelor, licențelor și mărcilor comerciale",490
