code,parent,type,reconcilable,name,sequence
00,,asset_non_current,false,Upisani a neuplaćeni kapital,1
000,00,asset_non_current,false,Upisane a neuplaćene akcije,2
001,00,asset_non_current,false,Upisani a neuplaćeni udeli i ulozi,3
01,,asset_fixed,false,Nematerijalna imovina,10
010,01,asset_fixed,false,Ulaganja u razvoj,20
011,01,asset_fixed,false,"Koncesije, patenti, licence i slična prava",30
012,01,asset_fixed,false,Softver i ostala prava,40
013,01,asset_fixed,false,Gudvil,50
014,01,asset_fixed,false,Ostala nematerijalna imovina,60
016,01,asset_fixed,false,Nematerijalna imovina u pripremi,70
017,01,asset_fixed,false,Avansi za nematerijalnu imovinu,80
02,,asset_fixed,false,"Nekretnine, postrojenja i oprema",90
020,02,asset_fixed,false,Poljoprivredno i ostalo zemljište,100
021,02,asset_fixed,false,Građevinsko zemljište,110
022,02,asset_fixed,false,Građevinski objekti,120
023,02,asset_fixed,false,Postrojenja i oprema,130
024,02,asset_fixed,false,Investicione nekretnine,140
026,02,asset_fixed,false,"Ostale nekretnine, postrojenja i oprema",150
027,02,asset_fixed,false,"Nekretnine, postrojenja i oprema u pripremi",160
029,02,asset_fixed,false,"Avansi za nekretnine, postrojenja i opremu",170
03,,asset_fixed,false,Biološka sredstva,180
030,03,asset_fixed,false,Šume i višegodišnji zasadi,190
033,03,asset_fixed,false,Osnovno stado,200
04,,asset_non_current,false,Dugoročni finansijski plasmani,210
040,04,asset_non_current,false,Učešća u kapitalu zavisnih pravnih lica,220
041,04,asset_non_current,false,Učešća u kapitalu pridruženih pravnih lica i zajedničkim poduhvatima,230
042,04,asset_non_current,false,Učešća u kapitalu ostalih pravnih lica i dugoročne hartije od vrednosti,240
045,04,asset_non_current,false,Dugoročni plasmani u zemlji i inostranstvu,250
048,04,asset_non_current,false,Ostali dugoročni finansijski plasmani,260
05,,asset_non_current,false,Dugoročna potraživanja,270
050,05,asset_non_current,false,Potraživanja od matičnog i zavisnih pravnih lica,280
052,05,asset_non_current,false,Potraživanja po osnovu prodaje na robni kredit,290
056,05,asset_non_current,false,Ostala dugoročna potraživanja,300
10,,asset_current,false,Zalihe materijala,310
101,10,asset_current,false,Materijal,320
102,10,asset_current,false,Rezervni delovi,330
103,10,asset_current,false,Alat i sitan inventar,340
11,,asset_current,false,Nedovršena proizvodnja,350
110,11,asset_current,false,Nedovršena proizvodnja,360
111,11,asset_current,false,Nedovršene usluge,370
12,,asset_current,false,Gotovi proizvodi,380
120,12,asset_current,false,Gotovi proizvodi,390
13,,asset_current,false,Roba,400
131,13,asset_current,false,Roba u magacinu,410
132,13,asset_current,false,Roba u prometu na veliko,420
134,13,asset_current,false,Roba u prometu na malo,430
14,,asset_current,false,Stalna imovina koja se drži za prodaju i poslovanje koje se obustavlja,440
147,14,asset_current,false,Sredstva poslovanja koje se obustavlja,450
15,,asset_prepayments,false,Plaćeni avansi za zalihe i usluge,460
150,15,asset_prepayments,false,Plaćeni avansi za materijal,470
153,15,asset_prepayments,false,"Plaćeni avansi za robu i stalna sredstva nabavljena radi prodaje, u inostranstvu",480
154,15,asset_prepayments,false,Plaćeni avansi za usluge u zemlji,490
155,15,asset_prepayments,false,Plaćeni avansi za usluge u inostranstvu,500
20,,asset_receivable,true,Potraživanja po osnovu prodaje,510
200,20,asset_receivable,true,Kupci u zemlji — matično i zavisna pravna lica,520
201,20,asset_receivable,true,Kupci u inostranstvu — matično i zavisna pravna lica,530
204,20,asset_receivable,true,Kupci u zemlji,540
205,20,asset_receivable,true,Kupci u inostranstvu,550
206,20,asset_receivable,true,Ostala potraživanja po osnovu prodaje,560
22,,asset_current,false,Druga potraživanja,570
220,22,asset_current,false,Potraživanja za kamatu i dividende,580
221,22,asset_current,false,Potraživanja od zaposlenih,590
222,22,asset_current,false,Potraživanja od državnih organa i organizacija,600
228,22,asset_current,false,Ostala kratkoročna potraživanja,610
23,,asset_current,false,Kratkoročni finansijski plasmani,620
232,23,asset_current,false,Kratkoročni krediti i zajmovi u zemlji,630
233,23,asset_current,false,Kratkoročni krediti i zajmovi u inostranstvu,640
239,23,asset_current,false,Ostali kratkoročni finansijski plasmani,650
24,,asset_cash,false,Gotovinski ekvivalenti i gotovina,660
241,24,asset_cash,false,Tekući (poslovni) računi,670
242,24,asset_cash,false,Izdvojena novčana sredstva i akreditivi,680
243,24,asset_cash,false,Blagajna,690
244,24,asset_cash,false,Devizni račun,700
246,24,asset_cash,false,Devizna blagajna,710
248,24,asset_cash,false,Ostala novčana sredstva,720
27,,asset_current,false,Porez na dodatu vrednost,730
270,27,asset_current,false,"Porez na dodatu vrednost u primljenim fakturama po opštoj stopi (osim plaćenih avansa)",740
