code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Current account — SAR,20
1020,,asset_cash,false,Term deposits placed for three months or less,30
1030,,asset_cash,false,Foreign currency account,40
1040,,asset_cash,false,Cash in transit — card and payment gateway settlements,50
1050,,asset_cash,false,Murabaha and money market placements — three months or less,60
1100,,asset_receivable,true,Trade receivables,70
1110,,asset_current,false,Trade receivables — allowance for expected credit losses,80
1120,,asset_current,true,Other receivables,90
1130,,asset_current,false,Amounts due from related parties,100
1140,,asset_current,false,Deposits and retentions paid,110
1150,,asset_current,false,VAT input tax,120
1155,,asset_current,true,VAT refundable by ZATCA — net of a filed return,130
1157,,asset_current,false,Withholding tax suffered on own receipts — certificates held,140
1160,,asset_current,false,Advances to employees,150
1200,,asset_current,false,Inventories — goods for resale,170
1210,,asset_current,false,Inventories — raw materials,180
1220,,asset_current,false,Inventories — work in progress,190
1230,,asset_current,false,Inventories — finished goods,200
1300,,asset_current,false,Short-term investments,210
1350,,asset_current,false,Zakat and income tax recoverable,220
1400,,asset_prepayments,false,Prepayments,230
1410,,asset_prepayments,false,Accrued income,240
1420,,asset_prepayments,false,Prepaid rent,250
1430,,asset_prepayments,false,Prepaid insurance,260
1600,,asset_fixed,false,Land and buildings — cost,270
1601,,asset_fixed,false,Land and buildings — accumulated depreciation,280
1610,,asset_fixed,false,Leasehold improvements — cost,290
1611,,asset_fixed,false,Leasehold improvements — accumulated depreciation,300
1620,,asset_fixed,false,Plant and machinery — cost,310
1621,,asset_fixed,false,Plant and machinery — accumulated depreciation,320
1630,,asset_fixed,false,Office equipment and computers — cost,330
1631,,asset_fixed,false,Office equipment and computers — accumulated depreciation,340
1632,,asset_fixed,false,Furniture and fixtures — cost,350
1633,,asset_fixed,false,Furniture and fixtures — accumulated depreciation,360
1640,,asset_fixed,false,Motor vehicles — cost,370
1641,,asset_fixed,false,Motor vehicles — accumulated depreciation,380
1650,,asset_fixed,false,Capital work in progress,390
1690,,asset_fixed,false,Right-of-use assets — cost,400
1691,,asset_fixed,false,Right-of-use assets — accumulated depreciation,410
1700,,asset_non_current,false,Investments in related parties,420
1710,,asset_non_current,false,Long-term deposits and retentions held,430
1730,,asset_non_current,false,Goodwill,440
1750,,asset_non_current,false,Intangible assets — cost,450
1751,,asset_non_current,false,Intangible assets — accumulated amortisation,460
2000,,liability_payable,true,Trade payables,470
2010,,liability_current,false,Other payables and accruals,480
2020,,liability_current,false,Amounts due to related parties,490
2030,,liability_current,false,Amounts due to partners and shareholders,500
2040,,liability_current,false,Deposits and retentions received,510
2045,,liability_current,false,Deferred revenue and advances from customers,520
2050,,liability_current,false,Wages and salaries payable,530
2055,,liability_current,false,GOSI contributions payable,540
2100,,liability_current,false,VAT output tax,550
2105,,liability_current,false,Import VAT payable to Saudi Customs,555
2110,,liability_current,true,VAT payable to ZATCA — net of a filed return,560
2120,,liability_current,false,Withholding tax payable to ZATCA,570
2130,,liability_current,false,Zakat payable,580
2135,,liability_current,false,Income tax payable,590
2150,,liability_current,false,End-of-service benefits — current portion,600
2200,,liability_current,false,Short-term financing and bank overdraft,610
2210,,liability_current,false,Current portion of long-term financing,620
2300,,liability_non_current,false,Long-term financing,630
2320,,liability_non_current,false,Provision for onerous contracts,640
2350,,liability_non_current,false,End-of-service benefits provision — non-current portion,650
2990,,liability_current,false,Suspense account,660
3000,,equity,false,Share capital,670
3010,,equity,false,Statutory reserve,680
3020,,equity,false,Other reserves,690
3030,,equity,false,Foreign currency translation reserve,700
3200,,equity_retained,false,Retained earnings,710
3210,,equity_retained,false,Dividends paid,720
4000,,income,false,Sales of goods,730
4010,,income,false,Sales of services,740
4020,,income,false,Sales — export of goods,750
4030,,income,false,Sales — export of services,760
4040,,income,false,Rental income,770
4700,,income_other,false,Realised foreign exchange gain,780
4710,,income_other,false,Unrealised foreign exchange gain,790
4750,,income_other,false,Gain on disposal of fixed assets,800
4790,,income_other,false,Other income,810
5000,,expense_direct_cost,false,Cost of goods sold,820
5010,,expense_direct_cost,false,Freight and customs clearance,830
5020,,expense_direct_cost,false,Subcontractor costs,840
5030,,expense_direct_cost,false,Purchase returns and allowances,850
6100,,expense,false,Salaries and wages,860
6110,,expense,false,End-of-service benefits charge for the year,870
6120,,expense,false,GOSI employer contributions,880
6125,,expense,false,Employee medical insurance,890
6130,,expense,false,Other staff costs,900
6140,,expense,false,Recruitment and work permit charges,910
6200,,expense,false,Rent,920
6210,,expense,false,Utilities,930
6220,,expense,false,Office supplies,940
6230,,expense,false,IT and software,950
6240,,expense,false,Repairs and maintenance,960
6300,,expense,false,Travel,970
6310,,expense,false,Entertainment and hospitality — input tax blocked,980
6320,,expense,false,Motor vehicle running costs,990
6400,,expense,false,Professional fees,1000
6410,,expense,false,Bank and financing charges,1010
6420,,expense,false,Insurance,1020
6430,,expense,false,Marketing and advertising,1030
6435,,expense,false,Subscriptions and memberships,1040
6440,,expense,false,Government fees and licences,1050
6500,,expense_depreciation,false,Depreciation charge,1060
6510,,expense_depreciation,false,Amortisation charge,1070
6950,,expense,false,Realised foreign exchange loss,1080
6955,,expense,false,Unrealised foreign exchange loss,1090
6960,,expense,false,Loss on disposal of fixed assets,1100
6990,,expense,false,Rounding differences,1110
7100,,expense,false,Finance costs on borrowings and financing arrangements,1120
7110,,expense,false,Facility arrangement and guarantee fees,1130
8000,,expense,false,Zakat charge for the year,1140
8010,,expense,false,Income tax charge for the year,1150
