code,parent,type,reconcilable,name,sequence
1010,,asset_fixed,false,Balanserade utgifter för utveckling,10
1011,,asset_fixed,false,Ackumulerade avskrivningar balanserade utgifter,20
1020,,asset_fixed,false,Koncessioner patent licenser och varumärken,30
1021,,asset_fixed,false,Ackumulerade avskrivningar koncessioner patent licenser,40
1030,,asset_fixed,false,Goodwill,50
1031,,asset_fixed,false,Ackumulerade avskrivningar goodwill,60
1040,,asset_fixed,false,Programvaror,70
1041,,asset_fixed,false,Ackumulerade avskrivningar programvaror,80
1110,,asset_fixed,false,Byggnader,90
1111,,asset_fixed,false,Ackumulerade avskrivningar byggnader,100
1120,,asset_fixed,false,Mark,110
1130,,asset_fixed,false,Markanläggningar,120
1131,,asset_fixed,false,Ackumulerade avskrivningar markanläggningar,130
1150,,asset_fixed,false,Maskiner och andra tekniska anläggningar,140
1151,,asset_fixed,false,Ackumulerade avskrivningar maskiner,150
1160,,asset_fixed,false,"Inventarier, verktyg och installationer",160
1161,,asset_fixed,false,Ackumulerade avskrivningar inventarier,170
1170,,asset_fixed,false,Bilar och andra transportmedel,180
1171,,asset_fixed,false,Ackumulerade avskrivningar bilar,190
1180,,asset_fixed,false,Datorer,200
1181,,asset_fixed,false,Ackumulerade avskrivningar datorer,210
1190,,asset_fixed,false,Pågående nyanläggningar och förskott,220
1210,,asset_non_current,false,Andelar i koncernföretag,230
1220,,asset_non_current,false,Långfristiga fordringar hos koncernföretag,240
1230,,asset_non_current,false,Andelar i intresseföretag,250
1240,,asset_non_current,false,Andra långfristiga värdepappersinnehav,260
1250,,asset_non_current,false,Lån till delägare eller närstående,270
1260,,asset_non_current,false,Långfristiga fordringar hos övriga företag,280
1270,,asset_non_current,false,Uppskjuten skattefordran,290
1280,,asset_non_current,false,Långfristig deposition,300
1310,,asset_current,false,Råvaror och förnödenheter,310
1320,,asset_current,false,Varor under tillverkning,320
1330,,asset_current,false,Färdiga varor och handelsvaror,330
1340,,asset_current,false,Pågående arbete för annans räkning,340
1350,,asset_current,false,Förskott till leverantörer,350
1410,,asset_receivable,true,Kundfordringar,360
1420,,asset_current,false,Osäkra kundfordringar,370
1430,,asset_receivable,true,Kundfordringar hos koncernföretag,380
1440,,asset_current,false,Kortfristiga fordringar hos intresseföretag,390
1510,,asset_current,false,Ingående moms 25 procent,400
1511,,asset_current,false,Ingående moms 12 procent,410
1512,,asset_current,false,Ingående moms 6 procent,420
1513,,asset_current,false,Ingående moms unionsinterna förvärv av varor,430
1514,,asset_current,false,Ingående moms förvärv av tjänster från utlandet,440
1515,,asset_current,false,Ingående moms inhemsk omvänd betalningsskyldighet,450
1516,,asset_current,false,Ingående moms import,460
1610,,asset_current,false,Kortfristiga fordringar hos anställda,470
1620,,asset_current,false,Övriga kortfristiga fordringar,480
1630,,asset_current,true,Skattekontot,490
1640,,asset_current,false,Fordran arbetsgivaravgifter,500
1710,,asset_prepayments,false,Förutbetalda hyreskostnader,510
1720,,asset_prepayments,false,Förutbetalda försäkringspremier,520
1730,,asset_prepayments,false,Upplupna hyresintäkter,530
1740,,asset_prepayments,false,Upplupna ränteintäkter,540
1790,,asset_prepayments,false,Övriga förutbetalda kostnader och upplupna intäkter,550
1910,,asset_cash,false,Kassa,560
1920,,asset_cash,false,Bankkonto,570
1930,,asset_cash,false,Koncernkonto,580
1940,,asset_cash,false,Placeringskonto,590
2010,,equity,false,Aktiekapital,600
2011,,equity,false,Ej registrerat aktiekapital,610
2065,,equity,false,Reservfond,620
2070,,equity,false,Överkursfond,630
2080,,equity,false,Fond för utvecklingsutgifter,640
2020,,equity_retained,false,Balanserat resultat,650
2090,,equity_retained,false,Årets resultat,660
2110,,liability_non_current,false,Periodiseringsfond,670
2120,,liability_non_current,false,Ackumulerade överavskrivningar,680
2210,,liability_non_current,false,Avsättningar för pensioner,690
2220,,liability_non_current,false,Avsättningar för garantier,700
