code,parent,type,reconcilable,name,sequence
012,,asset_fixed,false,Aktivované náklady na vývoj,10
013,,asset_fixed,false,Softvér,20
014,,asset_fixed,false,Oceniteľné práva,30
015,,asset_fixed,false,Goodwill,40
019,,asset_fixed,false,Ostatný dlhodobý nehmotný majetok,50
021,,asset_fixed,false,Stavby,60
022,,asset_fixed,false,Samostatné hnuteľné veci a súbory hnuteľných vecí,70
023,,asset_fixed,false,Pestovateľské celky trvalých porastov,80
025,,asset_fixed,false,Základné stádo a ťažné zvieratá,90
026,,asset_fixed,false,Iný dlhodobý hmotný majetok,100
031,,asset_fixed,false,Pozemky,110
032,,asset_fixed,false,Umelecké diela a zbierky,120
041,,asset_fixed,false,Obstaranie dlhodobého nehmotného majetku,130
042,,asset_fixed,false,Obstaranie dlhodobého hmotného majetku,140
052,,asset_fixed,false,Poskytnuté preddavky na dlhodobý hmotný majetok,150
061,,asset_non_current,false,Podielové cenné papiere a podiely v dcérskej účtovnej jednotke,160
062,,asset_non_current,false,Podielové cenné papiere a podiely v spoločnosti s podstatným vplyvom,170
065,,asset_non_current,false,Dlhopisy a ostatné dlhodobé cenné papiere,180
066,,asset_non_current,false,Pôžičky prepojeným účtovným jednotkám,190
067,,asset_non_current,false,Ostatné pôžičky,200
069,,asset_non_current,false,Ostatné realizovateľné cenné papiere a podiely,210
071,,asset_fixed,false,Oprávky k aktivovaným nákladom na vývoj,220
072,,asset_fixed,false,Oprávky ku goodwillu,230
073,,asset_fixed,false,Oprávky k softvéru,240
079,,asset_fixed,false,Oprávky k ostatnému dlhodobému nehmotnému majetku,250
081,,asset_fixed,false,Oprávky k stavbám,260
082,,asset_fixed,false,Oprávky k samostatným hnuteľným veciam a súborom hnuteľných vecí,270
083,,asset_fixed,false,Oprávky k pestovateľským celkom trvalých porastov,280
085,,asset_fixed,false,Oprávky k základnému stádu a ťažným zvieratám,290
089,,asset_fixed,false,Oprávky k inému dlhodobému hmotnému majetku,300
112,,asset_current,false,Materiál na sklade,310
121,,asset_current,false,Nedokončená výroba,320
122,,asset_current,false,Polotovary vlastnej výroby,330
123,,asset_current,false,Výrobky,340
124,,asset_current,false,Zvieratá,350
132,,asset_current,false,Tovar na sklade a v predajniach,360
133,,asset_current,false,Tovar na ceste,370
211,,asset_cash,false,Pokladnica,380
213,,asset_cash,false,Ceniny,390
221,,asset_cash,false,Bankové účty,400
251,,asset_current,false,Majetkové cenné papiere na obchodovanie,410
252,,asset_current,false,Vlastné akcie a vlastné obchodné podiely,420
253,,asset_current,false,Dlhové cenné papiere na obchodovanie,430
255,,asset_current,false,Vlastné dlhopisy,440
256,,asset_current,false,Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti,450
261,,asset_cash,false,Peniaze na ceste,460
311,,asset_receivable,true,Odberatelia,470
313,,asset_current,false,Pohľadávky za eskontované cenné papiere,480
314,,asset_current,false,Poskytnuté prevádzkové preddavky,490
315,,asset_current,true,Ostatné pohľadávky,500
317,,asset_current,false,Iné pohľadávky z hlavnej činnosti,510
318,,asset_current,false,Pohľadávky voči účastníkom združenia,520
321,,liability_payable,true,Dodávatelia,530
324,,liability_current,true,Prijaté preddavky,540
325,,liability_current,false,Ostatné záväzky,550
