code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,เงินสด,10
1010,,asset_cash,false,เงินฝากธนาคาร - กระแสรายวัน,20
1020,,asset_cash,false,เงินฝากธนาคาร - ออมทรัพย์,30
1030,,asset_cash,false,เงินฝากธนาคาร - เงินตราต่างประเทศ (ดอลลาร์สหรัฐ),40
1040,,asset_cash,false,เงินฝากธนาคาร - เงินตราต่างประเทศ (อื่น ๆ),50
1090,,asset_cash,false,เงินสดระหว่างนำฝาก,60
1100,,asset_receivable,true,ลูกหนี้การค้า,70
1105,,asset_receivable,true,ตั๋วเงินรับ,80
1110,,asset_receivable,true,ลูกหนี้กิจการที่เกี่ยวข้องกัน,90
1120,,asset_current,false,ลูกหนี้ตามสัญญายังไม่วางบิล,100
1121,,asset_current,false,เงินมัดจำจ่ายล่วงหน้าค่าสินค้า,110
1125,,asset_current,false,ดอกเบี้ยค้างรับ,120
1140,,asset_current,false,ค่าเผื่อหนี้สงสัยจะสูญ,130
1150,,asset_current,false,ภาษีซื้อ,140
1155,,asset_current,true,ภาษีมูลค่าเพิ่มรอขอคืน,150
1160,,asset_current,false,เงินทดรองจ่ายพนักงาน,160
1170,,asset_current,false,ลูกหนี้อื่น,170
1180,,asset_current,false,เงินให้กู้ยืมพนักงานระยะสั้น,180
1200,,asset_current,false,สินค้าสำเร็จรูปคงเหลือ,190
1210,,asset_current,false,วัตถุดิบและวัสดุคงเหลือ,200
1220,,asset_current,false,งานระหว่างผลิต,210
1230,,asset_current,false,วัสดุบรรจุภัณฑ์และของใช้สิ้นเปลือง,220
1240,,asset_current,false,สินค้าระหว่างทาง,230
1300,,asset_prepayments,false,ค่าใช้จ่ายจ่ายล่วงหน้า,240
1310,,asset_prepayments,false,เงินประกันจ่าย,250
1320,,asset_prepayments,false,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,260
1330,,asset_prepayments,false,ค่าเช่าจ่ายล่วงหน้า,270
