code,parent,type,reconcilable,name,sequence
100,,asset_cash,false,Kasa,10
101,,asset_cash,false,Alınan Çekler,15
102,,asset_cash,false,Bankalar,20
103,,asset_cash,false,Verilen Çekler ve Ödeme Emirleri (-),25
108,,asset_cash,false,Diğer Hazır Değerler,28
110,,asset_current,false,Hisse Senetleri,30
111,,asset_current,false,Özel Kesim Tahvil Senet ve Bonoları,31
112,,asset_current,false,Kamu Kesimi Tahvil Senet ve Bonoları,32
118,,asset_current,false,Diğer Menkul Kıymetler,33
119,,asset_current,false,Menkul Değerler Değer Düşüklüğü Karşılığı (-),34
120,,asset_receivable,true,Alıcılar,40
121,,asset_current,false,Alacak Senetleri,41
122,,asset_current,false,Alacak Senetleri Reeskontu (-),42
126,,asset_current,false,Verilen Depozito ve Teminatlar,43
127,,asset_current,false,Diğer Ticari Alacaklar,44
128,,asset_current,false,Şüpheli Ticari Alacaklar,45
129,,asset_current,false,Şüpheli Alacaklar Karşılığı (-),46
131,,asset_current,false,Ortaklardan Alacaklar,50
132,,asset_current,false,İştiraklerden Alacaklar,51
133,,asset_current,false,Bağlı Ortaklıklardan Alacaklar,52
135,,asset_current,false,Personelden Alacaklar,53
136,,asset_current,false,Diğer Çeşitli Alacaklar,54
1369,136,asset_current,false,Geçici Hesap (Askıda Tutulan İşlemler),55
137,,asset_current,false,Diğer Alacak Senetleri Reeskontu (-),56
138,,asset_current,false,Şüpheli Diğer Alacaklar,57
139,,asset_current,false,Şüpheli Diğer Alacaklar Karşılığı (-),58
151,,asset_current,false,Yarı Mamuller — Üretim,60
152,,asset_current,false,Mamuller,61
153,,asset_current,false,Ticari Mallar,62
157,,asset_current,false,Diğer Stoklar,63
158,,asset_current,false,Stok Değer Düşüklüğü Karşılığı (-),64
159,,asset_current,false,Verilen Sipariş Avansları,65
180,,asset_prepayments,false,Gelecek Aylara Ait Giderler,70
181,,asset_prepayments,false,Gelir Tahakkukları,71
190,,asset_current,false,Devreden Katma Değer Vergisi,80
191,,asset_current,false,İndirilecek KDV,81
192,,asset_current,true,Diğer Katma Değer Vergisi,82
193,,asset_prepayments,false,Peşin Ödenen Vergiler ve Fonlar,83
195,,asset_current,false,İş Avansları,84
196,,asset_current,false,Personel Avansları,85
197,,asset_current,false,Sayım ve Tesellüm Noksanları,86
198,,asset_current,false,Diğer Çeşitli Dönen Varlıklar,87
199,,asset_current,false,Diğer Dönen Varlıklar Karşılığı (-),88
220,,asset_non_current,false,Alıcılar (Uzun Vadeli),100
226,,asset_non_current,false,Verilen Depozito ve Teminatlar,101
229,,asset_non_current,false,Şüpheli Alacaklar Karşılığı (-),102
240,,asset_non_current,false,Bağlı Menkul Kıymetler,110
242,,asset_non_current,false,İştirakler,111
245,,asset_non_current,false,Bağlı Ortaklıklar,112
248,,asset_non_current,false,Diğer Mali Duran Varlıklar,113
251,,asset_fixed,false,Yeraltı ve Yerüstü Düzenleri,120
252,,asset_fixed,false,Binalar,121
253,,asset_fixed,false,Tesis Makine ve Cihazlar,122
254,,asset_fixed,false,Taşıtlar,123
255,,asset_fixed,false,Demirbaşlar,124
256,,asset_fixed,false,Diğer Maddi Duran Varlıklar,125
257,,asset_fixed,false,Birikmiş Amortismanlar (-),126
258,,asset_fixed,false,Yapılmakta Olan Yatırımlar,127
259,,asset_fixed,false,Verilen Avanslar,128
260,,asset_non_current,false,Haklar,130
261,,asset_non_current,false,Şerefiye,131
262,,asset_non_current,false,Kuruluş ve Örgütlenme Giderleri,132
263,,asset_non_current,false,Araştırma ve Geliştirme Giderleri,133
264,,asset_non_current,false,Özel Maliyetler,134
267,,asset_non_current,false,Diğer Maddi Olmayan Duran Varlıklar,135
268,,asset_non_current,false,Birikmiş Amortismanlar (-) (İtfa Payları),136
269,,asset_non_current,false,Verilen Avanslar,137
280,,asset_prepayments,false,Gelecek Yıllara Ait Giderler,140
281,,asset_prepayments,false,Gelir Tahakkukları,141
291,,asset_non_current,false,Gelecek Yıllarda İndirilecek KDV,150
292,,asset_non_current,false,Diğer KDV,151
293,,asset_non_current,false,Gelecek Yıllar İhtiyacı Stoklar,152
294,,asset_non_current,false,Elden Çıkarılacak Stoklar ve Maddi Duran Varlıklar,153
297,,asset_non_current,false,Diğer Çeşitli Duran Varlıklar,154
298,,asset_non_current,false,Stok Değer Düşüklüğü Karşılığı (-),155
299,,asset_non_current,false,Birikmiş Amortismanlar (-),156
300,,liability_current,false,Banka Kredileri (Kısa Vadeli),170
303,,liability_current,false,Uzun Vadeli Kredilerin Anapara Taksitleri ve Faizleri,171
309,,liability_current,false,Diğer Mali Borçlar,172
320,,liability_payable,true,Satıcılar,180
321,,liability_current,false,Borç Senetleri,181
322,,liability_current,false,Borç Senetleri Reeskontu (-),182
326,,liability_current,false,Alınan Depozito ve Teminatlar,183
329,,liability_current,false,Diğer Ticari Borçlar,184
331,,liability_current,false,Ortaklara Borçlar,190
332,,liability_current,false,İştiraklere Borçlar,191
333,,liability_current,false,Bağlı Ortaklıklara Borçlar,192
334,,liability_current,false,Üyelere Borçlar,193
335,,liability_current,false,Personele Borçlar,194
336,,liability_current,false,Diğer Çeşitli Borçlar,195
337,,liability_current,false,Diğer Borç Senetleri Reeskontu (-),196
