code,parent,type,reconcilable,name,sequence
1111,,asset_cash,false,庫存現金,10
1112,,asset_cash,false,零用金／週轉金,20
1113,,asset_cash,false,銀行存款,30
1182,,asset_current,false,應收票據貼現,40
1184,,asset_current,false,其他應收票據,50
1185,,asset_current,false,備抵損失－應收票據,60
1191,,asset_receivable,true,應收帳款,70
1192,,asset_current,false,備抵銷售退回及折讓,80
1193,,asset_current,false,應收分期帳款,90
1199,,asset_current,false,備抵損失－應收帳款,100
1211,,asset_current,false,應收收益,110
1212,,asset_current,false,其他應收款－關係人,120
1213,,asset_current,false,其他應收款－其他,130
1222,,asset_current,false,預付所得稅,140
1231,,asset_current,false,商品存貨,150
1232,,asset_current,false,寄銷品,160
1233,,asset_current,false,在途商品,170
1236,,asset_current,false,副產品,180
1235,,asset_current,false,製成品,190
1237,,asset_current,false,在製品,200
1239,,asset_current,false,原料,210
1240,,asset_current,false,物料,220
1243,,asset_current,false,農業產品,230
1244,,asset_fixed,false,在建工程,240
1261,,asset_prepayments,false,預付薪資,250
1262,,asset_prepayments,false,預付租金,260
1263,,asset_prepayments,false,預付保險費,270
1264,,asset_current,false,用品盤存,280
1265,,asset_prepayments,false,其他預付費用,290
1266,,asset_current,false,預付貨款,300
1267,,asset_current,false,預付投資款,310
1268,,asset_current,false,進項稅額,320
1269,,asset_current,true,留抵稅額,330
1270,,asset_prepayments,false,其他預付款項,340
1281,,asset_current,false,暫付款,350
1282,,asset_current,false,代付款,360
1283,,asset_current,false,員工借支,370
1391,,asset_fixed,false,土地－成本,380
1411,,asset_fixed,false,房屋及建築－成本,390
1413,,asset_fixed,false,累計折舊－房屋及建築,400
1421,,asset_fixed,false,機器設備－成本,410
1422,,asset_fixed,false,累計折舊－機器設備,420
1431,,asset_fixed,false,辦公設備－成本,430
1432,,asset_fixed,false,累計折舊－辦公設備,440
1531,,asset_fixed,false,電腦軟體－成本,450
1533,,asset_fixed,false,累計攤銷－電腦軟體,460
1541,,asset_non_current,false,商譽－成本,470
1561,,asset_non_current,false,遞延所得稅資產,480
1583,,asset_non_current,false,存出保證金,490
2111,,liability_current,false,銀行透支,500
2112,,liability_current,false,銀行借款,510
2161,,liability_current,false,應付票據,520
2162,,liability_current,false,應付票據－關係人,530
2171,,liability_payable,true,應付帳款,540
2191,,liability_current,false,應付薪資,550
2192,,liability_current,false,應付租金,560
2193,,liability_current,false,應付利息,570
2194,,liability_current,true,應付營業稅,580
2195,,liability_current,false,應付稅捐－其他,590
2196,,liability_current,false,應付退休金費用,600
2197,,liability_current,false,其他應付費用,610
2199,,liability_current,false,應付設備款,620
2201,,liability_current,false,應付股利,630
2204,,liability_current,false,銷項稅額,640
2211,,liability_current,false,本期所得稅負債,650
2221,,liability_current,false,預收貨款,660
2232,,liability_current,false,一年內到期長期借款,670
2251,,liability_current,true,暫收款,680
2351,,liability_non_current,false,長期銀行借款,690
2372,,liability_non_current,false,除役、復原及修復成本之長期負債準備,700
2382,,liability_non_current,false,遞延所得稅負債,710
2391,,liability_non_current,false,遞延收入,720
2392,,liability_non_current,false,存入保證金,730
3111,,equity,false,普通股股本,740
3113,,equity,false,預收股本,750
3211,,equity,false,資本公積,760
3311,,equity_retained,false,法定盈餘公積,770
3321,,equity_retained,false,特別盈餘公積,780
3351,,equity_retained,false,累積盈虧,790
3352,,equity_retained,false,追溯適用及追溯重編之影響數,800
3511,,equity,false,庫藏股票,810
4111,,income,false,銷貨收入,820
4113,,income,false,銷貨退回,830
4114,,income,false,銷貨折讓,840
4121,,income,false,勞務收入,850
4141,,income_other,false,其他營業收入,860
5111,,expense_direct_cost,false,銷貨成本,870
5121,,expense_direct_cost,false,進貨,880
5122,,expense_direct_cost,false,進貨費用,890
5123,,expense_direct_cost,false,進貨退出,900
5124,,expense_direct_cost,false,進貨折讓,910
5141,,expense_direct_cost,false,直接人工,920
5165,,expense_direct_cost,false,伙食費,930
5166,,expense_direct_cost,false,職工福利,940
5611,,expense_direct_cost,false,勞務成本,950
5911,,expense_direct_cost,false,其他營業成本,960
6111,,expense,false,薪資支出,970
6112,,expense,false,租金支出,980
6113,,expense,false,文具用品,990
6114,,expense,false,旅費,1000
6115,,expense,false,運費,1010
6116,,expense,false,郵電費,1020
6117,,expense,false,修繕費,1030
6118,,expense,false,廣告費,1040
6119,,expense,false,水電瓦斯費,1050
6120,,expense,false,保險費,1060
6121,,expense,false,交際費,1070
6122,,expense,false,捐贈,1080
6123,,expense,false,稅捐,1090
6124,,expense,false,呆帳損失,1100
6125,,expense_depreciation,false,折舊,1110
6126,,expense_depreciation,false,各項耗竭及攤提,1120
6129,,expense,false,職工福利,1130
6130,,expense,false,研究發展費用,1140
6131,,expense,false,佣金支出,1150
6133,,expense,false,勞務費,1160
6134,,expense,false,其他營業費用,1170
6135,,expense,false,元捨去差額調整,1180
7111,,income_other,false,利息收入,1190
7121,,income_other,false,租金收入,1200
7131,,income_other,false,權利金收入,1210
7141,,income_other,false,股利收入,1220
7151,,expense,false,利息費用,1230
7181,,income_other,false,兌換利益,1240
7182,,expense,false,兌換損失,1250
7193,,income_other,false,處分投資利益,1260
7201,,income_other,false,處分不動產、廠房及設備利益,1270
7202,,expense,false,處分不動產、廠房及設備損失,1280
7242,,expense,false,災害損失,1290
8211,,expense,false,所得稅費用（或利益）,1300
