code,parent,type,reconcilable,name,sequence
10,,asset_fixed,false,Основні засоби,10
101,10,asset_fixed,false,Земельні ділянки,20
103,10,asset_fixed,false,Будинки та споруди,30
104,10,asset_fixed,false,Машини та обладнання,40
105,10,asset_fixed,false,Транспортні засоби,50
106,10,asset_fixed,false,Інструменти прилади та інвентар,60
109,10,asset_fixed,false,Інші основні засоби,70
11,,asset_fixed,false,Інші необоротні матеріальні активи,80
112,11,asset_fixed,false,Малоцінні необоротні матеріальні активи,90
117,11,asset_fixed,false,Інші необоротні матеріальні активи,100
12,,asset_fixed,false,Нематеріальні активи,110
121,12,asset_fixed,false,Права користування природними ресурсами,120
122,12,asset_fixed,false,Права користування майном,130
124,12,asset_fixed,false,Права на об'єкти промислової власності,140
125,12,asset_fixed,false,Авторське право та суміжні з ним права,150
127,12,asset_fixed,false,Інші нематеріальні активи,160
13,,asset_fixed,false,Знос (амортизація) необоротних активів,170
131,13,asset_fixed,false,Знос основних засобів,180
132,13,asset_fixed,false,Знос інших необоротних матеріальних активів,190
133,13,asset_fixed,false,Накопичена амортизація нематеріальних активів,200
14,,asset_non_current,false,Довгострокові фінансові інвестиції,210
141,14,asset_non_current,false,Інвестиції пов'язаним сторонам за методом обліку участі в капіталі,220
143,14,asset_non_current,false,Інвестиції непов'язаним сторонам,230
15,,asset_fixed,false,Капітальні інвестиції,240
151,15,asset_fixed,false,Капітальне будівництво,250
152,15,asset_fixed,false,Придбання (виготовлення) основних засобів,260
154,15,asset_fixed,false,Придбання (створення) нематеріальних активів,270
17,,asset_non_current,false,Відстрочені податкові активи,280
18,,asset_non_current,false,Довгострокова дебіторська заборгованість та інші необоротні активи,290
181,18,asset_non_current,false,Заборгованість за майно передане у фінансову оренду,300
184,18,asset_non_current,false,Інші необоротні активи,310
19,,asset_non_current,false,Гудвіл,320
20,,asset_current,false,Виробничі запаси,330
201,20,asset_current,false,Сировина й матеріали,340
203,20,asset_current,false,Паливо,350
207,20,asset_current,false,Запасні частини,360
209,20,asset_current,false,Інші матеріали,370
22,,asset_current,false,Малоцінні та швидкозношувані предмети,380
23,,asset_current,false,Виробництво,390
26,,asset_current,false,Готова продукція,400
28,,asset_current,false,Товари,410
281,28,asset_current,false,Товари на складі,420
282,28,asset_current,false,Товари в торгівлі,430
285,28,asset_current,false,Торгова націнка,440
30,,asset_cash,false,Готівка,450
